,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/386920911_1399300737286134_6430019000618877639_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=2p4QHQeJUFoAX_ojiFS&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwODc4MjQ5NDk3ODc5NjY5NA%3D%3D.2-ccb7-5&oh=00_AfC-XOu3Ozk37bWFinwrinFj45fyVKi0kB47gh82SBx2JQ&oe=6566946A&_nc_sid=8b3546,ALL OF THE EMOTIONS 😅 @jackharlow,[],12594,22,,2023-10-08 03:45:03,GraphSidecar
1,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/64517821_364144540915189_8717030656082562548_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=dSqcSKs5nU8AX8jgFhI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBUXVMzHX09X_DgPSpZVMnto0rtiVC9S-kOQ5Z_QCGoYw&oe=65669C3D&_nc_sid=bc0c2c,"I want to share some personal news that is more than bittersweet. I can’t believe my time in Milwaukee with the @bucks is coming to an end so soon. I never could have imagined witnessing so much success in my rookie season in the NBA but that’s a credit to the team and organization. I just want to thank everyone with the Bucks as well as the unbelievable fan base for your genuine kindness. You’ve impacted me more than you’ll ever know. 
Having said that, I plan to cheer on the team from a different sideline now. I’m beyond excited to return to my roots and join the @accnetwork as a reporter and anchor this fall. Everything the ACC does is first class and I’m certain the ACCN will be no different! 
Louisville, I’ll see you soon.",[],5447,417,,2019-06-27 19:54:00,GraphImage
2,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/64483892_188410232168169_1654138614751486365_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=NmNCxFU5CoUAX9OMRGq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDuvHK_QsAwZEeOg5m8AOdQp18GYXwKJ8FFwEKSgMo8oQ&oe=6567D4A7&_nc_sid=bc0c2c,😎,[],4922,98,"Fort Myers Beach, Florida",2019-08-11 00:23:09,GraphImage
3,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/116982134_132101071906127_7904883589667714290_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=G0qgATOzLJIAX9FUbqU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA92oTNDdKYmWqBmfoNl7jBnYGHMfNlyZKdu42EZXe2PA&oe=6566B642&_nc_sid=bc0c2c,“Always drink upstream from the herd.”,[],4875,81,"Bozeman, Montana",2020-08-04 22:08:38,GraphSidecar
4,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/245016339_422502022597058_8558517588948820656_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XPgQKDhAv-cAX-drXl0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD-6Pmvr4q-ClyGQyvP-exBNXn38wbq5XzG-iW4TWCJ1w&oe=656787BE&_nc_sid=bc0c2c,"📍Oxford, Mississippi 

📸 @dj45williams",[],4885,62,Vaught–Hemingway Stadium,2021-10-10 21:14:42,GraphImage
5,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/104768860_953210028460982_8952802305317578197_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ySx3lAg3OjoAX-d48Kk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAqfVYofmmw5J-b3B8-f_Oh8wu95vkxWBEqqtghURNpg&oe=65680243&_nc_sid=bc0c2c,They’re a handful but my nephews are dang cute! 🥰,[],4851,91,"Saint Simons Island, Georgia",2020-06-20 20:57:42,GraphSidecar
6,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/38784083_2221321644607205_7755702181902155776_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=t8YaX1ggOuEAX-4oWZV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXfeUvRuLN9L1VelElgrGvctsloareKghpbpAC6Zhmsg&oe=65669F6B&_nc_sid=bc0c2c,"Extremely excited and sad to announce some bittersweet news. I’m leaving my beloved hometown, family and amazing team @wdrb_news to join the @nba ranks. I’ve recently accepted a position with the Milwaukee @bucks as their new sideline/digital reporter. I can’t wait to join a tradition rich franchise during such an exciting time. Thank you to everyone who has helped and supported me along the way. #fearthedeer",['fearthedeer'],4343,284,,2018-08-17 21:38:43,GraphImage
7,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79498718_1503791773118631_1773172732404323924_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Sa5EKKYw1KMAX-eDp53&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDB3kt-z2LMd-sNIOu5KbjSlNPXPPrENjxksfhN5J8EHw&oe=65663A9F&_nc_sid=bc0c2c,More coverage from Clemson coming at ya tomorrow! See you in the morning 🐯,[],4384,109,Clemson Indoor Football Facility,2020-01-08 01:35:39,GraphImage
8,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/273366802_290386749751571_2114922286304920894_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Ezz8OJRlrW0AX-LMHrX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfACoYDsHDXOVYe6FKfnVJVXirZD0EY3sVyh0LQENbroKA&oe=65677D8C&_nc_sid=bc0c2c,"1.21.22 

Ti amerò sempre, Paolo. 

📸 @jamesandschulze",[],4174,180,"The Ritz-Carlton, Bachelor Gulch",2022-02-07 00:16:19,GraphSidecar
9,_katiegeorge_,58860,3156,True,True,None,496,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79740352_2524230187675573_8745816403885947056_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=xP7kix3Yt5AAX8W8D7b&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIyRl3E68uGn88lYwkEMoNSX4MI6V52WkQQ99J29-FMA&oe=65665CFE&_nc_sid=bc0c2c,Making faces always calms me before the red light comes on. Thanks for capturing this gem @kbheffner 🤣,[],4277,66,TIAA Stadium,2020-01-05 23:01:21,GraphImage
