,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/330612459_164050356407043_4714169849365223051_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=EK48GRC1JSMAX9ta7lf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDUpsULQj95UPqtMTv4DWyRCj6Xf1mERApKEckyPlIgUQ&oe=65649CB4&_nc_sid=bc0c2c,"Yo, yo, yo. @bryancranston and I are breaking into something good with @PopCorners. #PopCornersBreakingGood
#PopCorners_Partner","['popcornersbreakinggood', 'popcorners_partner']",1037157,2858,,2023-02-12 18:38:20,GraphImage
1,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/68960208_1239780432867972_418833752997927269_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Q3K32OwOy6wAX8FiTW6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANlDfg2hefKBmbRiLJn5UOcXvyTUT31v2IKsSdFIaWcg&oe=65647284&_nc_sid=bc0c2c,"Hello old friend.

October 11th. Netflix. ⚗️💎💉💣🎥",[],989515,35914,,2019-09-09 01:30:55,GraphImage
2,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/72126557_143805266888472_4531463513122363320_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=XEnrzp8Wgo0AX8eFLio&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBtQo8UAwMqoXROlJmytpeEzK3tdMytLV3e1Fg-PeIFLw&oe=65644534&_nc_sid=bc0c2c,Midnight tonight you will find out what happened to this guy. So happy for the world to finally be able to see what we have been doing. Thank you @netflix for giving us a home. My god. Working with you on this project has been such a dream come true. Playing Pinkman for so many years was life changing and it was a gift to be able to jump into that skin yet again. I love the guy. Enjoy the movie everyone! It’s a fun ride. #elcamino #Netflix,"['elcamino', 'netflix']",822876,15112,,2019-10-10 20:54:27,GraphImage
3,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/36969828_846471118875529_983239484319465472_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-9qCfh3bQp0AX_xtLp-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDYoL60ryqlNJqAn_vICAyubFeoCw7ccx_MoZARThzdiw&oe=6564C548&_nc_sid=bc0c2c,🖤⚗️,[],769574,14248,,2018-07-20 02:32:42,GraphImage
4,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/278824775_1523207398074483_8829918307526716370_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_Zt-sm7yX54AX_d1Iya&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAa7chxqCQzR1j4Jx23g_ySt2ijn1Fl259tmjDo5DjBfg&oe=6566179F&_nc_sid=bc0c2c,My little man. Ryden Caspian Paul. So happy you are out in this world you beautiful boy you. I promise to make you proud little guy. We have been absorbing this baby boy for the last month and feel it’s time to finally share the news of his arrival. We love you endlessly.,[],768487,6766,,2022-04-20 19:51:35,GraphSidecar
5,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/283656226_993184048004913_2715366100153026536_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=u7szJJsv3vQAX_ierbs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDortROMX-3f9pd4zSdAHqxw4PMxe1pVUpj1XlkpgAstw&oe=6565AB9D&_nc_sid=bc0c2c,"This is half of the kids who have died. Half. I have an honest question for you…Name one time when “Thoughts and Prayers” has actually worked. 
It doesn’t work people! Stop saying that. Are you kidding me? More needs to happen. My heart is broken. How can we live in a society where people would rather not do a thing about gun reform and in turn would rather just wish our babies luck when they head into school. “Do a great drill today son! Run really fast and find a good hiding place. Maybe try playing dead this time.” 
I mean what is happening in this country? I understand that there are responsible gun owners out there. Great. Good for you. But what is the issue with making it harder to own a gun? Why not? You need a god damn license to go fishing! This is insanity. Wake up! If you would rather stand on your soap box preaching about your 2nd amendment rights over preaching about changing laws to help prevent babies being shot at while trying to learn how to spell then you are the problem. Never forget that.",[],751752,13440,,2022-05-25 13:35:53,GraphSidecar
6,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/280167668_3241064306178436_6318112492573551141_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=bW-BCk2HvosAX-ZXw7p&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDUeC4TgFCubEDv7ZPTZHSYnWHw4EIR3yXx7-E7L1ktuw&oe=6565602A&_nc_sid=bc0c2c,"This @doshombres tour is just beginning. I need a nap. 

Thank you @witchery_stitchery for my new traveling pillow. @bryancranston still insists on sleeping on my shoulder. 

Thank you for the love everyone. We have had the best time serving up some drinks and raising a glass with all of you.

LFG

Fastest growing Mezcal in the game!🥃🚀",[],715701,2615,,2022-05-07 02:02:05,GraphImage
7,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/185179087_982875619123956_1661666939678717701_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=hpmPWbjl46cAX8GOBq_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDGxxGo1lMPLCcIT0h36DkVCsEOVqgf8CMEvXhxnnIv4Q&oe=65647BEE&_nc_sid=bc0c2c,"Are you ready for summer? We at @DosHombres are getting things in order to take over the summer in a big way. Excited to have you along for the ride. 🥃

🎨 @danielepiersonsbeauty 
👕 @ilariaurbinati 
📷 @heretosaveyouall",[],708343,3413,,2021-05-12 17:03:45,GraphSidecar
8,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/69102818_2493466864312135_2000665251281340474_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=AtpvtsVOD50AX_0VbgG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCxBKD8ol1zWbpAv-RWb44W9iM_AXyFmD8xaM_dIhE_Ig&oe=65655521&_nc_sid=bc0c2c,"Hello old friend. Times are about to get a little more rough for you.
October 11th. Netflix.
#Elcamino",['elcamino'],696256,11637,,2019-09-11 23:35:35,GraphImage
9,aaronpaul,6636731,637,True,True,None,545,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/92278093_541956356727723_7848020087658431356_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=nLbcZ8v7HGcAX8ncTzh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCtyedcnZU7hCi-KnN57zxWdDae_BoV8NfxINWSDZgYlA&oe=6565FABA&_nc_sid=bc0c2c,"Hi everyone,
We hope that you and your family are doing well and managing as best you can during this crisis. 
Recently we announced that Dos Hombres would be donating 30% of proceeds of all online sales to the United States Bartender's Guild through May 1st. During these uncertain times we need to come together and help each other - now more than ever. Starting today until May 5th, Dos Hombres will be donating 100% of our proceeds on all online sales to the Bartender’s Guild, the Hospitality Industry Relief Fund, and America's Food Fund. 
Please take a look at these worthy organizations at the link in bio. 
Thank you. Stay home and stay well. Good spirits will get us through. - Dos Hombres",[],703170,4455,,2020-04-09 16:59:01,GraphImage
