,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/398333778_1084389432998786_4917162261374987572_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ydqFYtbpr9wAX_3tPp9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyODA2MjY0Nzc2OTU0MjY1Mg%3D%3D.2-ccb7-5&oh=00_AfDdyi7uZbEQW-Nq3jyZFxx4BH0PeG3DzBY5990jpUXwMQ&oe=65683B50&_nc_sid=8b3546,"I can officially say I road tripped from Florida to Alaska (southernmost point to northernmost point of the US 🇺🇸) and fell in love along the way. ❤️‍🔥

Video about one of the most incredible journeys of my life coming soon 👀

Also we moved in together in Miami!!",[],2602,47,United States of America,2023-11-03 18:11:17,GraphSidecar
1,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/289747580_777524710186447_1211286159820278033_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=lHEZD7JqK5IAX-uRI_F&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5XzMj0ZqMX23VRHD-fdFBqseGaIXKkmaiDOrUU8FQQw&oe=65672B4D&_nc_sid=bc0c2c,"5 favorite moments I’ll never forget of my 1st week in Kenya:

  1. Hanging with the Maasai Tribe 🌍 these people live the most fascinating / unique lifestyles I’ve seen. Whoever has the highest jump during their ritual dances legitimately “gets the most wives” of the village
  2. Sunrise Hot Air Balloon over the Maasai Mara🎈☀️
 3. Hiking the actual place that inspired The Lion King 🦁👑 (Hell’s Gate National Park)
 4. Sunset in front of Mount Kilimanjaro. 🌄 All while taking selfies with zebras and flamingos, we watched the most beautiful sunset I’ve seen all year. INSANE
  5. Singing and laughing on long road trips with new friends 🚗 

Massive thank you to @efultimatebreak for making ALL of this possible. Highly recommend them especially if you’re a 1st time traveler, traveling solo, or just don’t want to worry about logistics! To get 💲100 off your tour, use my code: ADAM100
#thisisultimate",['thisisultimate'],1927,38,Kenya,2022-06-25 20:32:36,GraphSidecar
2,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/274862259_1324104811433439_4279321983225883641_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=OLsvmxO4fzMAX8btH4r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAp7imLqyOESuXfW1WyTijp9bk58V7NN0RWDFsD4t_-FQ&oe=6568B63F&_nc_sid=bc0c2c,"I dropped a map onto a dart, it landed on a village with population of 242 ppl called Staplehurst Nebraska, i went there for 12 hours, and somehow I left with…

- 5 new T-shirts
- 1 handmade cigar box guitar
- Insane memories walking a cow, driving a tractor, becoming a cowboy (sorta), and making a BUNCH of new friends along the way. 

Trips like this remind me that good people exist and when you put yourself out there, you can NEVER predict all the amazing things possible that can happen.

Thankful for everything, but especially to Jason and Brandon for offering all of this to a complete stranger 🥲 I’ll be back, Staplehurst

🎥 Full video posted on TikTok @adamboro",[],1655,44,"Staplehurst, Nebraska",2022-03-01 03:44:37,GraphSidecar
3,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/307993560_135002285697570_2100817182317003586_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=G1bZJSMBTe0AX_Dgqcc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAfJDxg9Ui30qjTXuErpY3AS6mh69qWIdLyO2scSzzCxQ&oe=65671133&_nc_sid=bc0c2c,"WE MADE IT ✅
Just spent the past 10 days- off the grid, living off only a bike I bought on Facebook marketplace for $150, cycling from Paris until we hit the Atlantic Ocean with my friend @noflomo and … it was quite the adventure 🫠

Nearly every single piece of my bike broke, we ended up staying at random French people’s houses, and I learned so much along the way. Video coming soon 🤫 

Would you ever try this?",[],1450,51,France,2022-09-21 19:19:04,GraphSidecar
4,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/367519231_829286652085949_5498338847884095396_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=pYUUZ8GDIFEAX-tUDpi&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE3MDIzNDI4NzE1MjgyMzE2MA%3D%3D.2-ccb7-5&oh=00_AfDPf-gZfpYxrEGElQG13dXJTGqhmBJU8ySSlB1j81mCjg&oe=65684D73&_nc_sid=8b3546,"Meteor shower… captured on iPhone❤️‍🔥 for the next 1 week you can still see the Perseid Meteor Shower at night wherever you live! Up to 100 meteors / hour ☄️ HIGHLY recommend

Also Banff is unreal!! The waters are just as blue in real life as they are in the pics",[],1462,24,"Banff National Park, Canada",2023-08-15 23:16:39,GraphSidecar
5,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/340355429_220501907237178_6276829417387699733_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=MZeIKRReZJUAX9B8n-K&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFRbhGk1eojgxfUW4-nr3J79uN-kixH8rHg7EoNwEulw&oe=6567C820&_nc_sid=bc0c2c,Thank you ❤️‍🔥,[],1245,93,,2023-04-09 19:40:10,GraphSidecar
6,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/361057470_1044273189877483_7957189979881091344_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=9tdDC0SEiLMAX8H2C6Z&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE0OTkyMTIyNDQyNDQ5NzQ3OQ%3D%3D.2-ccb7-5&oh=00_AfCZI8gq_TOjOezPmSKL7my7pYVi9vdQNCs7xIKOw6Qo4Q&oe=65673714&_nc_sid=8b3546,FLORIDA TO ALASKA ROAD TRIP DAY #1 TO #17 BABY,"['1', '17']",1219,18,,2023-07-18 22:38:14,GraphSidecar
7,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/353489935_6287204328013968_7008186637172638866_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=CozSbBoGUfwAX_kgeZG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC7hv6vJSbQPKz8zKpghI-kfic96yJpfCbtfD70ajzyNQ&oe=6567BCF2&_nc_sid=bc0c2c,"25 BABY 🎉 Thank you to @redbullusa for seriously the most amazing birthday of my life, for making this weekend so special, & hooking it up for real 🥲

From making new friends, celebrating the day with my best friend, to getting surprised by my close friends, to seeing my favorite artist @taiverdes perform, to many many more surprises- this will be a birthday I’ll never forget

So thankful. ❤️‍🔥 
#govballnyc #redbullunforeseen #givesyouwiiings","['govballnyc', 'redbullunforeseen', 'givesyouwiiings']",1028,49,GovBallNYC,2023-06-13 01:39:24,GraphSidecar
8,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/354047524_856653266063537_7378144585676033019_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=6IFIjsgJZjQAX8FU1NQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC-Ye42iWoiIdgqIuBI_igJfiEga_ioXbAF-J67vuqh6Q&oe=65673B4E&_nc_sid=bc0c2c,"I just went on officially THE most spontaneous flight of my life 🤠 We went to the airport with no plans, no flight ticket, and just bought a ticket on whatever would be the next flight available… and it was wild. Thanks for making these past 24 hours unforgettable Philly ❤️‍🔥

Shout out to @otterbox for making this trip possible! They let us test out their Symmetry Series family of cases, and they are 🔥 Awesome designs, solid protection and super sleek! 
Video coming soon 👀 #ad #adventure #travel #bucketlist #myotterbox","['ad', 'adventure', 'travel', 'bucketlist', 'myotterbox']",1053,16,"Philadelphia, Pennsylvania",2023-06-15 02:22:52,GraphSidecar
9,adamboro,445765,534,True,False,N/A,262,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/168485536_287525602940605_7767659442946857354_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=fe1kq915gHUAX9tu65r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCcns0a710w0CU_GdHathafhf1QmfcRK4H0Psf_PVfGbg&oe=65646CD8&_nc_sid=bc0c2c,"UPDATE- So after uploading my astronaut application for @dearmoonproject 4 days ago, the responses and support has been insane...

Within 4 days people from 40+ countries submitted videos to the website (swipe to see their videos), people from TikTok blew up my YouTube from 700 to 7000 subscribers overnight, and now it feels like the 62 hours I spent on the project was worth it. 

It’s crazy how with the internet we can just turn crazy concepts into reality. I was literally underneath my desk (swipe to the end 😂) when I came up with this concept while recording ideas into my phone. Honestly I doubted this idea would work, but I’m soo glad I went for it. Maybe one day it’ll be in front of the moon 🚀
#dearmoon #dearmooncrew #dearmoonproject @yusaku2020 @spacex","['dearmoon', 'dearmooncrew', 'dearmoonproject']",960,68,The Moon,2021-04-04 19:45:45,GraphSidecar
