,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/273495845_620069662385568_2671950578453550645_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=OiKUU6Vws5cAX80dfO-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCUKBsxMvKi4n_q0GeYA4pVoCsE4Bnh3ByDQ5m0gaRDGw&oe=6566F73C&_nc_sid=bc0c2c,Back to work with my buddy. #MurderMystery2,['murdermystery2'],8176531,57828,,2022-02-07 17:17:14,GraphSidecar
1,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/355167466_6416477221732107_4590581642757902692_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODUuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=t7tiBEHb9SUAX_NRD3t&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEzMDkwNjM5MjM3MDk2OTY1NA%3D%3D.2-ccb7-5&oh=00_AfAE9Wizy9W2y5xeuGOYxNZDpS6bi1zZlEHnVPMZJC2fKA&oe=6565B4A3&_nc_sid=fc8dfb,Happy 20th my sweet Jackie! Your “I do” was the best gift of my life. My heart has been yours since the first second I saw you and I love and appreciate your devoted soul more and more each day. Us. The kids. Lets keep going and going babe. Lots of love to give you. Always.,[],3627310,14298,,2023-06-22 16:59:08,GraphImage
2,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/116351464_334908564195335_773438702226608076_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=i-eQn4ttXFMAX_ZqXrE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGPWpbZCbNHQnAhqt2X8xhdXkk-lHiP_8uwu4GUCm7TA&oe=65658A03&_nc_sid=bc0c2c,"22 years ago today we locked eyes and fell deep. Look forward to the next 22, young lady. Love you my forever girl.",[],2843932,16642,,2020-07-31 16:33:22,GraphSidecar
3,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/65070852_132933817912394_3732528408839433182_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43OTl4OTk5LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=R6oIboe7NPoAX8YsV5A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjA4Mjc3MjAyNjg4MzM5NjAwMg%3D%3D.2-ccb7-5&oh=00_AfDzIjGkAzQQgKpVrFSYCu-Dg1810xEvQpbDVJ6m2_59RA&oe=65661869&_nc_sid=fc8dfb,"‪Too young. Too sweet. Too funny. Just the nicest, most talented, and most decent kid around. Loved that kid. Cared so much about his family. Cared so much about the world. Thank you, Cameron, for all you gave to us. So much more was on the way. All our hearts are broken. Thinking of your amazing family and sending our deepest condolences.‬",[],2830987,28251,,2019-07-07 13:23:15,GraphImage
4,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/369993472_611404750888760_259106226459274082_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=D3-Oz_flzVIAX_kTVFX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCsO2JuoN2ymoOkivjOixf_cB0KWbgzohwz2CdcFXRFaA&oe=65669470&_nc_sid=bc0c2c,The man. The myth. The best. Such a sweet funny guy to hang out with. Loved talking to him. Loved laughing with him. Loved him kicking the crap out of me. He will be missed by everyone I know! Heartbreaking day. Love to Bob always and his family! Thanks for all you gave us!,[],1756217,5056,,2023-08-26 17:16:38,GraphSidecar
5,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/329026550_1903677233314985_3821805058028441507_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=V0nHGRK7HmsAX9IWayJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCROnEVjZ3IU8ioBovrAA5opDKrI-r2h9KIyKi8dPTuzg&oe=6565D1C6&_nc_sid=bc0c2c,Back on the road again! Thank you United Center for treating me like a champ! Love you all! @unitedcenter,[],1730370,2227,,2023-02-06 18:55:58,GraphSidecar
6,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/69614778_431133217754518_3403372726686905242_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=645RYoe5UFgAX8iDc6T&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjEyOTI0MjYxNzQzNzk5NTc2OA%3D%3D.2-ccb7-5&oh=00_AfCSjS3NxazsCV0A4OOjd89iacB1YVCN_hJ0RbC5tSy2zA&oe=6566C04E&_nc_sid=fc8dfb,My wife got me a hat.,[],1588764,37170,,2019-09-09 16:12:01,GraphImage
7,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/273578963_1587998734912306_7884459304277401077_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1C3ZqRnsGGkAX-dHSp6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc2ODkwNDA1NTY0MTg5MDA3Mg%3D%3D.2-ccb7-5&oh=00_AfCxSjkyVQ9S5ctSWzm6T-LmP1GlWgy95UohqGZr-WNeQQ&oe=656680F4&_nc_sid=fc8dfb,Happy birthday to this young gun,[],1489770,4434,,2022-02-08 05:45:07,GraphImage
8,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/271525989_3172744856330469_3316801212606962143_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=7XMz2Cq7ZkIAX_dJVG5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDYP6xkpWcRH3wguWW7i6FvIS945Ogos3w2IQ6fvU7Z4w&oe=656655EC&_nc_sid=bc0c2c,Great man. Funny as hell. Such a nice person. Love to Bob and his whole family,[],1437320,4629,,2022-01-10 02:20:42,GraphSidecar
9,adamsandler,20697711,47,True,False,N/A,518,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/318204177_195691993009896_7911915465956970256_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=ZDwtJCQ2BxYAX_57POO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCVGgiVqBKUzdwudkTfoPFbqHGCiCW7Q8-WOdjpwuQZ3Q&oe=65655A51&_nc_sid=bc0c2c,It was great driving down to San Diego and meeting you all. Fantastic night. Fantastic energy. Thanks for coming out and let’s do it again some time @viejasarena,[],1263925,2569,,2022-12-05 23:58:15,GraphSidecar
