,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,adele,55636703,1,True,True,None,465,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/95462853_251464102636712_136838895642062564_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=YW6sZFR5tfkAX-FKFNj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDFcAQ0VK1R8T9BDA5rmXFLU5XGp-svKkG0jfMUFS7pEA&oe=6563CDBC&_nc_sid=bc0c2c,"Thank you for the birthday love. I hope you’re all staying safe and sane during this crazy time. 
I’d like to thank all of our first responders and essential workers who are keeping us safe while risking their lives! You are truly our angels ♥️
2020 okay bye thanks x",[],12237184,235151,,2020-05-06 04:38:12,GraphImage
1,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/242232817_709476587115869_4034120951213564139_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=3ueuCTOS3oMAX9LmEZp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfByF2ur5rPtUtw4zYQquoVRt-o4We1_ifUM-4D0NXWegQ&oe=6563A7F6&_nc_sid=bc0c2c,❤️,[],8224676,69176,,2021-09-19 07:46:16,GraphSidecar
2,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/397243417_300480532926753_4683150387279529645_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=xsH1oAECPK4AX-5nPL1&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNDA1ODg4ODk5NTQ1ODgyNA%3D%3D.2-ccb7-5&oh=00_AfCfsW6LSq2zU2yDaA6OTLC_AiQnzKpgl6w6BT3up8Yb4w&oe=6563D97B&_nc_sid=8b3546,Weekend 33,[],6932399,28743,,2023-10-29 05:36:31,GraphSidecar
3,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/244635759_842211123139859_7887050378459104562_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xRsTlNWy--gAX9wXxj3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAi7zzp-tlRfKIMa0KO6E7el1A6mee4i5oWqiyBRsbHwA&oe=6563E2E8&_nc_sid=bc0c2c,"Imagine four larger than life Brits tasmanian deviling around Milk Studios in Manhattan all under the watchful eagle eye of the myth, the legend, the most iconic and hilarious Steven Meisel! We caused havoc 😂 

Thank you Edward, Steven, Pat, Guido, and Giles. To glam, wardrobe, the crew, and everyone at British Vogue… In the words of Pat herself - “MAJJJJJOOORRR BAAAAABBBEZZZZ”",[],6568196,54411,,2021-10-07 16:01:13,GraphImage
4,adele,55636703,1,True,True,None,465,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/245280836_241932841128804_2550246787518881014_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=p6ybwHh2h9AAX8Bztil&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAgEn0bNJomM0z0Ei6MfQQB5fX6_rP8RCylFt-v0sywcg&oe=65638596&_nc_sid=bc0c2c,30 - November 19,[],6400552,53808,,2021-10-13 14:00:12,GraphSidecar
5,adele,55636703,1,True,True,None,465,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/182336841_161442675819032_9131940554737263101_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=Z7Ltssm7a1IAX-lQS-6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBt9lG4dE2_4KlOY7S9QLTvS_z21fbUr1J6wem4e0Jpug&oe=6563C1C9&_nc_sid=bc0c2c,Thirty Free,[],6361978,59489,,2021-05-05 14:54:49,GraphSidecar
6,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118575248_167697584853167_5202808062797910281_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=4SG_Db8spHkAX9jj9B0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAro-ztoMfn8tE5i1OPqN5oM_hkEAKiDI8ewN6si0cjw&oe=6563BAEB&_nc_sid=bc0c2c,Happy what would be Notting Hill Carnival my beloved London 🇬🇧🇯🇲,[],6035355,142363,,2020-08-30 22:17:11,GraphImage
7,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/280319147_897463997789098_3385992559234759833_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=BpV8Ai_R1ZwAX_cvxIP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBclirf1w0V6ZTdtN89IfQlBMH_O_ejDWmGzdXoVM7jGg&oe=65629934&_nc_sid=bc0c2c,Time flies 💋 ✨ ♥️,[],5795375,23440,,2022-05-11 19:36:00,GraphSidecar
8,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/271459688_118866117319882_1407000841000307263_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=GyEflFpS33YAX9kyQim&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC2POGm28BA3hQ4JwhxvhX_JKiBidLpICgEI3UdJfWyLQ&oe=65623E39&_nc_sid=bc0c2c,Oh My God Video - January 12,[],5784996,28663,,2022-01-08 18:45:34,GraphImage
9,adele,55636703,1,True,True,None,465,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/256843203_254772343298069_2885939316526643718_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=LlS8LrkogKIAX9LmDRX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBEY1wy6ZDBSx1DSJeTGBAHaJ0g2S6_6hp2625BoURjEA&oe=6563782B&_nc_sid=bc0c2c,🪐🪐🪐🪐🪐🪐🪐🪐,[],5554659,28321,,2021-11-15 02:00:04,GraphSidecar
