,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/116695613_991543847973263_3872686111643951678_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Z0xrh5MaurcAX8zFhNl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAn6sVnNKZGFufHoJwv2-J37edUrM06bMFA1Gsi2F66jw&oe=65657DD3&_nc_sid=bc0c2c,CALL HER FUCKING DADDY #MIDNIGHT,['midnight'],563955,12142,,2020-08-13 14:30:24,GraphSidecar
1,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/200192138_223247016078091_3002182959568034870_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Tze3MiONIrgAX9peKOz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDHs_O5gDly88RBhCvpS8I70m2YRo2zUHe6y5T0hqfWDQ&oe=6565882C&_nc_sid=bc0c2c,“And he calls me up and he’s like I still love you” 👀,[],541862,2072,,2021-06-13 23:48:51,GraphSidecar
2,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/239645728_4507633409258162_1266530868464361483_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=wfmzA5c3zn0AX9tdv_3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBQVFMarGbh6A2Y0kkW5mngPSvENEFdkYNfmRGHaE4L6w&oe=65660471&_nc_sid=bc0c2c,wow #27,['27'],468829,2090,"Las Vegas, Nevada",2021-08-21 18:50:30,GraphSidecar
3,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/109779844_1170750249990301_7797258969262999267_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=hpFHJ-3OzakAX-nOyz1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDwjHg4WrzbiQEs4rIP5u0S_LL2GdUSWUjZ0HiakZj8lw&oe=65673EBE&_nc_sid=bc0c2c,sry I didn’t text back I was trying on bikinis eating noodles and taking pictures of myself,[],435201,4028,,2020-07-20 00:14:38,GraphSidecar
4,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118626999_613836389276313_788444037595889661_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=E7VDUowlfYgAX-S1lnb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1L-sy1aKDruM0gxGfNCCRg7XSQSF1KA-M-xKC_ncxBA&oe=65674C15&_nc_sid=bc0c2c,Not a hoodie? Who is she (last pic is how I really felt in those clothes),[],411389,1620,"Los Angeles, California",2020-09-01 22:21:16,GraphSidecar
5,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/239688357_354456519666702_821369815928286847_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=DLQsiEz1GYAAX_UFKD2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDoC54aYXlyyLeNCE17U9y0AeDt2G67DKVnrAm9FNQ_Yw&oe=656654AA&_nc_sid=bc0c2c,we love the Vegas,[],393414,1601,,2021-08-22 01:50:45,GraphImage
6,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/239720701_890682718201806_210918103366287668_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=-3vuhbje01EAX9ec0sp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAUp9QfOCO9hdPUiDJDvRYz_wdDFH_buyYCfcj6tB2DFw&oe=6566FF66&_nc_sid=bc0c2c,tag ur sugar daddy: @alexandracooper,[],383819,3695,"Las Vegas, Nevada",2021-08-20 21:22:55,GraphSidecar
7,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/100548208_142723197327316_3810454926405324940_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=C0XuULlrp9IAX820JFG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxRy7ylYGsV1f54x1n3lsD0muWGTCQb0LEk02L19vAWA&oe=6566E6F5&_nc_sid=bc0c2c,C u all Wednesday,[],352775,10509,,2020-05-24 22:30:43,GraphImage
8,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/168908940_746443239574215_343845650417152387_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=jXEMrU7NOr0AX97JRxk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlRmeysGGkL_h-DEIQCcZoPXY3ZnOcBF_xm9r7g_F2ww&oe=6567463E&_nc_sid=bc0c2c,photo hump then dump,[],360110,1157,,2021-04-06 02:13:30,GraphSidecar
9,alexandracooper,2705785,508,True,False,N/A,371,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/119798619_803704667044429_9077249622655643235_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=RrMd43n_D2EAX9OOiWS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAzOOTq-MOZSrf8-BnHYq3LPidRcrj7htVTsjPCsfFt8Q&oe=65660ADA&_nc_sid=bc0c2c,Pics with bae 🥰,[],348747,1444,,2020-09-20 20:33:09,GraphSidecar
