,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/289428264_435124848176156_3744999593328411651_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yEqkGBRXVasAX8461rK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMZ-cn0OpCbrFeknHrJGdpsmD39OPGCF_3K05-CAk11g&oe=65663363&_nc_sid=bc0c2c,"okay this is insane — 200 million YouTube, 100 million Spotify, and still in the Global charts — WHO ARE YOU PEOPLE?! 😍🙌🏾👑🔥 #pasoori #love #gratitude","['pasoori', 'love', 'gratitude']",42750,1037,,2022-06-23 17:14:33,GraphSidecar
1,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/275439949_495586722170133_1556991048504945416_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Ios0OFy9qYYAX-dMfKQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfATGAkMiNo94p5obMheYF4xql6TsXTwBShdPy4Cz5lVcg&oe=65653EB1&_nc_sid=bc0c2c,"one year ago, when @zulfiqarjkhan heard this tune I’d sent him on a voicenote, he told me with tremendous calm that it will enter the global charts. i laughed, drank my coffee, and put it out of mind. today, i woke up to this… insanely happy for @abdullah.s.siddiqui @shaegilll @sherrykhattak and @zulfiqarjkhan — many many congratulations to us, and a EDDA VADDA thanks to all you lovers — dildaars and sab yaars — who are pow-ing this #pasoori at the GLOBAL LEVEL 😭🌈🙏🏾🕺🏿💃🏾🤳🏾❤️❤️❤️",['pasoori'],41207,460,,2022-03-07 15:01:22,GraphSidecar
2,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/280230739_1183275332425996_265449841392589787_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eCapPdA30dkAX8f2Oit&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBJfp1nNIaO3Vdb4gVmKK95SNwtHFY_UnInQz6dBogljw&oe=6566E4C1&_nc_sid=bc0c2c,"#pasoori (and me!) in @newyorkermag ❤️‍🔥❤️‍🔥❤️‍🔥 loved talking to @primattoo about the song’s meaning and construction (and my first trip to fire island..) 🤲🏾 link in biooo, pasoori paaiyooo 💃🏾💃🏾💃🏾",['pasoori'],40622,514,,2022-05-09 10:32:30,GraphSidecar
3,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326453591_168517485910139_5642694847117194564_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=MwaE4L9_vhcAX_Wr8gt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB-Nx2YfHJ5oj7QIH12gWOf8WEd-Jd_u5SyT5Q8Yz7K6Q&oe=65652628&_nc_sid=bc0c2c,YE KYA KIYAAAAA #pasoori #500M 🤩🤩🤩 @coke_studio @shaegilll  @abdullah.s.siddiqui @zulfiqarjkhan @kamalkay @sheemakermani @hashimali90 @fatimabutt.11 @saimabargfrede,"['pasoori', '500m']",38808,272,,2023-01-21 23:42:49,GraphSidecar
4,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/273451551_660973615048064_5419593807731989628_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=dIeYqYg6wPYAX8IV-Vz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCntBXalEfRxFJ7v5aQGcx8lJild4aV4zTleap6swCzdw&oe=65669C14&_nc_sid=bc0c2c,"maha-thanks to director @kamalkay and art director @hashimali90 for converting my wild (WhatsApp-flooding) ideas into this earthy, dusky, somehow very truthful video about the way we live and love 💌💌💌 Also: those classical dance moves from @sheemakermani changed my life 🥺🌈🙏🏾",[],37958,329,,2022-02-08 04:38:26,GraphSidecar
5,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/318455201_2373864632770774_2533099821724315520_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=yJ3W24AKNxQAX955z6l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBoF6LXUWDCRHbSWsyAeBPERVKsJgVhg7Eq0wCjLT35yw&oe=6565B83B&_nc_sid=bc0c2c,🚘🚘🚘,[],35877,286,,2022-12-07 15:36:20,GraphSidecar
6,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/342918477_247915717738226_2606430340936383554_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=37RbeKvLaOEAX8dN--a&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAQti0C-Gda74wyHyxF3g7nCYch8y6XPBngEIFC6TotAw&oe=6565B61A&_nc_sid=bc0c2c,"COACHELLVA BALAMVA 🌸🌸🌸 thank u @iamfahadhussayn for sending this mughal angarkha in the mail, thank u @therajakumari & @leokalyan for singing with me onstage, and thank u @coachella for the cute pics 🙏🏾 there is no representation without inclusion, and i was so thrilled to see our manifold, many-splendored family light up the gobi tent ❤️❤️❤️ also thanking pooja in the last slide, twaada jazba bemisaal ay 🙌🏾🙌🏾",[],35785,306,Coachella,2023-04-24 17:14:51,GraphSidecar
7,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/342071207_620139356279083_4573973888163644948_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=o2wJKOdlfcwAX8ykoOE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD7ldTy-U92EamGDI450y5zfuBf21mvMJYc3tHLqNcSjw&oe=6566C670&_nc_sid=bc0c2c,🌹🌹🌹 @coachella @therajakumari,[],34921,271,Coachella,2023-04-16 23:49:25,GraphSidecar
8,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/280504748_360052379312519_7717722243867640262_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=9HMNvgYhX60AX8fuYir&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0U1vCjJBLiPIsr6nT-JaPMajfPL6gYEaLf5IneXxUZw&oe=65669DB3&_nc_sid=bc0c2c,"ویمپائر ويکينڈ

photos @umar.nadeeem outfit @znali.co makeup @ayan_khanofficial",[],34250,375,"Brooklyn, New York",2022-05-13 03:01:06,GraphSidecar
9,alisethiofficial,493478,2456,True,False,N/A,813,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/271295936_466049481590526_6394921754433577599_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=fCIfuynv6j0AX_9uZtW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBhIfhCjnqMsUliuGm-YM8jJopbsFfFf8_rXO8eVkcH6g&oe=656532E8&_nc_sid=bc0c2c,this is true,[],31444,456,,2022-01-03 15:51:19,GraphImage
