,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/386854462_6100229636743094_4512452973098371789_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=Yg8wUzlbQAcAX8SEhaC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrk-7443h2ziwu9ZpNhoh3tAqc8odTTIxrpEZVF8BcRw&oe=656292B1&_nc_sid=bc0c2c,Tomorrow is Gameday 🫶🏻,[],2790576,7907,,2023-10-07 17:59:49,GraphSidecar
1,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/322343696_694805305427445_1978515785015068378_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6z3WYnHeC6cAX9W2eSJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCA026-WFq6yW-E-FMbjH2xlevKxyOW5GfjyEOHAXv8EQ&oe=65633E02&_nc_sid=bc0c2c,🥶🥶🥶,[],2723890,5371,,2023-01-05 17:38:15,GraphSidecar
2,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/340202748_1224032624915982_7027102657689911777_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=uxP-I0niKKQAX-85cFa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdcXWYjk8uiz6vk0dv1iMygVTbvKkyFLb2RSb1qRUgyw&oe=6562802B&_nc_sid=bc0c2c,🇨🇭👋🏻,[],2646608,7740,,2023-04-07 18:21:46,GraphSidecar
3,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/362699900_836456948099644_6634799452062036382_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=vc5tN1pWFD8AX9FcQ1Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCJ0cBwIlAbkv-6EkdcH20ravyQEVTzB2OKEiszU6I2sQ&oe=6563569B&_nc_sid=bc0c2c,🇨🇭,[],2637355,7894,,2023-07-26 23:11:43,GraphSidecar
4,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/325709615_1394560947951418_6225130338433022235_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=a0oF-CTwctUAX9-gVbC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCf9XMXlZ92pHfmG1mdobfk-kovkF-9aICRilceQnLGpw&oe=6563F965&_nc_sid=bc0c2c,+3 😍,[],2555765,7293,,2023-01-14 18:56:03,GraphSidecar
5,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/327038112_188057487155718_5166371364447017847_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=B81C7JY_FwcAX9tLrJz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCMTFlj59fgnD11n0b9FxVNzFn1RkS85i6n06SMo8SjNw&oe=6563845C&_nc_sid=bc0c2c,"Gameday -1, who‘s coming to support us tomorrow „🙋🏼‍♀️“",[],2518948,6955,,2023-01-25 18:48:16,GraphSidecar
6,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/316372226_430072609157424_3813132170497244955_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=_aN9uWUSw84AX9iHTYE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDPuQ2N8w55ENbew9J71Q2yyjs9liBD4luh9suwdYqLzA&oe=656332C3&_nc_sid=bc0c2c,"If it’s not the right time, there will be another time❤️🙏🏼",[],2392317,6566,,2022-11-21 18:58:20,GraphSidecar
7,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/363330662_3464434110540680_2394799968146436287_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=nmd7DSoysSsAX9GJHX4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAr8XtV67J6GWAnvbkuUdx6t3oPzZgsHgK0oH9WrKaSZw&oe=6562C508&_nc_sid=bc0c2c,Gameday -1,[],2080097,6914,,2023-07-29 09:56:42,GraphSidecar
8,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/314998212_654367952842763_3047371071924498664_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=nahjAKLB0CEAX8Rn2aR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA62XTOjIeg1xX6S01gaOZtVRWjb6Ci2K-e1B7MgZ_8fg&oe=65631BB4&_nc_sid=bc0c2c,#AL7✨,['al7'],2074804,9656,,2022-11-08 17:39:20,GraphImage
9,alishalehmann7,16106188,269,True,True,None,361,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/361922820_602856271953975_9028428282983029954_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=gLZT8l1pZsAAX8UYHJl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDgBcb9B3uGJvzi99m9H0IG8Qt_Op7QIgkb33fTpV44zQ&oe=6563CD2C&_nc_sid=bc0c2c,"First win yesterday, focused on the next game🇨🇭🙏🏽♥️",[],2003065,5182,,2023-07-21 20:47:40,GraphSidecar
