,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/176490805_143573977730997_4209675320962187913_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=FQ5z5mf6Ek8AX9VJr7_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBW7hSfMps7E8tRj_3pX1_hstppE3c5Jz5r9b4Mikh_9A&oe=656306E7&_nc_sid=bc0c2c,Thank you to everyone for watching The Falcon and The Winter Soldier! #thatsawrap #CapTime,"['thatsawrap', 'captime']",1260780,23340,,2021-04-24 00:38:31,GraphImage
1,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/175997415_362598351802300_7413917458431378113_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=bIY0h27kIsYAX_Bzf8b&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCZZk3DIeuXOxdmzpZGKsFvZpN7GzR_i68QuDeiENHY2g&oe=656375AE&_nc_sid=bc0c2c,"Two guys walk into a bar...
Finally at the finally episode and can’t think of a better guy to have gone on this ride with. #falconandwintersoldier",['falconandwintersoldier'],1151791,14849,,2021-04-23 02:05:08,GraphImage
2,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/236431205_524095948667898_2890148058422938671_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=kmeu139ik0sAX-_f4Pm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAqnsB2Ky5HVl5PXYfQMQDy7T5kb_OqNF5wmPKhywIWYA&oe=6562B7C0&_nc_sid=bc0c2c,"@imsebastianstan remember that time I had to tell you i love you from 2 meters away?!
Happy Birthday Playa… you are truly the vanilla ice cream in my ice cream sandwich! #AvengerBoyzForLife",['avengerboyzforlife'],1102666,6766,,2021-08-14 02:24:17,GraphImage
3,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/186907203_298615195231430_8920391174184583259_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=8-c8AiS30tIAX9ki85l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBKGvKLJU83bNdGWkB3QuumH13-PDuB4tuVTD_JtCc76Q&oe=6563AACD&_nc_sid=bc0c2c,When @imsebastianstan is off being a rockstar and you’re riding solo,[],857156,10399,,2021-05-17 00:17:28,GraphImage
4,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/195874333_500597960998492_7488918102360901038_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=lkaqV0oNF-sAX8OoTrd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCAgKaR_aRW8qXUJzqWw4B-oXmjx8DLJcHkOGwncN7vlQ&oe=6563D953&_nc_sid=bc0c2c,"@tomholland2013 I got you cake, had people over... Look how cute that little piece of cake is for you. 🥰#happybirthday #wheresthechocolatelove","['happybirthday', 'wheresthechocolatelove']",844879,6864,,2021-06-03 23:39:52,GraphImage
5,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/241390903_381452330275223_804269194251024915_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Ki-_nkzUhgQAX9EuzR8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDgEpxvd6XYh2hQBkA10pRNO2uhz8tZ1C6tqlnuEbwl6Q&oe=65632FD9&_nc_sid=bc0c2c,"Nobody thought We could, but when We did… everybody knew We would! Meet the Presley’s!!!
#WeHaveAGhost @thechrislandon @theericaash @nilesfitch @jahiwinston",['wehaveaghost'],743332,2821,"New Orleans, Louisiana",2021-09-05 08:12:09,GraphSidecar
6,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352408011_200037422536043_7646855354681904111_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=_xg0T5SV-3IAX-Maq9x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBW9rLWPWZwOBcfrc3afuuwfL7aC5SPlNFEOJ8MK7iKDw&oe=6563DB3C&_nc_sid=bc0c2c,"When Harrison Ford tells you  how kicking ass should look, you listen! LoL… Thanks for the on set wisdom and laughs my friend! 
Can’t wait to do it again… Marvel Studios’ Captain America: Brave New World in theaters May 3, 2024",[],719469,3303,,2023-06-06 11:12:12,GraphImage
7,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/242948250_858757278142528_6171082421848212201_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=bZYlzEYK8D0AX849iYe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC2_VLOKGqh3o_P3PQAES6wo7z6TYl3zW4tor_MyQ_V5A&oe=656329FA&_nc_sid=bc0c2c,"When I started in this business, when asked who I wanted to be like, I always said Sam Jackson! Work ethic, Level of talent, body of work… unquestionable!
I forgot to be specific about Sam Jackson from what muth*fu#kin movie I wanted to be… be careful what u ask for!!!! 😳 Of all the movies, how the hell I end up in Black Snake Muth*fu#kin Moan 😤 which Sam Jackson character would u say you look like right now… LoL @samuelljackson","['kin', 'kin']",715049,3813,,2021-09-24 08:50:37,GraphImage
8,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/223758940_2370308259770524_8837454219925140183_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Fp6ccVwV52YAX_LOLPh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCDMiNervEFFZJ9WTttR0VilqyuuPygKnZcGknohI_Gbg&oe=656288B1&_nc_sid=bc0c2c,Sometimes u gotta sit back and let it come to you… nothing like working at home! #nolaboy #MondayFunday #setlife,"['nolaboy', 'mondayfunday', 'setlife']",689383,3862,,2021-07-26 21:12:06,GraphImage
9,anthonymackie,2933166,26,True,False,N/A,52,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/175024135_466826331198684_2953071907733440955_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=p1hU4plXEJ8AX_o82yu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD_dGznNPHqEvLn7HNFPdC6wSwdqr2ByTBq4gKQiHcFlg&oe=656255F1&_nc_sid=bc0c2c,#Synchronic is top spot on Netflix!!! Thank you to everyone for checking it out. I have to say... it was great to shoot a movie in Nola! My Man @jamiedornan hasn’t been the same since! LoL,['synchronic'],669797,4288,,2021-04-19 02:34:07,GraphImage
