,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/296934809_795826501413854_6306797299140136557_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=0JexFsZtV9YAX89vUJo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA70S7oJOlj-CbYMebUbG0HMbmEL6pUwqVxS1xPXNf0uw&oe=6565BDE7&_nc_sid=bc0c2c,"@Sydney_Sweeney wears AREA Collection 02 Couture Embroidered Crystal Feather Mini Dress & Butterfly Glasses
In @hollywoodreporter’s July Cover Story

By @ruvenafanador
Styling @mollyddickson

#AREANYC #SydneySweeney #Hollywood #Couture","['areanyc', 'sydneysweeney', 'hollywood', 'couture']",40855,72,"Los Angeles, California",2022-08-03 16:29:09,GraphImage
1,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/384122820_18385334575048169_8964017546307416206_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=wGm7_slm-q0AX-LQYvw&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfD6t1mlrAUQDv8zKliclXo8hHKAux5VMGFn7myNT-TcOw&oe=6565BD0E&_nc_sid=bc0c2c,"Wild Denim - Explore distressed claw cutout & jagged crystal embellished slit denim styles from the Fall Winter 2023 Runway

Shop denim at AREA.NYC

#AREANYC
#DENIM","['areanyc', 'denim']",33904,126,Williamsburgh Savings Bank,2023-09-26 15:27:26,GraphSidecar
2,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/289820729_1195468827904823_8112627624817250467_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ewd_UEYr9lYAX_vOIQk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDxq_Kr_7oASzZcR0r5SmvmEmj8TznXG4EIncv3aSopTA&oe=656511EA&_nc_sid=bc0c2c,"COLLECTION 03: IN BLOOM
BY COLLIER SCHORR

EXPLORE & SHOP THE COLLECTION VIA THE LINK IN BIO

@MaaikeKlaasen
By @CollierSchorrStudio
Styling @KatieBurnett__
Hair @JondeFranc
Makeup @SamVisserMakeup
Manicure @adakiss
Set @itsmeiansaltersworld
Casting @BertMartirosyan
Production @tcreativenyc

#AREANYC",['areanyc'],24855,19,,2022-06-23 18:49:55,GraphImage
3,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/349218004_6753404834704919_3481396991109954817_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rbq5AG92qEgAX9xxon0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDqdwob__gWWo3J8JzpTbCJVxt2dmyr8uGS8AYIqZYNcA&oe=65647926&_nc_sid=bc0c2c,"Pre Fall 2023

Discover & shop the collection via the link in bio

Photographed by @RoeEthridge
Styling @KatieBurnett__
Casting @Danielvdg @Andrea_Prato
Hair @TamasTuzes
Makeup @JanessaPare
Manicure @Yukie_Miyakawa_Nails
Production @TCreativenyc
Collage by @MatMaitland & @JulyStars
Creative Director @PiotrekPanszczyk

#AREANYC
#PF23","['areanyc', 'pf23']",20442,37,"New York, New York",2023-05-25 16:21:47,GraphImage
4,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/274016614_328435109213461_5953056936889094250_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=IInLxwgsR64AX_5bWk0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDSsj2Ffot8ouO3l-Uy2whPhKcYlLf9ZmsoHkuaCBem4g&oe=65654B3F&_nc_sid=bc0c2c,"COLLECTION 02 RUNWAY - LOOK 4

EXPLORE & SHOP THE COLLECTION AT WWW.AREA.NYC

MODEL @MARIANAPARDINHO 
DIRECTED BY @NEDROGERS
STYLING @KATIEBURNETT__
CASTING @BERTMARTIROSYAN
HAIR @EVANIEFRAUSTO @MRSMITHHAIR
MAKEUP @SUSIESOBOL_MAKEUP @MAKEUPFOREVER
MANICURE @YUKIE_MIYAKAWA_NAILS
PRODUCTION @HONORHELLONPROD
MUSIC DIRECTION @KRISPYKREEMY
MUSIC BY DJ SOUL SLINGER OF @LIQUIDSKYNYC
SPECIAL THANKS @VIVIDKIDNYC

#AREANYC",['areanyc'],20155,190,"New York City, N.Y.",2022-02-14 20:01:09,GraphSidecar
5,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/385851237_18386474005048169_4580083732614861115_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=uNFPHgIjf0gAX8McD9T&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfD3JJYsEI6aun8Zi-kFzgHsk-P4Dv_tnAnldeUWSjRzOg&oe=6564C58E&_nc_sid=bc0c2c,"Soft texture meets bold color. Discover the @AREA x @SergioRossi Dagger Pump & faux fur trimmed suiting from the Fall Winter 2023 Runway

Shop the limited shoe collaboration via the link in bio 

#AREANYC
#SERGIOROSSI","['areanyc', 'sergiorossi']",20279,62,Williamsburgh Savings Bank,2023-10-02 16:08:00,GraphSidecar
6,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/286344271_5159277437522334_4873272648286160301_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=OB4lZWv4aEYAX8g-mg8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDbiA3UGs_5AnTRjSAIphKsYArFnxt21XjyzaIGaCMUrg&oe=6564761A&_nc_sid=bc0c2c,"@Saweetie wears AREA Collection 02 Runway Embroidered Crystal Butterfly Top & Crystal Slit Trouser
For @Glamouruk’s May 22 Cover Story

Shop the look via the link in bio

By @thomkerr
Styling @katieqian

#AREANYC #Saweetie #Glamour","['areanyc', 'saweetie', 'glamour']",19179,76,"London, United Kingdom",2022-06-10 16:09:58,GraphImage
7,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/275320152_693036965039561_3207464988543271225_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=6SL_aaHIp2YAX8lXf2M&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAaqj7RQKvywjBwx3UbfmautnqfWVfBsmfM8pWqaBP0tg&oe=65646DAA&_nc_sid=bc0c2c,"@Dualipa wears AREA Collection 02 Look 12 on @fallontonight

Styled by @lorenzoposocco
@lucienpagescommunication

Explore & Shop Collection 02 Runway at WWW.AREA.NYC

#AREANYC #DuaLipa #TonightShow","['areanyc', 'dualipa', 'tonightshow']",18852,107,"New York City, N.Y.",2022-03-04 16:14:43,GraphSidecar
8,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/289178630_303218641930537_4560770925575679042_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=6v1bLsguqkUAX_oz1ZK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBfew0cDeJoI0TgVAwjMZ7KsWmeuqXGvnwznzFgd30M6Q&oe=656492FE&_nc_sid=bc0c2c,"@Beyonce wears bespoke AREA Collection 02 Couture Sculpted Gown, Gilded Feather Belt & Headpiece
For @Britishvogue’s July 2022 Cover Story

By @RafaelPavarotti_
Styling @Edward_Enninful & @MarnixMarni

#AREANYC #Beyonce #BritishVogue #Vogue #Renaissance","['areanyc', 'beyonce', 'britishvogue', 'vogue', 'renaissance']",18815,69,"New York City, N.Y.",2022-06-21 13:21:21,GraphImage
9,area,588054,849,True,True,None,359,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/279684685_133500865929447_7236739342990741186_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=qaCjzMUL8ccAX--KWUC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD0WllKNWEVwH9SmwNXQWdvlk9s8hfPR4cM9q9qAHVM5Q&oe=6565611D&_nc_sid=bc0c2c,"@ChloeBailey wears bespoke AREA Couture SS22 Paillette Sculpted Gown at @voguemagazine’s 76th Annual Met Gala celebrating ‘Gilded Glamour’

Styled by @jilljacobsstudio
Thank you @Instagram

#AREANYC #ChloeBailey #Vogue #MetGala","['areanyc', 'chloebailey', 'vogue', 'metgala']",18593,63,"The Metropolitan Museum of Art, New York",2022-05-03 15:29:37,GraphImage
