,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/398783697_734032775427982_7237098258397260860_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xOTIweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=RVM5becd6VMAX-Nj6BB&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIyOTAzNzAwNjIwMDg5MjQ3NA%3D%3D.2-ccb7-5&oh=00_AfDRNCm2xQoqLNo0QUATmbwtp9L2kTjxC_P_AuzedEwzUw&oe=656A5CFF&_nc_sid=fc8dfb,"A decade of unforgettable moments and memories 🕊️

To our amazing community, thank you for joining us on this incredible journey, and for watching Attack on Titan",[],305954,5677,,2023-11-05 02:27:09,GraphImage
1,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/336017008_171694915684422_1107088784160514550_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2Mjkuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qxxADM2bcnwAX8ocuHL&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA1OTM5NjAzMjQ1NTE4NzY1OQ%3D%3D.2-ccb7-5&oh=00_AfAUWjzcFBs0iNNjQd4EPrgt2owM0kXIViuroAHoeeGHSQ&oe=656AB801&_nc_sid=fc8dfb,"""This... is freedom""",[],257227,874,,2023-03-16 01:00:52,GraphImage
2,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/398839927_734024088762184_8326393324433657666_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjgweDcyMC5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=_rDF0LKxny8AX_vZZAu&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzIyOTAxMzU4MjQwNTUxNDk5Nw%3D%3D.2-ccb7-5&oh=00_AfCtiaMOiW6rK0fG8fjxs-tdxaMQJ5t3_Z7gQMuzPv62NA&oe=656B4987&_nc_sid=fc8dfb,Eren's journey comes to an end! Attack on Titan Final Season: THE FINAL CHAPTERS Special 2 is now streaming on @crunchyroll 🔥,[],233146,2297,,2023-11-05 01:40:37,GraphImage
3,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/398470004_227427810355718_3664830999524949958_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=sj1WgUJ24YoAX8B3dHZ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyODM1OTUzMDk4NjQyODg0Mg%3D%3D.2-ccb7-5&oh=00_AfAc0eOR0NbCIkcNDhq-drm36HLQMFbAcvsQoQHfcC2z6g&oe=656B3256&_nc_sid=8b3546,Less than 24 hours until the final episode of Attack on Titan arrives on @Crunchyroll 🔥,[],216333,977,,2023-11-04 04:01:19,GraphSidecar
4,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/335753931_733752445054325_2264797189866707536_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjAxeDEyMDEuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XuaDMf4HfZoAX-Jp_og&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA1ODQ5MDU1MTY1NDM5Njg2OQ%3D%3D.2-ccb7-5&oh=00_AfAK94niqWMbaWmajbeNyKKAiuYpJqpB040nhnLb_to3QA&oe=656B2985&_nc_sid=fc8dfb,Dedicate your heart! @AttackOnTitan ☁️ @HelloKitty and Friends will debut with a collection available at @boxlunchgifts! Which character crossover is your favorite?,[],177932,1021,,2023-03-14 19:01:47,GraphImage
5,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/333436370_125494647129073_1647622809860552732_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WlWo8nGnWB8AX96u3Q4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCAcSMkPwsPpuLAjxiMK-Ogd7JjYzGTKqjnqWNRRpsKyA&oe=656A1FF2&_nc_sid=bc0c2c,"Attack on Titan Final Season Part 2 won the following 6 nominations at #AnimeAwards 2023!

✨ Best Anime Opening Sequence
✨ Best Anime Score
✨ Best Anime Song
✨ Best Main Anime Character
✨ Best Drama Anime
✨ Best Voice Acting Performance (Japanese)

Thank you for all your support!",['animeawards'],149437,833,,2023-03-05 02:14:25,GraphSidecar
6,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/337536939_747980386924157_8015920490122886015_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2NjMuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=DrQE0PbO3bUAX9asrw1&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA2NTg1ODUwOTUwNjU0MDE5OA%3D%3D.2-ccb7-5&oh=00_AfDMnXIvXprmISMZ73A-trne2caUNHEvmU-n_752MW76vw&oe=6569AC7D&_nc_sid=fc8dfb,"""Watch us""",[],148876,800,,2023-03-24 23:00:38,GraphImage
7,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/361094156_812569216930247_5364997213916285569_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4NzIwLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=G2UVRTaKetcAX96CUAR&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE0OTA1Njg1NzE2NDMwMDk2NQ%3D%3D.2-ccb7-5&oh=00_AfCBaKA45k2g4dyMdpik31pSC6JhpFwbtE5ylCTxy5ybjw&oe=656AE628&_nc_sid=fc8dfb,"Attack on Titan Final Season THE FINAL CHAPTERS Special 1 has been nominated for ""Best Streaming Animated Series or TV Movie"" at the 2023 Hollywood Critics Association TV Awards!",[],145477,888,,2023-07-17 18:00:54,GraphImage
8,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/271448285_1262437887579629_3407217349382507603_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDAweDEwMDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=kT9n-stJsLwAX8xlo3B&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc0NjcxNTQyMzkzNDI3MzE5NA%3D%3D.2-ccb7-5&oh=00_AfBn9CuiTVjaeD_gUEd8G1XodO9MccRXEES7q8AwDZuKPw&oe=65698C34&_nc_sid=fc8dfb,Just one more day until Attack on Titan Final Season Part 2 premieres. 👀,[],144275,1589,,2022-01-08 15:00:18,GraphImage
9,attackontitan,980083,9,True,True,,276,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/333357221_742968747382165_3101826320006045033_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=SIZYaxLeUAAAX9x1nae&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC1mBCDnRt1N6qHy_VBAfVjSLiKlVMzukzSNvR38GDk0Q&oe=656B366D&_nc_sid=bc0c2c,"Enjoy these stylish characters visuals of Levi, Reiner Hange for the upcoming Attack on Titan Final Season Part 3!",[],144139,693,,2023-02-26 03:30:42,GraphSidecar
