,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/359404046_18374730307036863_68800974397183302_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=SdHole-Ke2sAX8KAXg6&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE0NDg0MjM3OTMwNzg1MDg4NA%3D%3D.2-ccb7-5&oh=00_AfBCrAvmkb3mIuHOzgS34rnm5EcWCnazwYhRF232okYEHw&oe=6569E341&_nc_sid=fc8dfb,"One week out… where are we seeing you?

07.18 • Camden, NJ
07.19 • Mansfield, MA
07.21 • Québec City, QC
07.22 • Montreal, QC
07.24 • Ottawa, ON
07.26 • Clarkston, MI
07.28 • Tinley Park, IL
07.29 • Minneapolis, MN
07.31 • Winnipeg, MB
08.02 • Saskatoon, SK
08.04 • Edmonton, AB
08.05 • Calgary, AB
08.07 • Vancouver, BC
09.16 • West Palm Beach, FL
09.17 • Tampa, FL
09.19 • Charlotte, NC
09.20 • Alpharetta, GA
09.22 • Nashville, TN
09.25 • St. Louis, MO
09.26 • Kansas City, MO
09.28 • Denver, CO
09.30 • Salt Lake City, UT
10.02 • Tacoma, WA
10.03 • Portland, OR
10.07 • Chula Vista, CA
10.08 • Phoenix, AZ
10.10 • Albuquerque, NM
10.12 • The Woodlands, TX
10.13 • Austin, TX
10.15 • Fort Worth, TX

📷: @devilman.138",[],134778,2228,,2023-07-11 22:27:27,GraphImage
1,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/363332089_18377340391036863_2727737961796778348_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=HNVzyDbkt6QAX8_9biA&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCHFJnIV6CZDElkNPSt1HVbTJLI6jNwXqIC0IOLDcjzSg&oe=656A2D47&_nc_sid=bc0c2c,"Just some Barbie girls in a Barbie world.

📷: @sdz_photo, @dabossconcertphotography",[],130079,938,,2023-07-25 22:01:48,GraphSidecar
2,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/333644741_4152675348291063_4717427697679414518_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=UEOZT9T9WpUAX8yoDep&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDnK2g_wrcSUqpwzQaX-BWrZwuUjPecXJBziS-OgbN9w&oe=6569DD59&_nc_sid=bc0c2c,"LA • FORUM • 6.9 | NYC • MSG • 6.23
+ special guest @fallinginreverse.
@deathbatsclub members can unlock exclusive access to request tickets now. Pre-sale for Deathbat Nation email subscribers begins tomorrow at 12PM PT. General on-sale this Friday.",[],128668,2198,,2023-03-14 16:04:06,GraphSidecar
3,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/335596406_223404030202870_2471725136736991264_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=DHKsfyBZmu0AX8Hahdw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA1NzY0NTc4Njk0MjY2MjcyNw%3D%3D.2-ccb7-5&oh=00_AfB_4X1-gZu1hAVyG2IJdBoAJYtMFzK4h5WjUzcjVRPNwA&oe=656AFF12&_nc_sid=fc8dfb,3.14.23 | 8AM PT | 11AM ET,[],127845,2567,,2023-03-13 15:03:23,GraphImage
4,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/337173015_670683765064229_7451046767058293497_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=OphKeDKVKGgAX8iX4h7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA2NTA5MTI3OTUwODIxMzQ1MA%3D%3D.2-ccb7-5&oh=00_AfAisvhRGgMzD_t_K9wyhjPW6XIiRZXaWpkzlg9Uo2t5bA&oe=656B6394&_nc_sid=fc8dfb,"Can you find our 5 different #LifeIsButADream… billboard designs around Los Angeles? There are 30 billboards in total, featuring 5 unique pieces of @weslanglovesyou art. Share your photos as you locate them and tag us. For a chance to claim VIP tickets to our June 9 show at @thekiaforum, post your photos on IG as a carousel with #LIBADLA + tag us, then upload the link to your post to the form in our bio. Profiles must be public for us to view. Submissions end Friday, March 31. We’ll notify 3 winners the following week. We Love You…
 
This giveaway is not endorsed, sponsored, or monitored by Meta.","['lifeisbutadream', 'libadla']",118920,366,"Los Angeles, California",2023-03-23 21:36:15,GraphImage
5,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/355421231_1075426960100364_6417481064228547388_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=awqLZ5wtnbkAX81j0KL&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEzMTA2NDM5MDUwMjA0NTgzOQ%3D%3D.2-ccb7-5&oh=00_AfAYxKeWbzvXalqur2-GO7WA1N81JXZZ6StgH4jsvWvFJQ&oe=6569CC18&_nc_sid=fc8dfb,"In my dreams,
I stare out in the distance of the city scene,
from way up here it’s so serene…

NYC📍MSG // tomorrow night

📷: @thegarden",[],108997,744,Madison Square Garden,2023-06-22 22:13:03,GraphImage
6,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/352203021_751965639744473_836703622672463970_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=AsTrAnaFDfYAX_VOeEH&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzExOTUwMzQxMjExNTE1MTE2MQ%3D%3D.2-ccb7-5&oh=00_AfCN_8wrtz7Gz0vnNSPcccovDjMQ8QoOsLWgPbdXTRSdtQ&oe=656B0D49&_nc_sid=fc8dfb,It seems we’ve found ourselves in hell 🌼,[],100669,1162,,2023-06-06 23:23:27,GraphImage
7,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/387792206_18391737109036863_4090258451904441661_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=WZ6xzCUQHEkAX-rPzvo&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCuiXJ5_wzoKp7rnVOwXyirinL4vrMZpQvS9W_dumMOQg&oe=656AD378&_nc_sid=bc0c2c,"Sunday night scorcher in Phoenix.

10.8.23 📷: @julius.a.aguilar + @rafacore 

*Rescheduled Chula Vista date to be announced ASAP. We appreciate your patience.",[],87126,981,Talking Stick Resort Amphitheatre,2023-10-09 20:21:37,GraphSidecar
8,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/344786668_168014142875430_6012003154710560569_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDk1OS5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=6bHobA-a5N4AX_MftuP&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA5NTUwNDY1ODIxOTYzNDk4NA%3D%3D.2-ccb7-5&oh=00_AfDSw3geSjvabqJb008M2DWxLiyEKmUf6LS3NJFtMWcIZg&oe=656B0D12&_nc_sid=fc8dfb,"Salton Sea Deez Nuts 

📷: @briancattelle",[],85493,729,Salton Sea,2023-05-04 20:42:12,GraphImage
9,avengedsevenfold,2602447,236,True,True,None,137,https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/364622172_18378380869036863_8821603491534327071_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=uBRxE0WKGpUAX-teoUT&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE1OTA5Njg2NDgzNzIzOTA3Ng%3D%3D.2-ccb7-5&oh=00_AfBtFLC_1XvDXQHDg8-P4rT_lo0YIf5Rku_lvNHq9hRpOw&oe=656A6722&_nc_sid=fc8dfb,"Happy Birthday, M. Shadows. 

📷: @thelauracollins",[],84442,1198,"Ottawa, Ontario, Canada",2023-07-31 14:28:34,GraphImage
