,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/355406321_2519656608188965_5136699722869154758_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=QCCF9XoXltQAX-UyMEn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAtXz8iqxDKY40eOsf084Nv79nTahpupbgc5JOW-JE-ew&oe=6568EF92&_nc_sid=bc0c2c,"You’re 20?!? It’s ok no one has to know  babygirl 💙

(For those confused it’s a meme i have nothing to do with the saying) 

•
•
•
•
#lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",86187,185,"West Covina, California",2023-06-22 19:07:06,GraphImage
1,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/355124981_185239371165028_6159274417511408230_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=pnqCJvUJ4YcAX9peycf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAXKbt8xRmqF7K-WLUXTi30G5TK8QNtc8JS3Ei5D_k5Lg&oe=656896F2&_nc_sid=bc0c2c,"Whimsigothic vibes 🌞🌙✨

Design from @4s4a4v 💙

•
•
•
•
#whimsigoth #whimsigothic #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['whimsigoth', 'whimsigothic', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",77845,147,"West Covina, California",2023-06-21 19:44:19,GraphSidecar
2,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/360005154_221240203718755_5476497203980989489_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=nibdny4RVAcAX8ILquT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCV5VatfCoO9K5ppXMFixstGJ86LIHS37J2hId2oKU_xA&oe=65690CBF&_nc_sid=bc0c2c,"T W E N T Y  F I N E 💜

•
•
•
•
#twentyfine #lavender #lavendercake #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['twentyfine', 'lavender', 'lavendercake', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",71006,94,"West Covina, California",2023-07-12 19:15:23,GraphImage
3,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/395146495_17977879619547664_7591263756398496094_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=TSh97ZHCTNoAX_5-s9Z&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfALb2McNrMiPufckg-Q7KlcdiVrHv63yBZPn18jEpubOQ&oe=656970B1&_nc_sid=bc0c2c,"Foreva eva 🖤

•
•
•
•
#blackcake #blackcakes #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['blackcake', 'blackcakes', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",65907,167,"West Covina, California",2023-10-26 04:26:49,GraphImage
4,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/342349903_598299842236778_6537431043751188212_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=D6ew1fRO8QwAX_baffk&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4NjAzMTY1MjA1MzE1NDczMw%3D%3D.2-ccb7-5&oh=00_AfBbQXyA7zcr37m8Hj5WDTPLN7Q7RAo9Ppigs3U2j_BUUg&oe=656855CC&_nc_sid=8b3546,"Raven + Phillip 🤍
4.12.23

•
•
•
•
#whitecake #justmarried #weddingcake #weddingcakes #wedding #weddings #weddingseason #weddingseason2023 #lambeth #lambethcakes #lambethcake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['whitecake', 'justmarried', 'weddingcake', 'weddingcakes', 'wedding', 'weddings', 'weddingseason', 'weddingseason2023', 'lambeth', 'lambethcakes', 'lambethcake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",45056,123,"West Covina, California",2023-04-21 19:01:03,GraphSidecar
5,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/351261693_207696015470531_5461511837295354432_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=NgnKu4ew5BAAX_stTes&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDhQiy3BColLM1HXzduS_pA50Hw-OfC5FUyEVms_VU11w&oe=6568F54C&_nc_sid=bc0c2c,"She’s an absolute beaut !!! 🤩🦋🍄🌿🧡

Design from the amazing @4s4a4v 

•
•
•
•
#fairy #fairygarden #fairygardensofinstagram #butterflies #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['fairy', 'fairygarden', 'fairygardensofinstagram', 'butterflies', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",36034,59,"West Covina, California",2023-06-04 19:10:45,GraphSidecar
6,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/346897972_976297356729050_1261384708912128625_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=bd1amLaj9t0AX_NLyNJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDS858xBVtpXYOVxjaANtQTKZlesJpXEComNFynx0xgWg&oe=65694567&_nc_sid=bc0c2c,"T H I R T Y • F I V E 

•
•
•
•
#35 #35thbirthday #thirtyfive #whitecake #whitecakes  #minimalistcake #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['35', '35thbirthday', 'thirtyfive', 'whitecake', 'whitecakes', 'minimalistcake', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",30816,106,"West Covina, California",2023-05-16 03:02:36,GraphImage
7,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/342526704_999222494784651_1133493922831741992_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=cBjuFsN3AR0AX8iM1_R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC7_nLYQUxESqrcT2Qeq6-MIQH_8Z_pS0EjNFHNoqKBHw&oe=65692631&_nc_sid=bc0c2c,"🖤 D I R T Y  T H I R T Y 🖤

•
•
•
•
#dirtythirty #dirtythirtyclub #30 #30thbirthday #30thbirthdaycake #blackcake #blackcakes #lambeth #lambethcakes #lambethcake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['dirtythirty', 'dirtythirtyclub', '30', '30thbirthday', '30thbirthdaycake', 'blackcake', 'blackcakes', 'lambeth', 'lambethcakes', 'lambethcake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",29011,97,"West Covina, California",2023-04-23 19:03:34,GraphImage
8,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/345877000_258568146664753_620738820795189416_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kw49RWANCwsAX8bvmeo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC1okNXjn005SC2QWVdx1S9CmYaWoWMg1DRxf20_F5PMg&oe=65686474&_nc_sid=bc0c2c,"T w e n t y  e i g h t 

•
•
•
•
#28 #twentyeight #28thbirthday #28thbday #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['28', 'twentyeight', '28thbirthday', '28thbday', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",28303,62,"West Covina, California",2023-05-12 03:56:35,GraphImage
9,bakedbyjulie_,68490,453,False,True,None,1192,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/380573019_272096955756641_6316324447937369582_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=PVx6blcb3SYAX_D43RD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAXu7uln5K2KgQuFuLbeKHhlbw4hkDJEYxJl_YvEEoGMw&oe=65692145&_nc_sid=bc0c2c,"A bed of flowers 
🌹🌸🌺🌷🌻🌼🪻

Design from the lovely @disco.sugar 🫶🏻

•
•
•
•
#floralcake #floralcakes #buttercreamflowers #buttercreamflower #buttercreamflowercake #lambeth #lambethcake #heartcake #heartcakes #heartshape #heartshapecake #vintage #vintagestyle #vintagecake #vintagecakes #buttercreampiping #cake #cakes #cute #cakelove #lacounty #cakesofinstagram #cakestagram #westcovina #supportsmallbusiness #626 #bakedbyjulie_ #customcakes #foodphotography","['floralcake', 'floralcakes', 'buttercreamflowers', 'buttercreamflower', 'buttercreamflowercake', 'lambeth', 'lambethcake', 'heartcake', 'heartcakes', 'heartshape', 'heartshapecake', 'vintage', 'vintagestyle', 'vintagecake', 'vintagecakes', 'buttercreampiping', 'cake', 'cakes', 'cute', 'cakelove', 'lacounty', 'cakesofinstagram', 'cakestagram', 'westcovina', 'supportsmallbusiness', '626', 'bakedbyjulie_', 'customcakes', 'foodphotography']",22964,74,"West Covina, California",2023-09-19 19:04:31,GraphSidecar
