,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/120215577_174133574198382_686629770884787458_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=2YZIAJDdGNkAX8Y8c4V&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD6DIWqc8eJzTfQIQfdWYpJfgJiuCzsp5QbYxFMaMijKQ&oe=656786DC&_nc_sid=bc0c2c,#BounceBack #FroBam 🗣,"['bounceback', 'frobam']",197005,2266,,2020-09-28 04:25:22,GraphSidecar
1,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/350250717_1794587591011927_1585334627934995797_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=SecrUDLPC3cAX87uEMb&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExNDM2NTI2MzYyNjAzMzA0Ng%3D%3D.2-ccb7-5&oh=00_AfC6DroxsekfPaRoH92nThUB5HCunNYUprXmeSSt-4PxBg&oe=65680243&_nc_sid=8b3546,ECF 🙏🏾,[],193585,1733,,2023-05-30 21:14:53,GraphSidecar
2,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/129790304_5063625923678181_2298157956827123858_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=LxXzv57b1a8AX_mRv9A&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDh1QAo4cqgLjKIxyukWeVdWqkcaA6p2wRRJR-JDkGQVA&oe=6566CD08&_nc_sid=bc0c2c,SCREAMING HAPPY BIRTHDAY TO MY WHOLE 🌎 💙 You Deserve This And Much More 🤞🏾 You Can Officially Say “This My Sh*t” 😂😂#MommaGotACrib✅,['mommagotacrib'],144791,2309,Da Crib,2020-12-07 02:17:14,GraphSidecar
3,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/220069199_181688050655706_714653365594016723_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=iTGHWMOjotYAX-WxZiL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDz93LSZVFYG8My4gwajxnCW-x0TjQ37559iloAPM0YAA&oe=65667694&_nc_sid=bc0c2c,24 ✨💜💛,[],139666,1385,,2021-07-18 19:00:09,GraphSidecar
4,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/346325094_793186222377655_1020633188897639364_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=3GKYvzYy8kIAX_ejP8o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnFIS6KTf93pTnssj8kNWzN3YJBaYDJ1CUl834_rFGBg&oe=65680394&_nc_sid=bc0c2c,Second Round 🍎,[],138799,1416,,2023-05-13 23:29:55,GraphSidecar
5,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/118922228_671266883597878_5665886837245812008_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=hH6wREEpvb0AX8P8xIa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCLs3Ym4jrHfxID7MRrHzECIw7Di_4rFe6QFBNFn9EeXA&oe=656730B4&_nc_sid=bc0c2c,#BounceBack #FroBam 🗣🗣,"['bounceback', 'frobam']",128757,1772,,2020-09-09 02:22:48,GraphSidecar
6,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/234786808_1036232990514699_3261444577944196803_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=LVeCIIpaP-gAX9vylOA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJ00WlzO5ZmOMYnHovhSny9tEs1wXOAKYoSR-McleUcg&oe=65676A6F&_nc_sid=bc0c2c,#GoldMedalBam Got A Nice Ring To It 🏅🍾,['goldmedalbam'],126852,782,Going Home,2021-08-07 19:31:15,GraphSidecar
7,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/154299030_3878917258836814_7734940376336328479_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=rK7LUO0hH2QAX8b_iLT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBKa9ZOI-t8R_YZ8T-1HA_dsIwCCsak1_4_EKa988g4jA&oe=65679BE1&_nc_sid=bc0c2c,Proud to be joining the #JUMPMAN family. Let’s get it. @Jumpman23 #BounceBack,"['jumpman', 'bounceback']",111705,1069,"Miami, Florida",2021-02-26 16:29:19,GraphSidecar
8,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/175149211_288523332814974_2606398739882613719_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=6eUxBlAlQHcAX8herzT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANBCT_l79nKqJ7K5KZYxLClIq2YRQ4fSX-oL6tkSBO8g&oe=65673781&_nc_sid=bc0c2c,“That’s Grown Man Sh*t” - @caronbutler 🤝 #BounceBack #FroBam,"['bounceback', 'frobam']",110049,874,Kaseya Center,2021-04-18 23:58:09,GraphSidecar
9,bam1of1,978871,728,True,False,N/A,462,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/152292739_426631978593268_1889309390264705025_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=V7wh5pAPerIAX-xHzDJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBfGGuR5mLaabs_EQdzodzV6UtXArTV-2pfr693O7A-ZA&oe=65665D74&_nc_sid=bc0c2c,#BounceBack #FroBam,"['bounceback', 'frobam']",99147,418,Crypto.com Arena,2021-02-21 05:19:06,GraphSidecar
