,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/95658320_3003284143092927_4315199084847105810_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=yW9iSVCab1kAX_9QkEZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD0iaXNAwx71u0FmZTsTBJ0LOz2uwiaf-BXOVAZGpHV3w&oe=65622E58&_nc_sid=bc0c2c,".
.
Game Changer",[],2898667,31276,,2020-05-06 16:50:06,GraphSidecar
1,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/93451567_683209415822456_4816459391108894996_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=gAYnqRSk3_YAX8Q7Wcl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDq0q-qckdUAi1Eq-K2bCpjp53he50wRN1DgNnzl_kTXw&oe=6561C1AE&_nc_sid=bc0c2c,".
. 
My wife hates it when I work from home.",[],2816029,31002,,2020-04-15 17:45:07,GraphSidecar
2,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/130291372_132027258551453_1136826904748887375_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=w6gp8k38dkQAX_McngU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHmA1m3vqqXZdj3QGf-LjQx_ANdlR-rsqC8-IUWWs2Ug&oe=65619BAF&_nc_sid=bc0c2c,".
Aachoo!!",[],2767321,19239,,2020-12-10 16:18:17,GraphSidecar
3,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/102377145_598818314079512_7791767960997505906_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=im0WkkvmVgUAX-XjQjj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC8FHnHLwefXY_RKPF4j-mpGjGNb-hdBOqa0OZmmoMJFg&oe=6562E962&_nc_sid=bc0c2c,,[],2702296,23419,,2020-06-06 10:30:06,GraphSidecar
4,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/315149891_188496503826706_2263068941418397426_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=-KWvDD6kyfEAX_23Csg&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk2OTQwMTE3MjEyNTk2OTgzNg%3D%3D.2-ccb7-5&oh=00_AfC9GMkBlGw0iIQ8JowCV3-BACGuXTQybeVsrSOI1wRytA&oe=6562B6AC&_nc_sid=8b3546,".
Borodyanka, Ukraine",[],2305996,22912,,2022-11-11 20:57:06,GraphSidecar
5,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/122007933_124519492744697_4289097672442862804_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Td2tt-nmClEAX96jHL-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBRTbBrpfaKJkv7BCK8Y8HvKSANhaaiU2W6TTpw1YtwyQ&oe=656336A1&_nc_sid=bc0c2c,,[],2163547,13653,,2020-10-17 09:15:58,GraphSidecar
6,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/102416168_265738761318371_5464249818263522135_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=TtkXXkHAlOgAX-NHkN6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCG7OnUZL1dUulaa6NMWlaMoLXKGCHplvuNgA0I0fY2yQ&oe=65621E04&_nc_sid=bc0c2c,".
.
What should we do with the empty plinth in the middle of Bristol?

Here’s an idea that caters for both those who miss the Colston statue and those who don’t.
We drag him out the water, put him back on the plinth, tie cable round his neck and commission some life size bronze statues of protestors in the act of pulling him down. Everyone happy. A famous day commemorated.",[],1816942,11209,,2020-06-09 11:21:41,GraphImage
7,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/84582479_522067958691930_8114846026666997507_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=gtbv0sH6wAMAX8N8yN1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9AiLkggrwYialIy3zcrNLpJ-pB6r8yB7Tbm2U-ClIUw&oe=6562DD78&_nc_sid=bc0c2c,,[],1758319,9437,,2020-02-14 00:02:12,GraphSidecar
8,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/330420531_2023085401416256_1792250184037948437_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=ZnGnkRhz5boAX_eY-bZ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAzNzg0ODY1NTg0NzYzNjE2MA%3D%3D.2-ccb7-5&oh=00_AfDoy0S0bhKPWPOh-CYAoCUo4wPblx190JDAPAVPvIegwA&oe=65637C00&_nc_sid=8b3546,,[],1745320,8908,,2023-02-14 07:30:02,GraphSidecar
9,banksy,12178187,0,True,False,N/A,134,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/336152069_738286351334179_1460681052680622336_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=rqp1un2KrLoAX_FXkgc&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1OTAwMDEzMTQzNzMwODUzNw%3D%3D.2-ccb7-5&oh=00_AfBd1yENge2O4kk4X__bFlSTJZC47fAubkKSZ_EJuNbzcw&oe=6563531A&_nc_sid=8b3546,,[],1578594,6704,,2023-03-15 11:54:14,GraphSidecar
