,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/129078982_3543920232355859_6590595226850365648_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=0MT_c1FDFgsAX_33P1D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCEhTCAU9rTr7z0nKzTFoge_-aEVRSn8qeq2wEuYbBCTw&oe=6565A888&_nc_sid=bc0c2c,"🌈FSK IN THEIR BARROW LOOKS ✨
What is your favorite? Comment with 💗, 🍂 or 👻. 
Stay tuned for the bag 👀

@chiello_fsk @taxi_bi @sapo_bully",[],25196,171,"Milan, Italy",2020-11-30 18:59:42,GraphImage
1,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/330808574_3092745507538649_2303116874549253025_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=gOrOmM1c0toAX98RS8I&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD75OZxPGg2Zl0KjO-88XZdAqIaFo5T_rhsh8peptxzGg&oe=65658276&_nc_sid=bc0c2c,"THE ISLAND OF BARROW
They floated on a soft metallic mouth 
vibrant of sunlight.

#BARROW #BARROWOFFICIAL 

Creative Direction: @chiccasenia 
Talents: @thevictoriastella 
Photography: @stefanocarloni_ 
Styling: @dfsablon
Visual: @sr_formica 
Makeup: @silvia_acquapendente
Hair: @cosimo_bellomo","['barrow', 'barrowofficial']",15676,14,NeverLand,2023-02-13 16:00:00,GraphImage
2,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/129776841_1033463847120797_8896422441798541561_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=-9EhdMoVuGEAX8a4RSb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXlrAUMD4ebFgjsHPtDg21KGWOJ2ACgEUQcCT-APGeYg&oe=65674F3A&_nc_sid=bc0c2c,"👑@darkpyrex777 wearing or FW20 Camo Logo Tee & Tie-Dye Bucket hat!🌈Do you like our custom pillows? 
let us know in the comments✌🏻

#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",14185,16,,2020-12-07 19:03:38,GraphImage
3,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/152452973_893909928062191_280391631438716839_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=6M0b8EuJYdcAX8v_xvO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmTMxCbt5n2lk8gzNUPt4qi3jClcsKgE2__y-bF7Z77w&oe=6566184E&_nc_sid=bc0c2c,"x @sferaebbasta 🌎
🌈An entire collaboration inspired by supercars and the culture of racing championships, for all the speed lovers 🏎💨✨

out on **/02/21 👀 guess the date in the comments for some exclusive spoilers👇🏻

#BARROW #BARROWOFFICIAL

foto: @andrea_bianchera
video: @nicola_bussei
make up: @mariacarlini.mua
styling: @yleniapuglia
creative production: @nopnop_finally","['barrow', 'barrowofficial']",11117,145,"Milan, Italy",2021-02-22 19:43:18,GraphSidecar
4,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/232053546_370639351340404_9049221658783385533_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=rhEdRdKL7i0AX__V4vo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmid7d_qrPQrSvPiYaxFmCCn2Tnb6PdIXpqXdkWoS2yQ&oe=6565EAFF&_nc_sid=bc0c2c,"🌈@sferaebbasta blessed in our FW21 Tracksuit🍂Shop Now the New Collection in our webstore! 🔥

#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",11188,26,,2021-08-03 18:17:02,GraphImage
5,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/187725286_1368108236896833_2697294084843434876_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Ik6BRfzkdXsAX-zazSv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDmVqHe1HmfT3wHZNpVKrK_u8r9Lye1hxe_HpTNvzuXLA&oe=656665E6&_nc_sid=bc0c2c,"🌈@chiaraferragni in our Spacesong Collection Logo Tank Top & Bubble SweatPants💖
#BEYOURSELF #BARROW #BARROWOFFICIAL","['beyourself', 'barrow', 'barrowofficial']",10631,60,"Milan, Italy",2021-05-20 13:20:13,GraphSidecar
6,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/131995164_125852885928417_8764280738072113798_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=J0zlFyVD-OcAX8Vx0m1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBnK7XFggfrIZAwVTECbDlu7FrW3Do54PRUDIALP8lnrQ&oe=6565FBA2&_nc_sid=bc0c2c,"🪐FAMO$O LOOK , 🔥@sferaebbasta in our Tie-Dye Joggers🍂 qual è la tua traccia preferita dell’album? faccelo sapere nei commenti📲

#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",10546,12,"Milan, Italy",2020-12-22 19:47:12,GraphImage
7,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/169788200_1076380349519019_5276319106179025311_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=qSp4EySNrjEAX_QrvGC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDnx3ppruYpsyY8k3r46IIteKrhfk-z0Zfj_gG2w4iexw&oe=6565DCC4&_nc_sid=bc0c2c,"🌈FSK TRAPPIN IN THEIR SS21 BARROW SHIRTS✨Which one is your favorite? 
Comment with 💜, 💙 or ❤️. 
📸: @marco.p.valli 
#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",9730,82,"Milan, Italy",2021-04-07 18:15:37,GraphImage
8,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/123297473_827638571395091_1049807792041817804_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Fryei518qJUAX9wJNP9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAdYKALIq-9ZWD7nXL9BYdyPn7ErfnCe5e7eCCLfoh-MA&oe=6565BFA7&_nc_sid=bc0c2c,"@sferaebbasta wearing our nylon camouflage pant 🔥
what is your choice? 💜 or 💚?

let us know in the comments!✨

#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",7935,30,"Milan, Italy",2020-11-09 19:00:02,GraphSidecar
9,barrow.official,121109,78,True,True,None,472,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/104411001_276622393587543_8330723943003550128_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=W4X9q43KAS4AX86iyii&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBckB4nz1Ijazu9JIp3aJKZBDrunkOGi3baYnyALrmlVw&oe=6565C643&_nc_sid=bc0c2c,"🌈FSK TRAPSHIT 💸⚔️🩸
#BARROW #BARROWOFFICIAL","['barrow', 'barrowofficial']",7653,50,,2020-06-23 18:01:13,GraphImage
