,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/123138829_713227219574606_219009023576141210_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42Mzl4NDc5LnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=dCSRH9mNiVsAX_surLV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQzMDExNjA4MDIzNzI0OTQ2OA%3D%3D.2-ccb7-5&oh=00_AfCnXVO4qm-VjcJVe3yrwTPwVm2Qmlv4hlWt71oSpDHo9g&oe=656BFE33&_nc_sid=fc8dfb,"This election year, science is on the ballot - which means our climate is on the ballot. A vote for @joebiden and @kamalaharris is a #VoteForScience. So vote!",['voteforscience'],320427,9096,,2020-10-28 19:13:53,GraphImage
1,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/20987135_1460487180708310_8464011051438964736_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=vjwjd-a4q9gAX-goiSk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTU4NjQ0MDEyNjgyMDk2MzIxNQ%3D%3D.2-ccb7-5&oh=00_AfCrDZgK6Lx_oYbasIoFcX2tdhJG_w8uKePKRRQADHgjYA&oe=656A8FA7&_nc_sid=fc8dfb,"Experiencing an eclipse changes the way we feel about space and how we are connected. I hope this moment reminds us all that we share a common origin among the stars, and that we are all citizens of the same planet. #solareclipse",['solareclipse'],272569,1979,"Beatrice, Nebraska",2017-08-21 18:00:22,GraphImage
2,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/120344090_380307086469292_7515447575842555185_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=E8V1dUpfY8wAX-Ay350&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQwOTk2MTg0NTI4NTg2MDgzNA%3D%3D.2-ccb7-5&oh=00_AfBeU7jU63lgrqyJDW_56tQEk5-pC81vm_VdNUVYqsPy0Q&oe=656C0D64&_nc_sid=fc8dfb,"108 Fahrenheit, 30 September. Not really a forest management issue... is it? It’s climate change. There is work to do. 
#VoteforScience",['voteforscience'],271205,3042,,2020-09-30 23:51:01,GraphImage
3,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/36159738_565002927228306_1721370536585461760_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=TV8XQuhtkQQAX8KCkME&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTgyMjA0NzE4ODIwNzAzNjc0OQ%3D%3D.2-ccb7-5&oh=00_AfBLqot_EuQHBF9Dt33__srX1JF-SxZvcE-Qkp1HHAhxBQ&oe=656AB418&_nc_sid=fc8dfb,"On the grid— but these days, only now and then.",[],247525,2402,,2018-07-12 19:49:32,GraphImage
4,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/118685448_1233395397013000_631340425834644552_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=QEWzhxA0UuwAX9zrZMa&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM4ODA5MzQ1NjQxNDI1OTM2NA%3D%3D.2-ccb7-5&oh=00_AfDvtZqLOBBE-k-nsPYqkTrkEzZzszqXaJNPWA89jJO0jw&oe=656AD92A&_nc_sid=fc8dfb,"I got a flu shot. Protects me. Protects you from me. Please get one, too!",[],242180,4115,,2020-08-31 19:42:26,GraphImage
5,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/49753229_127634818276889_3909534235748753438_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=xdOqq8fkytAAX-nOOve&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk2MTU1MDAxMTI4ODU1Njk3MQ%3D%3D.2-ccb7-5&oh=00_AfBXwvSMCOrThJTMGJdqAqHrRDxH-gmdQPGhZ8dgvlD85g&oe=656C0E8A&_nc_sid=fc8dfb,My modest telescope and a phone cam. Ours is an amazing Cosmos.,[],234544,989,,2019-01-21 07:16:44,GraphImage
6,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/28428681_166478000673276_3004613907437322240_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=cWS7gSb2L3MAX8pAwCr&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTcyOTU1MDc5MzA2MzExOTE1Ng%3D%3D.2-ccb7-5&oh=00_AfDnJ9AZ-RR0LxCJpFs8Sm7QZlSlmkWLQUVlxyfv73ViBg&oe=656C173D&_nc_sid=fc8dfb,"Thoroughly enjoyed this morning’s conversation with Canadian Prime Minister @justinpjtrudeau at the University of Ottawa. Canada is investing in innovation. It’s not magic... it’s science, eh?",[],219879,2585,,2018-03-07 04:55:43,GraphImage
7,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/52834698_1475492299248999_9059009132365457619_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDgxMC5zZHIifQ&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4JyGYWpck_4AX9RPlYc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk5NjEzOTUzOTI0MDI2MjkwNw%3D%3D.2-ccb7-5&oh=00_AfBM-8xxZMobaLi5MRIjHKBMMo93snjD1P8PNB15E6dgdw&oe=656AE7A4&_nc_sid=fc8dfb,"AOC gets it. She sees that fear is dividing us. We can address income inequality. We can address climate change, if we get together and get to work.",[],215286,5656,SXSW,2019-03-10 00:39:58,GraphImage
8,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/50966820_1909227879113654_6626071797569344350_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi41MDB4MzM0LnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ekk62Jy1Dv4AX8i6U4I&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3OTUwNzIxNzg2MjU5MzY4Ng%3D%3D.2-ccb7-5&oh=00_AfBGPAwk8FNeXGcGUPz6zYS7Z12uPQlruRO3xlKS7dZM4w&oe=656B2D17&_nc_sid=fc8dfb,Happy Valentine’s Day 🤷🏻‍♂️,[],195725,2705,,2019-02-15 01:54:30,GraphImage
9,billnye,2996685,110,True,True,None,433,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/28750804_1666518283415224_3312764363382718464_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=N5XaQ8m9iGYAX_-GHY4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTczNTE5MTg5NDg4OTUzMjMyOA%3D%3D.2-ccb7-5&oh=00_AfAGNRAofm-Jn17JOU1OGvX8ZW1GiRa7XV_JqSaxYm5rmg&oe=656A602A&_nc_sid=fc8dfb,"While here on Earth, Dr. Hawking made pondering the cosmos and our place within it commonplace. The extraordinary became everyday. Although his time was brief, his work changed the world & he will be missed.",[],189337,1056,,2018-03-14 23:43:34,GraphImage
