,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/368568013_313454177707320_2766270579468616907_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=kX8nmSSM6hsAX88tOuZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIevMGGxvjisstJtBk9_58og5jwFD5OVxNoq0aHMW0yA&oe=6567A9AE&_nc_sid=bc0c2c,campfloggnaw.com,[],144475,7455,,2023-08-18 20:17:26,GraphImage
1,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/350447845_267015399139717_7089257153738945704_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=fNaMzMeYecEAX9qgwp5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2wH-6SHG0LOE0qoc3iFW48Aev1Z0_NKqqJh2h_IJMvg&oe=6567B785&_nc_sid=bc0c2c,"Camp Flog Gnaw Carnival returns 🎡 Register now for access to advance sale passes starting Friday, June 2 at noon PT.
campfloggnaw.com",[],109335,1895,,2023-05-31 15:03:41,GraphImage
2,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/67265405_694489030976151_3251765923368829504_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Qa2ts3CRM9cAX8mQz4w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB1I4aknorszG5nOD9qbCuAOMkVAcy2bEpQ8OWPmm-ceQ&oe=6568DBE7&_nc_sid=bc0c2c,"Camp Flog Gnaw Carnival 2019 ✨
Passes on sale Friday 8/16 at 12pm PT.",[],91132,5041,,2019-08-12 19:00:48,GraphImage
3,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/399336849_371768392084316_7707026978034193889_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tz-a3IBxkBsAX97hNiY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCooFgCDSvyk2lbrzk04FeYsCno10VJ0aVWxm6SK9xyHA&oe=6564B5CC&_nc_sid=bc0c2c,Set Times for Camp Flog Gnaw 2023 are here! Be sure to download the app to create your own Carnival schedule 🎡,[],67379,1866,,2023-11-06 16:09:42,GraphSidecar
4,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/399990363_18406216366032220_5729207866249898268_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=wdGGwPB9G5UAX8OB4va&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCRGBfhqhb5s7LoHdIUa7QAL7oeOG9SNcrR5Sgs6jkdng&oe=65674275&_nc_sid=bc0c2c,Highlights Day 1,[],53541,166,,2023-11-12 19:49:39,GraphSidecar
5,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/397489978_1935834040147386_797103479964132371_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=mIfqtB0ahhUAX-hY_hu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCVOWci_LF0wqEadDB2LdQtg7CQEQDkrlD1kLHcH1LSbg&oe=65683E07&_nc_sid=bc0c2c,,[],49903,1649,,2023-10-31 21:11:37,GraphImage
6,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/400003330_18406448494032220_6460262718012630863_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=YpymjQM2dZkAX8pP0T9&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNTQ2MTgzNjAxMDU3NTczMw%3D%3D.2-ccb7-5&oh=00_AfAYVJbV3MJFW96dlUwVlU9hhM6Pjn1yqrqIG3Ijf2oYUg&oe=656790CF&_nc_sid=8b3546,Highlights Day 2,[],36159,95,,2023-11-13 23:12:09,GraphSidecar
7,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/400188820_18406112038032220_234041764292683460_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=pHiq1x3L6-UAX-afJ3g&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfA4lixJkAwcFXm8RukgEQu_040czBTTtg1IABPqCboLnA&oe=6567AF91&_nc_sid=bc0c2c,The Hillbillies’ first ever performance,[],35296,192,,2023-11-12 09:04:08,GraphImage
8,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/350888312_999084171105156_2857937263137269477_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=zqFX5LYjaCwAX-66sVF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlB2OG96Wj1yQsZDl95VP1_yGzpQeJwhZyBuyzeTc-oA&oe=6567AC87&_nc_sid=bc0c2c,All Camp Flog Gnaw passes for 2023 are completely SOLD OUT! See you in November 🏕️,[],30116,4388,,2023-06-02 20:26:32,GraphImage
9,campfloggnaw,204376,42,True,True,Local Events,425,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/370422416_1024993148946192_5688503245986232440_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=cyCaxZ7gc2cAX8hGV6P&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZsF652Pg2q9mnBiK9UXX72jLpELWIXmHb9_0kMb-mCg&oe=65688C5A&_nc_sid=bc0c2c,Earl Sweatshirt returns to the Camp Flog Gnaw lineup this year. ‘VOIR DIRE’ out now @soapmanwun x @alanthechemist,[],33743,367,,2023-08-25 18:45:34,GraphSidecar
