,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/334243832_912846546717999_4526316056583564167_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=_RWFHYRshQ4AX8gNmTJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD04eGHl5CfAvZQMtoeruZDxlyi6lWKQX-dzOg3-MUSbw&oe=656AFC7B&_nc_sid=bc0c2c,"💫

@donatella_versace @versace",[],639244,4959,,2023-03-11 01:25:59,GraphSidecar
1,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/119678411_190007119198309_8920319008137677994_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTYyeDExNjIuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=cQKJaUSns2cAX-FZgK2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM5OTU2Mzc2MTg3NjE0OTY1OA%3D%3D.2-ccb7-5&oh=00_AfANvw6lwr4UW2i9FQNcvF-JFo3YBgQT6y5KM5jtWcs7qQ&oe=656A6558&_nc_sid=fc8dfb,❤️🐘,[],257220,9561,,2020-09-16 15:31:53,GraphImage
2,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/75476804_724645704706846_1536025255828901384_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=9O6Z30zwdHIAX_iFLUk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE2NTAwNDU0Mzk5NjMyOTA0OQ%3D%3D.2-ccb7-5&oh=00_AfAm5Ho5TGIj8mcWWfIIYdBXXOW08jgkLbXeMUPWPFuORg&oe=65699191&_nc_sid=fc8dfb,Just resting my👀 📷@pauletteakapauly,[],261178,4251,,2019-10-29 00:24:35,GraphImage
3,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/88138936_1826617164135366_4756684328691318877_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=cIRKOA1-zUEAX_wTGYa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA4QF8P2e3rAGUgeMGMWNg1hMErdegGbY1V78A8i04WXQ&oe=6569E16D&_nc_sid=bc0c2c,"This is from my full cover story with @naomi and @kimkardashian for @crfashionbook issue 16, read my interview and pre-order the magazine at crfashionbook.com #cr16",['cr16'],253726,1894,,2020-03-01 04:06:36,GraphSidecar
4,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/118998067_125375638979784_6041257934216242484_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzg2eDEzMjMuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=HeXg0PDErEwAX_kYRSu&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM5NDg3NTg2MDI4NjI4NzExMw%3D%3D.2-ccb7-5&oh=00_AfBFpRhsP0hiczT0iLuEhoa30ygeXURtUSwrtUmao3gQhA&oe=656B466C&_nc_sid=fc8dfb,🤟,[],251915,3206,,2020-09-10 04:17:51,GraphImage
5,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/376679243_641546218043620_7044986413802462633_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=oLRj1CvCv6AAX8H0TO3&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE4ODE2Nzk1MTE0MzkxMzMyMQ%3D%3D.2-ccb7-5&oh=00_AfDVAzoN_nrPV8BQNk4s1czqpSzCzCg2eaVXOSqTRBR1rg&oe=656ACC64&_nc_sid=fc8dfb,"Christmas already?  But I’ve got nothing to wear…

Link in bio 🔗

#cherchristmas",['cherchristmas'],250939,2888,,2023-09-09 17:07:38,GraphImage
6,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/262223021_1079954152782603_5893845014399727057_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=-VU0xSOSqUQAX8HFdVo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcxODU1NTc0MzA5ODgwODIyOA%3D%3D.2-ccb7-5&oh=00_AfA47OtSMwxReYU3ZPOT5ESFcfyja5HBl46IbVqyTxeeXA&oe=656B6550&_nc_sid=fc8dfb,"@bryanadams 

#pirellicalendar",['pirellicalendar'],241113,1857,,2021-11-30 18:32:00,GraphImage
7,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/286323377_587148502732655_9185308651164319678_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=uQGzqoWs82AAX81Vysz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg1NTU1NTAwNjA4MzIxMTkyNQ%3D%3D.2-ccb7-5&oh=00_AfDn6QCO0G1vuScKneFnjounFBenRGY-lYf5ggZiDrWGyQ&oe=656A8D94&_nc_sid=fc8dfb,"Just hanging @ home rocking my new #Chersace t-shirt celebrating #LGBTQPride (And proceeds going to #GenderSpectrum ❤️)
 🏳️‍🌈⚧💅😎","['chersace', 'lgbtqpride', 'genderspectrum']",219844,3778,,2022-06-07 19:05:05,GraphImage
8,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/375226301_798602358614559_2677609012420511217_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=fkUQs8umwM4AX8zPw7a&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE4NjY4NjU2Njg5Mzg1OTIzMg%3D%3D.2-ccb7-5&oh=00_AfB4OSBw2ba8hU8xACUmt9fO6a4YLBSAy2SdBCp4bsIR1A&oe=656B6CC9&_nc_sid=fc8dfb,"Are you spending Christmas with me?

#cherchristmas",['cherchristmas'],206982,4273,,2023-09-07 16:04:23,GraphImage
9,cher,2734074,45,True,True,None,238,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/395217158_704242774668612_551302371437563978_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=DCJlS2hdyv4AX8vnCtn&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMjI1MTk4NzgzNTE3MjEzOA%3D%3D.2-ccb7-5&oh=00_AfDcKdsbJNlTQw8q47Hj9AW7x21Eu9R7dzM7U-fGFqO0Kg&oe=656ABABD&_nc_sid=8b3546,"Behind every story is a song 🎶 

photography: @anlestudio
styling: @patti_wilson
styling assistants: @maxjw.__ @jnoereyes @elliotsoriano & @saintfra.ncis
hair: @serenaradaelli
makeup: @francescatolot
production & creative: @nowopentv
cover type: @qoralswjd_
special thanks: @pattersean @sam_worldwide_agency & Liz Rosenberg
editor-in-chief: @justintmoran
managing editor: @mattdwille",[],205422,2333,"Los Angeles, California",2023-10-26 17:46:32,GraphSidecar
