,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/367024135_139194142566326_5328937988699504099_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=chEWMSRuAKgAX-d_jMO&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE2OTIyNDg3ODgyNDc3MzY2Mw%3D%3D.2-ccb7-5&oh=00_AfDfMcc6yLjeCLseAF7Lr2p61RWR8Zm52mNB6AIN4N17vw&oe=6567ECFF&_nc_sid=8b3546,"I am so excited to have a special coming out on August 18th (Friday!) I started doing standup at 16 at the suggestion of my mom and in the 20 years since, it has brought me insane joy and also agony.
 
HELL was made under the bold leadership of @catsolen and @jenstatsky who made me feel like anything was possible, and without whom the special would just be 30 seconds and shot in my car.
 
I hope you like it, and I am so grateful for all of you. Without you, I would still be performing in venues that primarily do TNR meetups. Your support has given me a career when the industry said no wtf absolutely not. 
 
Thank you so much, Chris F.",[],27083,706,,2023-08-14 13:51:07,GraphImage
1,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/297314012_1399426337209491_9078491225269421949_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=481tVMhE8dIAX8V-lQz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDhGTGhNAE-YItZWvyCY4U16S23PCuooTw_KRCs-AeSYg&oe=6567575A&_nc_sid=bc0c2c,"Last summer we shot the pilot for a show called I’m the Mayor of Bimmi Gardens in which I play the mayor of a town off the coast of Florida (but technically a territory of Maine) with some of the most incredible people 
Slide 2) @sean.bannon plays my adopted 17 yr old son Tim and here he is singing a song to the moon that @perfumegenius wrote 😍
@then0t0ri0usvip plays RossandRachel, deputy mayor of Bimmi Gardens, here she is popping up like a gopher in my arm crevice
Slide 3) @comediennemspat plays Sheriff Peggy Fiasco, pictured here telling me she wants to see me in a wet tee
Slide 4) here I am as the Mojito Demon, also pictured is Levi who plays José, a manipulator
Slide 5) we utilized Crouching Tiger Hidden Dragon technology for sever small moments
Slide 6) an amorphous blob is the mayor’s approval rating and it lives in a terrarium, changing color based on the mayor’s popularity 
Slide 7) here we are celebrating the Boba Harvest, as well as me donkey kicking a mojito out of José’s hand
Slide 8) jumping off vespa 
Slide 9) the blob being tickled 
Slide 10) a long hug with @terencelee.jpg and @kurtyue shot by @mattingebretson

 @mattingebretson @terribletown Jake Weisman and I started working on the show in 2018 and I love them and it dearly 😌
@laurenoppelt made incredible costumes @ballard.hair.design did incredible utopia hair",[],20243,557,,2022-08-03 22:46:27,GraphSidecar
2,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/52663274_126921111765920_8531181221496584139_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=3oJ-aJrj278AX9xfQZQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMeXyWbyOlxIP9lZo3TO0eqwKW1F84bbDjS9CIRlE_hg&oe=65683197&_nc_sid=bc0c2c,I dropped my phone when I first read it,[],19961,462,,2019-03-15 01:39:22,GraphSidecar
3,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/137368647_454231492256446_2042853475333193076_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=nEuOD24u1wIAX-IV8q2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBtw6kq525pW7V8wawCkUxys5njiqg5luBEzd4Hd_-DvQ&oe=6564721A&_nc_sid=bc0c2c,Normies Are Getting Creative,[],19255,484,,2021-01-12 03:07:23,GraphSidecar
4,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/402097844_2403356326719399_7377102138589585934_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=kbqt0T-qGjUAX-ze8rz&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNTkzNDc0NjE1MTEyMDMzMg%3D%3D.2-ccb7-5&oh=00_AfDQV9lCZlFUxQ3iEfVo1mpAT5x48X4uUkYCRJ1uD3MSOQ&oe=6568A151&_nc_sid=8b3546,"a lot of lost hikers claim to see this figure that cryptozoologists are calling the Wenchman (North American He-Hussy), and while doctors chalk it up to dehydration/delirium, we can all agree that seeing this thing doing a samba step on a log would be ROUGH on hour 9 of a hike 📸 by @justoffthesix assisted wonderfully by @itskikiandersen",[],17554,188,,2023-11-14 14:51:44,GraphSidecar
5,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/53695712_846811792328755_3277982606129470236_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=AmrueaCf9JwAX_sxzud&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBcG4xMdsfXomjVPf0Zj7eDe-jxVjxt1Tjc6pyloCms3Q&oe=656457D3&_nc_sid=bc0c2c,THE GRAD STUDENT SHUFFLE,[],16349,893,,2019-03-20 14:52:41,GraphSidecar
6,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/71177062_1149856638552812_5376130616091950593_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ElfieG_u6HQAX-iZ7S0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBhzc7V3Fr9fysKaKFs8iD-kf4Ps4xNeUd40d30lP1aVA&oe=656836FE&_nc_sid=bc0c2c,"excited to be taking the Shelley Duvall Challenge, wherein every day of October I dress according to Shelley Duvall’s character arc in the Shining! Here, a good mom in the Denver suburbs, by month’s end, I will be in shambles, covered in snow holding a bat",[],16637,220,,2019-10-11 03:01:02,GraphImage
7,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/83154550_192724815435968_6169789746591167955_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=qsU9YoTaphEAX-s1J3D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBetXroWMuwkrSmdQ-h8ZNfycyUDf6EMKdiHAELOfKetQ&oe=65670DDE&_nc_sid=bc0c2c,I AM JOE PESCI’S WIFE,[],16433,216,,2020-02-09 03:15:32,GraphSidecar
8,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/90144934_166103461063244_7209007756977121054_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tS8iynnPlWsAX_4o1n0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDFRUPCrUJr1oTa76YeTYgy0qsWN6YKFQyYAcT8pzbuxg&oe=65646EF1&_nc_sid=bc0c2c,sufjan stevens//nailclippers,[],15845,535,,2020-03-19 22:00:20,GraphSidecar
9,chrisflemingfleming,161482,941,True,False,N/A,364,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/55726603_189458668696492_6686405300088849201_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=tsYTALflVCAAX_JDWQT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrwZLrQLtug3OdU2gfkzv2QHDrQNk_4lzOd-N7iY_nDQ&oe=65671221&_nc_sid=bc0c2c,out in the field making sensational discoveries,[],15938,235,,2019-04-02 05:17:33,GraphImage
