,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/129791937_412881603194860_6437622171245371687_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=KOTEzSx6OVMAX-0Ups3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDiRkeNE1eO313VIy0GP7GrKhcbyYQz2vgR9iePFMrv2Q&oe=65680CE8&_nc_sid=bc0c2c,🐰🐰🐰 gahahagah,[],223897,4142,,2020-12-10 05:14:55,GraphSidecar
1,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/124125494_830717721108159_6658387052731259270_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Tjw1P4FssjQAX-dmWlo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDlmd78XpOTM6KDDLEwVNNskOpBLDtk31vlPYhwjr7E2g&oe=656788ED&_nc_sid=bc0c2c,NEW MERCH!! Go buy it on bigballerclaire.shop or the link is in my bio,[],204334,1948,,2020-11-09 23:30:19,GraphSidecar
2,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/121655968_1076480652781751_2931707450811074068_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Xz92wsX1aQ8AX8I9z8g&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCQxtI5exQI_VVBVpr50Kpo2Q-oDSW4e3SnpDrcmt20OA&oe=656834F0&_nc_sid=bc0c2c,Got put in the hospital for being so fucking hot. They said my fever was 169 degrees,[],201900,1693,,2020-10-17 22:13:53,GraphImage
3,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/140924547_194182072407346_2291916964556715811_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=qhUtM1zj90EAX_sKn2v&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDCXt7_Cazg0uW-E2y2lsUQvMYQyw-_IBER4QrUmKIxaw&oe=65687D10&_nc_sid=bc0c2c,I did not get punched in the face by bad baby  IN THE FACE. I literally don’t even know why but i was bleeding. Also i restocked my merch link in bio lol.,[],193599,2883,,2021-01-21 21:10:26,GraphSidecar
4,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/123504440_2829661830685427_8585600910532737790_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ZIrheloZgNsAX9j1hOR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAI9Efc6JgQBE32r6Re-zm380wfEXMzFhDYcuxo0e0QNQ&oe=6567F876&_nc_sid=bc0c2c,😭😭😭😭👌🏼MY BESTIES😭😭👑CRYING MY LITTLE PANTSZ,[],194893,1288,,2020-11-04 20:47:09,GraphSidecar
5,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/128667073_382094122854113_4607824847827171140_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=mvYU8Bq3IckAX_GnFbv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC2Ezukd6Rq2NRd57LEAmsOqX4kiFb4snbrLXRgEMhSig&oe=6567F0F8&_nc_sid=bc0c2c,I become a morning person on December 25th😂💀🎄,[],189892,2239,,2020-12-06 21:14:07,GraphImage
6,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/120580389_341572927185687_8546305983024077396_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3DihIFIZdc0AX_y_Wb3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiqWOHnYZwIYF1dyO-Y552N9r04H3LnWdgaqntmiDCsg&oe=65678A27&_nc_sid=bc0c2c,,[],187952,1200,,2020-10-04 15:32:44,GraphImage
7,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/123305906_761715657740960_7686806735421201595_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AITQfZU2rNsAX8k3h1K&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC4rc-kXMtX2enybJzieRHQCepiJ0qimPah-EqeYRLLXA&oe=65675273&_nc_sid=bc0c2c,"Instagram took this down for graphic content because my curves look good. Bitch im Claire, The Creator. If thats not interesting enough then dont talk to me😂",[],187379,1701,,2020-11-01 16:38:19,GraphImage
8,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/124848788_367286021051541_771254888341666445_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=zhF8doPW3aYAX852zcS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7qXVNG5KOFg9-jA-7uYOHAExjWGs2IKV4Kuec_hTAsg&oe=656835CC&_nc_sid=bc0c2c,NEW CLOTHES JUST LISTED ON MY @depop FOLLOW ME AND SHOP @ CLAIREDRAKE #depop #depoppartner,"['depop', 'depoppartner']",187234,1252,,2020-11-11 23:16:49,GraphSidecar
9,clairedrakee,278851,746,False,False,N/A,112,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/149390848_691500341520871_1634807484204987285_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=VNm1G__U8YYAX_lihfn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCforN1ydYlKjExsWoWE7PsJto-SVdcsuuYLjSc2_DNIg&oe=6568434E&_nc_sid=bc0c2c,Who wanna be my valentine,[],173616,3312,,2021-02-14 21:49:08,GraphSidecar
