,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/366562410_1731047110669714_5052626621080319214_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=eLGGzzllGZgAX-SvO9J&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLAFqsKhp7ltKSPjWiO1mOCWUk9sPO_ww6B4UU265c9A&oe=6566C1F9&_nc_sid=bc0c2c,"@instagram Please verify us! We're a real family lol 🤣🥰 

Featuring Levi looking dapper at his first wedding.",[],188739.0,4564.0,,2023-08-12 23:22:48,GraphSidecar
1,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/374190121_329995652706796_8911435428489515370_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=zBPW1aZgdt8AX_i1LNQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCl58NirBUodj9CKzknYC3vgpSudKpeUGaTZeRH_MyEpw&oe=65663DAF&_nc_sid=bc0c2c,"Our cookbook is coming SOON!! 👨‍🍳📸

We took ""about the author"" photos this week as part of the final design process, and it turned into a cute little photoshoot. Thank you @saragsphotography for capturing our family like this! 

Be sure to subscribe to our newsletter to stay up to date on the process 🔗",[],152137.0,2912.0,,2023-09-02 19:39:15,GraphSidecar
2,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/378846090_260840249633593_8691878574507022756_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=6_dGXRL_7OQAX8JVWQC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSOxNnA32zDmo4PKfE6d2i86thFUrfVFsoWzw8p-W6Vw&oe=656733DE&_nc_sid=bc0c2c,"Introducing ✨Cultivating a Curious Palate✨ We are self-publishing as a family, we've been working on it all summer long, and we are SO excited to share it with you! 

In the book, we share our 2-year-old’s favorite recipes, plus our techniques, tips, and tricks to get fussy kids trying new foods. From the baby’s first moments of food discovery, to curious new ingredients and adventurous dishes to delight the grown-ups at the table, this vibrant cookbook can inspire daring eaters in any household.

✨Cultivating a Curious Palate✨ will be available in both paperback and eBook forms. We are planning to release our work sometime next week, so keep an eye on our Instagram stories.",[],34933.0,1048.0,,2023-09-16 19:51:07,GraphSidecar
3,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/353991179_572135611786242_5340580697877584761_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=JFCKBIjzhrcAX8ibzrx&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEyNTg0MzE0NDQ5NDM2NTQ1Mg%3D%3D.2-ccb7-5&oh=00_AfC89Cnw-njIANnoAyCxgKgYPziO8FthBmhRUqUQ3Scd_Q&oe=65667511&_nc_sid=fc8dfb,"Everyone we meet is shocked by 2-year-old Levi’s speech. He uses complete sentences. He answers “why?” questions with reasonable “because…” clauses. He can explain sequences of events, and he constantly surprises us by jumping into nearly any conversation without warning. (Those little ears are always listening!) 

Aside from questions about Jack’s mouth-watering recipes, the most common question we receive is, “How did you get Levi talking so well?!” 

All children develop at different rates. It is not—I repeat—NOT a race, but if you want to encourage your child to speak more, here are a few tips we can offer from our personal parenting strategy. 

(Click the 🔗 in bio to read the rest ❤️)

If you have older children, what are YOUR top tips for developing language skills? 👇",[],28224.0,716.0,,2023-06-15 17:19:22,GraphImage
4,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/402473891_371787011862280_1718377470605595638_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=auzFxdVI0c4AX_pqbWW&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzNjgxNTc3Mjc1MDY2NDY1Mw%3D%3D.2-ccb7-5&oh=00_AfBl4wrtMNo8Rl8y8hdqteaNDN87gE10vYnvYFrsBM4Fpg&oe=6566BFBC&_nc_sid=8b3546,"Recipe Alert 🚨

Levi has been asking for spaghetti a lot lately, so I decided to mix it up! This time I made Pancetta & Eggplant Spaghetti with Fig Balsamic, featuring some of our favorites from @globalgardens 

The Basil EVOO in the sauce was freshly infused with real basil sourced directly from farmers, not fake flavoring, and the difference is soooo delicious. Then I made a reduction with this Fantastic Fig Balsamic to drizzle over top. Levi has been eating more sweets than usual since Halloween, so the inclusion of figs satisfied his sweet tooth and we were able to skip a dessert. In fact, the dish was already so flavorful that I didn't need to add my usual sprinkle of parmesan, either! 

Get FREE SHIPPING on your Global Gardens order with code ""eatlikelevi"" and check out the full recipe on our website. #linkinbio 

#globalgardens #foodiesofinstagram #foodblogger #foodies #oliveoil #influencermarketing #santabarbara #visitsyv #santaynezvalley #entreprenuer #familyownedbusiness #shopsmallbusiness #mediterraneanfood #mediterraneancuisine #mediterraneanrecipes #californiamade #seasonaleats","['linkinbio', 'globalgardens', 'foodiesofinstagram', 'foodblogger', 'foodies', 'oliveoil', 'influencermarketing', 'santabarbara', 'visitsyv', 'santaynezvalley', 'entreprenuer', 'familyownedbusiness', 'shopsmallbusiness', 'mediterraneanfood', 'mediterraneancuisine', 'mediterraneanrecipes', 'californiamade', 'seasonaleats']",26636.0,230.0,,2023-11-15 20:02:10,GraphSidecar
5,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/375901490_1456552231872953_4202133398718827678_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=x9NUBnN2TswAX9R1f9D&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAj6SKDJebeWuzUUtd15mi6CFVw3PmhjUJSA4R2fquFlg&oe=6566CC46&_nc_sid=bc0c2c,"Levi can never get enough scallops! This time I made him a super seasonal dish featuring the trio of products we received in @globalgardens August Club Box. 

I seared the scallops in The Gold Standard EEVO (Yes! You can cook with real olive oil! It is the healthiest choice and the go-to oil for all of my recipes.) Then I reduced their Lime Chili Kick Golden Balsamic Vinegar to make a delicious glaze. I served the scallops over a simple seasonal salad of farm-fresh sweet corn, carrots, and cucumbers seasoned with nothing but the best olive oil and a pinch of salt. To replace Levi’s usual caviar topping, this time we went with the Counterfeit Caviar Really Good Mustard Seed Spread. He was surprised by the difference of flavor from briney to earthy salt. 

Global Garden’s quarterly Club Box is a great way to eat more seasonally; we love spicing up our usual dishes with their easy-to-use artisan offerings and look forward to each Box. You can find the link to sign up for their Club in our bio and get free shipping with code EATLIKELEVI 💚

#globalgardens #foodiesofinstagram #foodblogger #foodies #oliveoil #influencermarkerting #santabarbara #visitsyv #santaynezvalley #entrepreneur #familyownedbusiness #shopsmallbusiness #mediterraneanfood #mediterraneancuisine #mediterraneanrecipes #californiamade #seasonaleats","['globalgardens', 'foodiesofinstagram', 'foodblogger', 'foodies', 'oliveoil', 'influencermarkerting', 'santabarbara', 'visitsyv', 'santaynezvalley', 'entrepreneur', 'familyownedbusiness', 'shopsmallbusiness', 'mediterraneanfood', 'mediterraneancuisine', 'mediterraneanrecipes', 'californiamade', 'seasonaleats']",15244.0,168.0,,2023-09-09 13:54:27,GraphSidecar
6,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/358338907_1003557833981691_4662070910110812343_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=M12Z3gloWQwAX-6s_y9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDxFcIsQKnZLvWAWDOoAomAWN1WXE681EkW8OrU7wmDkQ&oe=6566633A&_nc_sid=bc0c2c,"Recipe Alert 🚨

Levi has been requesting a pear salad for a while now. I’d been mulling over the recipe for a few weeks, but nothing was hitting the mark. Then we tried this strawberry golden balsamic and “Levi’s Summer Salad” was born! 

The star of the recipe is an incredible vinaigrette featuring Strawberry Zen Golden Balsamic Vinegar & Nice to Meet You 100% Arbequina Cold Pressed EVOO from @globalgardens . They are the OG organically grown olive oil producers in Santa Barbara, CA, and genuinely the best we’ve ever tried. The infusion of estate grown fruits in their oils and vinegars is so gourmet… I kid you not, Levi was drinking this strawberry balsamic! 

Get FREE SHIPPING on your Global Gardens order for the rest of July with code “eatlikelevi” and support a women-run, true family business. 

Find the full recipe for Levi’s Summer Salad on our site. Link in bio 🔗

#eatlikelevi #globalgardens #foodiesofinstagram #foodblogger #foodies #oliveoil #influencermarkerting #santabarbara #visitsyv #santaynezvalley #entrepreneur #familyownedbusiness #shopsmallbusiness #mediterraneanfood #mediterraneancuisine #mediterraneanrecipes #californiamade","['eatlikelevi', 'globalgardens', 'foodiesofinstagram', 'foodblogger', 'foodies', 'oliveoil', 'influencermarkerting', 'santabarbara', 'visitsyv', 'santaynezvalley', 'entrepreneur', 'familyownedbusiness', 'shopsmallbusiness', 'mediterraneanfood', 'mediterraneancuisine', 'mediterraneanrecipes', 'californiamade']",12346.0,148.0,,2023-07-07 18:49:24,GraphSidecar
7,cookingforlevi,1310971,30,True,False,N/A,91,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/341345058_1005531930445906_314808866348955160_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=bEpC-ivrXAUAX8HtyE8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDyrsnsoDDsMq5m15K1PtLUyPK6gvPEIlGu10JFbWP7dQ&oe=6565935C&_nc_sid=bc0c2c,Throwback. 1 year old Levi's first time on a boat.,[],2168.0,13.0,,2023-04-15 12:08:47,GraphSidecar
8,cookingforlevi,1310971,30,True,False,N/A,91,,,,,,,,
9,cookingforlevi,1310971,30,True,False,N/A,91,,,,,,,,
