,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/72473413_150320912995049_4805107180088607336_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Vo7JSiNRk1EAX-jLm1i&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXk7fmnohxDRrDZh5M2JMX3f359FMDjDWliq8DkE9pNw&oe=65672490&_nc_sid=bc0c2c,Guess who I had lunch with today....I KNOW!! Could I BE any happier? #realfriends,['realfriends'],4082705,106433,,2019-11-07 23:16:01,GraphImage
1,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/87568857_216459673083597_4952059293946373129_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Jh9iEmIfhXYAX8SMdky&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCW2o46CivLjngol0QB68x3afrVh_eV7chy4IOe09X6mg&oe=656693FD&_nc_sid=bc0c2c,"It’s happening...
@hbomax 
@jenniferaniston 
@lisakudrow 
@mleblanc 
@mattyperry4 
@_schwim_",[],3683743,79707,,2020-02-21 22:00:11,GraphImage
2,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/83300187_2740561049355653_1765630129922729452_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=TcglozCrm-4AX8a_v2X&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDkWp9NVmXkOev70bxNRX23lDjv4rzBt1g3JDEW9Us2-w&oe=65675C3D&_nc_sid=bc0c2c,"“The Last Supper” before taping “The Last One” on Jan 23, 2004.  #tbt  #friends","['tbt', 'friends']",3562137,39077,,2020-01-23 23:55:46,GraphSidecar
3,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/210214618_190136229787748_2634786884220928843_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=32OxDFw9fzcAX8kRFPk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBZIzhN_2I92YL0f_ir-o9IdTH-81BBhO_bIReO6D0OVw&oe=65676AD2&_nc_sid=bc0c2c,Happy 4th! xoxo,[],3389963,15093,,2021-07-05 02:29:20,GraphSidecar
4,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/71187250_2465319753741451_4934034751530942915_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=EDtRlpBS_C4AX8oDtSv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfApZsBzDovfYMyuvhP44kIZUUOddATrAhi5qBNb1zwtqA&oe=6567A354&_nc_sid=bc0c2c,Hi Jen! Welcome to the social media world...it sucks. You’re gonna love it! ♥️♥️♥️,[],3137703,57493,,2019-10-15 22:56:09,GraphImage
5,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/82531036_177812346827405_1757975535332405094_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=hC0v1Ib8cfkAX_ijElj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD-JAeMtItYyFoxu_kyZnFdPd3J25xImiBbPtRzoEGQhg&oe=656654BE&_nc_sid=bc0c2c,No matter how hard you might try... there’s only one Jennifer Aniston. Happy birthday my dear friend @jenniferaniston! I love you!♥️♥️♥️,[],3128467,18728,,2020-02-11 20:16:05,GraphImage
6,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/71192639_603288606871765_2929269287226035979_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=tKa8pegH6msAX8gy4Nt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAqBWuHdtWk1qMvm3taQSRXdMyd-astIL8SdTOBotJerQ&oe=65680318&_nc_sid=bc0c2c,A rare night and I love it.,[],3026320,59502,,2019-10-06 07:05:15,GraphImage
7,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/248044255_166441572360281_7723967154870187165_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=NgHnPkrLw0MAX_AebDu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWypYJHdxAm6Nm7E6qMO1jExbVa47BYCytfKkr6ybBGA&oe=6566ABE7&_nc_sid=bc0c2c,The size of gratitude you brought into the room and showed every day on set is the size of the gratitude I hold for having known you. Rest In peace James. ♥️,[],2897259,23128,,2021-10-25 02:57:14,GraphImage
8,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/148987045_717705225593686_5043552189737029368_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=rY61vTuqNpAAX9fwDgG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCtVcnFzKj1Gbuw0scAxWFSnrt2RrrhX3seVWD-41q45w&oe=65669090&_nc_sid=bc0c2c,Happy Birthday Jenny Louise! We’ve known each other so long I don’t even remember why I call you that. I love you ! ♥️♥️,[],2893290,12118,,2021-02-11 21:52:33,GraphSidecar
9,courteneycoxofficial,14892916,742,True,False,N/A,442,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/62204653_366807533965718_8072584113398598349_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=lIP4_gYl4ccAX8JCbwn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCtut5HMDd6VLOkAiVp4iCUz3wD1pH4ccXlUt3QA_0S1g&oe=6567C939&_nc_sid=bc0c2c,How lucky am I to celebrate my birthday with these two??? I love you girls. So much ♥️,[],2494158,69828,,2019-06-16 03:51:05,GraphImage
