,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/338587302_1208386346705831_941984628099983230_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=GYvWnPoLc5QAX_2kOlU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOIAYssLRFYGPPigD-ZPOQib_5Gfaq-pcnHUBTb-YWbg&oe=65632F8A&_nc_sid=bc0c2c,Daisy Jones and Camila Dunne.,[],105272,407,,2023-03-31 17:00:00,GraphImage
1,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/335518648_1608854256243347_222729718105547833_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=ar9Q52GYeN8AX_C7C1j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBHDGFh6zKIJUtz5pvRFVLSHxczDCDcaTiuxSUi8cH9Iw&oe=656274C6&_nc_sid=bc0c2c,"Diamond Head Festival, Oahu.",[],102368,207,,2023-03-11 19:00:00,GraphImage
2,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/334701703_731767918481022_2188458890428005337_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Z7rbnbx3WHUAX8RsNbN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0Ki4DcBhh-rGkNhD3-UaI5ZEH7dik7zOrXOChcZYSiQ&oe=65629700&_nc_sid=bc0c2c,Aurora.,[],94326,246,,2023-03-10 19:01:32,GraphImage
3,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/327160752_676200370869603_5469530466320002469_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=KFm_sWh-uTgAX8aH7mp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAGx7XszYKj69XZz3Z9fYmay_PLVsSstdTLy4ionmjl9Q&oe=6563A743&_nc_sid=bc0c2c,Aurora. The album that left a mark on history.,[],92881,822,,2023-01-25 20:01:18,GraphImage
4,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t39.30808-6/346620205_601157158658000_5346341361611829817_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=ifoGMBttwukAX9TlSN2&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzEwMTEzMDgyMDIwODExNDgyMA%3D%3D.2-ccb7-5&oh=00_AfCNRpvb4_Nriyv5GcgX6Qb9Oas1UFud_3xq98a_60nuzA&oe=656292E7&_nc_sid=8b3546,Aurora: The Deluxe Edition is now available to stream everywhere.,[],90304,478,,2023-05-12 15:00:24,GraphImage
5,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/359730901_665584931687421_8432219480815526329_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=GO6uCaNe-EwAX_G0AKV&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE0NTQ0ODYzOTA4OTY1ODAxMA%3D%3D.2-ccb7-5&oh=00_AfCAzr6g91zsAR5pRBFgzcI4M0jVcfDocBJyOyKsnkXERA&oe=65637FA2&_nc_sid=8b3546,Look at them now. Daisy Jones & the Six is nominated for nine Emmys including Outstanding Limited Series.,[],89656,676,,2023-07-12 18:31:59,GraphImage
6,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/335815622_172846572222628_8890470717009211521_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=DpFGhPV0t-QAX-SpP5k&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDPoLCmN3eJexpxYsbsbW5AzScJOUdiK8YepfYzUsR1HA&oe=65624C6F&_nc_sid=bc0c2c,Daisy Jones and Billy Dunne.,[],89500,249,,2023-03-16 17:30:00,GraphImage
7,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/341774223_772301267664128_9079132305777114750_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=8zkTcRWBehIAX_fdUSe&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFPPuAusX124vA4UeB9DxDWOpBwQt1H62Me6xDzSMJXw&oe=65640B05&_nc_sid=bc0c2c,"Two tickets to Daisy Jones and The Six, please.",[],84567,1506,,2023-04-24 17:00:00,GraphImage
8,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/330085280_208379365037418_8193889094032808124_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=uTRxYKYEtyMAX8Qp8h6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDhIkOvkiQVqX7Zw1h2SKi_9FXzNa_VfnZ0mLvik8e-ig&oe=656281F2&_nc_sid=bc0c2c,On the road to becoming the biggest band in the world.,[],85043,461,,2023-02-13 18:00:00,GraphImage
9,daisyjonesandthesix,346904,24,True,True,,143,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/330124135_8898709066869690_7298410510090629702_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=mNY6pATiGxoAX88xW3x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBLXw0IxzpkWmBMmtvWusIqUXfhM9UrmLlZNVbconvQoA&oe=65625960&_nc_sid=bc0c2c,"And to think, they were just getting started.",[],84763,256,,2023-03-03 20:01:11,GraphSidecar
