,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/132540101_244062463801351_6423373085864688939_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3NzEuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=N1yVSiOSQEEAX9zBemt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQ3MjA3MzUwMjQ2MzY4ODYxMQ%3D%3D.2-ccb7-5&oh=00_AfA8SqogDBTNJSrvd86PDQESkzTlyEvFn23dRg0m7EF_Sw&oe=65696A15&_nc_sid=fc8dfb,"On behalf of the crews of The Clone Wars and The Mandalorian, I want to thank everyone for your support this past year. It’s an honor and a privilege to be able to make stories for you, your friends and families to share. As we head towards the New Year, I wanted to share this small bit of wisdom from my mentor:
“The best way to pursue happiness is to help other people. Nothing else will make you happier.” - George Lucas
Happy Holidays,
Dave",[],132133,5928,,2020-12-25 16:35:47,GraphImage
1,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/95694799_1364282887293651_1589061920331650949_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=k4iR9TchRJIAX8BFcEP&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjMwMTkwNzQyNTg3MzI3MDU4Mg%3D%3D.2-ccb7-5&oh=00_AfBDhZksmxi0LMOdoBmzrUshHGBnCx0LP4_jKJFb0ddG0Q&oe=656A1007&_nc_sid=fc8dfb,#TheCloneWars,['theclonewars'],110847,5768,,2020-05-04 21:46:10,GraphImage
2,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/103149809_174046047407094_5523171296690291379_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=O4sGL3bdRwsAX-UTgU0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjMyNzIzODEzNTU0NjczMzU5Nw%3D%3D.2-ccb7-5&oh=00_AfC_F0jR7-Ja8hgfzmyUP2HwR9mx0OPWtisptgBo6l_fcQ&oe=656A2C69&_nc_sid=fc8dfb,"Thank you for all the Birthday wishes. As always, here is a drawing for all of you. May the Force be with you. 
https://ACLU.org
https://NAACP.org",[],85846,13759,,2020-06-08 20:33:46,GraphImage
3,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/95095855_528148701211467_2885349602844736363_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hqNTcIOMF74AX9AAAXb&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI5OTY2MTExMjU1MzIzNjYxMA%3D%3D.2-ccb7-5&oh=00_AfApbYF3KRIKkW49XanyX1hkSvaV3XjJ5i2ZLxCR_HFyZw&oe=656B5DA0&_nc_sid=fc8dfb,"#TheCloneWars
#Order66","['theclonewars', 'order66']",65077,1659,,2020-05-01 19:23:09,GraphImage
4,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/93509259_128674755440771_2401071775977906551_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NTB4NzUwLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=MyrWg-d4gikAX_YWkA6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI4OTUzMTAxMTU4OTA4MzQzOQ%3D%3D.2-ccb7-5&oh=00_AfAbt30DDlw0BEjHse6AF0cRR_0dRehWErWMfvI8CC2zKQ&oe=65697B99&_nc_sid=fc8dfb,#TheCloneWars,['theclonewars'],61892,1417,,2020-04-17 19:56:27,GraphImage
5,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/101703930_549811045910246_3526240198575193147_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NDh4NjQwLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=-N0IT5msRAAAX_waRYs&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjMyNDI1MDE5MDgxMjM5MzEwNg%3D%3D.2-ccb7-5&oh=00_AfDSuwp2xablhgAQT4hBUBtKKhEhV1BYYaY-1SiRoLk66g&oe=656991E4&_nc_sid=fc8dfb,,[],57824,1286,,2020-06-04 17:37:15,GraphImage
6,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/92831736_973938043040988_3823104831049242542_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GGRPczntGqoAX_vip5h&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI5NDU4MzExNzc3Mzc1NDM1MA%3D%3D.2-ccb7-5&oh=00_AfDrPZ_Rl877ZP6hY19BN1HgzFohL_PrDScteMUbaOZIhw&oe=656A9B46&_nc_sid=fc8dfb,#TheCloneWars,['theclonewars'],56243,1138,,2020-04-24 19:14:05,GraphImage
7,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/81051117_128650868625892_3318975559369857773_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45Mzd4MTE3MS5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ii58xLTGtHQAX-uVi0e&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjIyNzA2ODk1NTIwODUwNTAzMw%3D%3D.2-ccb7-5&oh=00_AfBYkji0h-PtNGfsepZmEWhDFb1re1uj2e9-BratZJQbLg&oe=6569B465&_nc_sid=fc8dfb,#TheCloneWars,['theclonewars'],54868,1592,,2020-01-22 15:35:29,GraphImage
8,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/87822094_580831159177879_7774404799347255838_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MDB4NzUwLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=wRc6zhGEW2kAX-T_X62&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI2MzQ0NDMzMDAwODE1NDEwMA%3D%3D.2-ccb7-5&oh=00_AfBF7WL-6cQS35euX5o7mQie1paG7TrPQso-GCM7dWDumA&oe=65697B1E&_nc_sid=fc8dfb,"We are all in this together, may the Force be with you! Your friends at Lucasfilm and the Galaxy far, far, away....",[],47474,569,,2020-03-12 20:06:52,GraphImage
9,dave.filoni,351977,54,True,False,N/A,17,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/76816883_1339026732942933_6630283397969936443_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=p6-2iDww1RsAX-A-S6K&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjIwNjkyNDQ0NDk2MDY2MTg5OA%3D%3D.2-ccb7-5&oh=00_AfB3kJGbicYk7ke3JN-rfvtT67F7-Sl9Sr53HwfZ4cOp7A&oe=656B4628&_nc_sid=fc8dfb,"Was thinking of all of you this fine morning, Happy Holidays! - Dave",[],41057,804,,2019-12-25 20:31:56,GraphImage
