,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/201111416_652253262832204_6938587991505415651_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=sIHURuvzlYMAX8K9nL4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAvqV56pJDAIPUum9rrYIndUy9SJYOvpKQK_yiAMpBQw&oe=6563E517&_nc_sid=bc0c2c,suns in fo’,[],1190952,159,,2021-06-14 19:42:07,GraphSidecar
1,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/196702977_1211318529304187_1083854249421154379_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CRqhne-ecC8AX_DiV3d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAI9BSEN7OupBJAIa5ADbZdyff-X91r8vjfEFJnLTkrsw&oe=65630527&_nc_sid=bc0c2c,BeLegendary,[],1183132,178,,2021-06-04 17:41:27,GraphSidecar
2,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/244549327_391912459227415_5328656234785114936_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=uFCqle3q-RwAX8oI5_Z&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZ5sFUMRiSQ_pAUQyssnAFgkzKY0vVwoBxan3mewA9Pw&oe=65628FC4&_nc_sid=bc0c2c,"Real one salute!
NBA 75",[],1092755,259,,2021-10-08 16:23:42,GraphSidecar
3,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/238314202_871855343537115_4295815446342594374_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=pTQq3wbniTkAX9I_v7i&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAFmr2Nez3NR5opDIynWPnJtVLqKRv59GXXu7ed53mdaQ&oe=6563D3AE&_nc_sid=bc0c2c,🥇,[],1021906,198,,2021-08-16 16:23:34,GraphSidecar
4,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/238521068_528857858343410_4464287054863943190_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=G3EDfDMrawUAX_FfztF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC6oyxD6zAakVTPRmXj-hrm9nGqfmzW6zsguIZtekR21A&oe=65639898&_nc_sid=bc0c2c,LAKE BOi,[],992380,212,,2021-08-17 19:28:42,GraphSidecar
5,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/201837702_869500877248152_6707551962178535852_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=2f2O9RRz--cAX_bUGoR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnLZd-QBeYDixoZ06sw9m4hDw_jsGpXlPxD68uvTsq5Q&oe=6563101E&_nc_sid=bc0c2c,I like it better when the wifi don’t work,[],939404,139,,2021-06-17 19:15:45,GraphSidecar
6,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/288752521_7916296905107085_5884255722324873281_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=W-YyPJaqUpQAX_cYKvW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDbF4XUc_kHEwGvBNbVGGRcE3JGE7ibwqTumGVza2Z1XA&oe=6563C642&_nc_sid=bc0c2c,Liability,[],909710,3653,,2022-06-19 17:44:30,GraphSidecar
7,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/270262291_443864317358252_1454948044967023959_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=2rfSPt-lm3wAX8l5H4-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDirs1eTSWGg0TZikwR3STu7RgSTnyuZq1l3EOgVuou6g&oe=65640914&_nc_sid=bc0c2c,,[],878809,2584,,2021-12-29 20:37:54,GraphSidecar
8,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/291907284_716778896217278_7353428558934624920_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=6wIMhfn-Y5kAX993wyx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC_C85uoNwDB-iBNZrp6wBonCmQEcOz1fQzl1qX0_OIbg&oe=6562FBC1&_nc_sid=bc0c2c,"AHHHHHHHHHHHHHHH
@nba2k @2k",[],846120,5980,,2022-07-07 11:52:59,GraphImage
9,dbook,5569086,462,True,False,N/A,67,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/210831881_184749256997036_1902052426673062196_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=xlTIUHM3ZNoAX_R_qJL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCy6kRc_SWmSmCdOFRKiyKy9RN1ZIIe_ntmcyM1KOKoyQ&oe=6563E95B&_nc_sid=bc0c2c,Stayed down. One helluva time.,[],843847,122,,2021-07-02 22:09:06,GraphSidecar
