,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/74795965_3141554212553404_5893219661687754779_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=5TsA0ygoxe0AX8_7t9t&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE3MDY5MTc0MDI5Mzg1NTA3OA%3D%3D.2-ccb7-5&oh=00_AfD20U0s6dv8-INXiKSCsQBUOLEaVFd1ymHE-IMmh_v2UQ&oe=6566F675&_nc_sid=fc8dfb,A good boy with great taste in accessories. 📸: @doodlewayoflife​ #DeepEddy #DeepEddyVodka #DiveInTrailer,"['deepeddy', 'deepeddyvodka', 'diveintrailer']",22473,85,,2019-11-05 20:44:01,GraphImage
1,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/66629477_146322133131009_7558526630507374254_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=o2hnY1VNQy4AX85RLgg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjEwODg5MzkwNDU5ODY4MDk5Nw%3D%3D.2-ccb7-5&oh=00_AfBoM3JWe4ld9VPNSZyyZrzhuYlod92ZtyzjYL8TS-Im8g&oe=656812FA&_nc_sid=fc8dfb,"Be a little bold, and a lot fabulous. 📸: @bdegenfelder",[],15243,21,,2019-08-12 14:22:45,GraphImage
2,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/73205519_544243456357939_6674698986302672930_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=by-e3sTUcUgAX-ehBV2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE3NTc3NDYwMTA2OTkyNDU4MA%3D%3D.2-ccb7-5&oh=00_AfC0TXGUzywoG-qNNr1iWo48okbuxZ7s5VCoVzUnNvF68Q&oe=6566CB33&_nc_sid=fc8dfb,Friends are the best mixer. 📸@stephanieatx_ #DeepEddy #DeepEddyVodka,"['deepeddy', 'deepeddyvodka']",13684,92,Deep Eddy Vodka Tasting Room,2019-11-12 21:02:46,GraphImage
3,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/37084502_2429163383976680_3897751360208109568_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MTJ4NjEyLnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=DEkyj7WEsEMAX_xZYbw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTgzMTUzNTAyNzIwMTk4ODU3NA%3D%3D.2-ccb7-5&oh=00_AfBsJIco4ou0Uigx6bBDgDPcfds6mocXMYu-c9mDQ9oaKg&oe=6566CAB4&_nc_sid=fc8dfb,The pickle juice to #DeepEddyVodka ratio is entirely up to you. 📷 @bmdpickles,['deepeddyvodka'],11724,897,,2018-07-25 22:00:11,GraphImage
4,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/23966778_2030494267208224_3667031274754670592_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDkzNS5zZHIifQ&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=WbKwwTImtBQAX8hCSqB&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTY1NjA1ODQ5MjA4NjU4NDA1MQ%3D%3D.2-ccb7-5&oh=00_AfD_36tV4UUUgaT9CiDn1fcrfE_W2AHCGy2hzs4cYGY7gg&oe=65681804&_nc_sid=fc8dfb,Follow @deepeddyvodka to see why man’s best friend loves Texas’s best vodka!,[],11007,144,,2017-11-25 19:19:38,GraphImage
5,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/28763319_764577210406368_3311503232135593984_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45ODN4OTgzLnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=lCi6oFpI6fMAX9D-NEE&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTczNTEzOTcxODg4MTEyMTQ1MQ%3D%3D.2-ccb7-5&oh=00_AfAvE2aaECmPD5-7vU7TYEfzRVpZXjd7c8-uUdZQLyybLA&oe=656693A1&_nc_sid=fc8dfb,Follow @deepeddyvodka & join the millions already who a know a great vodka when they taste it! 📷 @brockandcoevents,[],9629,87,,2018-03-14 21:59:54,GraphImage
6,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/62534140_201989164114529_7107946028605853150_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=PRvT8fHs9HwAX8mVttU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4ohdQzk-5eAUkLKPLnpJ33v-LzuHKf-7Z_9qmtPvCqA&oe=656662C3&_nc_sid=bc0c2c,It's 1PM somewhere. 😎 #WordsToDrinkBy,['wordstodrinkby'],9570,54,,2019-06-11 15:12:17,GraphImage
7,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/61786594_2304603976462969_1987929124551663533_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=gG9LR_zynQYAX-t8Kpy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCyA8IK_ratl3-abWXKHCurKBZzd6u7fKWkbvwqIMPFBQ&oe=656656D5&_nc_sid=bc0c2c,Mini-moments make for big memories.,[],9511,16,,2019-06-08 21:37:12,GraphImage
8,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/64681073_704193173354118_5361749914601348165_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=YO-4PLJog0oAX8gJUV6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAIEexNVK_waX-qVzKfWAv7JO_rvmX3RREOLcWnn3YOQ&oe=65667E41&_nc_sid=bc0c2c,Handcrafted vodka that's the perfect pairing for finger-foods. #july4th,['july4th'],9324,20,,2019-07-01 20:47:21,GraphImage
9,deepeddyvodka,70412,247,True,True,None,717,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/74945541_2126564384317587_4855609562420245760_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=S-bgyOXGuCQAX920eoQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCiDwEZaLYm_4gIuSC4tmSKlfy3F5hxlaE8DZJhIbkbsQ&oe=6567A8A0&_nc_sid=bc0c2c,"There's good-boys, then there's this VERY good boy. 📸: @madybobady #DeepEddy #DeepEddyVodka #Do312","['deepeddy', 'deepeddyvodka', 'do312']",9014,17,,2019-10-23 21:09:47,GraphImage
