,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/51135421_595182200907682_8176584383498222775_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=HSPF8_A4SysAX-QtWi0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9C_jBWNZ_NL-DXo60UZzY22etPRCl7pBzC2AkHxBgiw&oe=656742F9&_nc_sid=bc0c2c,Such a great human ❤️ Thanks for having me on the shoot!,[],62942,5264,,2019-02-23 00:56:01,GraphImage
1,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/66700371_164771601350063_8488208061988141742_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=4sn41SfX4v4AX_wPN6j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCcVCjvPwJqsLJkPicoz9DBFllJMSRHxXMQt_xiU6JLHA&oe=6564E07D&_nc_sid=bc0c2c,Meet Hercules ☺️🐶,[],60407,3256,Pure Joy,2019-08-10 22:02:56,GraphSidecar
2,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/70578649_522190624990902_5097168635751889892_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9XPQIbSEu5oAX9wXIP-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxKWnC9vn7RArdyuaK4mL38OOp5KCbg1AFRoPvfMlfIw&oe=6568B7B7&_nc_sid=bc0c2c,I just cerealsly need you to like this photo.,[],55975,1330,,2019-09-12 22:06:12,GraphImage
3,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/105942294_183588159781272_7641688949571647289_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=tDLldJU4-wMAX8o1ilr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0rayr_l3Q2VspuGMcbi5sgaT1w3hxjbhwArLshtpppQ&oe=65680361&_nc_sid=bc0c2c,Happy Birthday to the Mac Daddy himself @jassidhu95! Every like on this post is 1 Big Mac that I have to buy Jaspal. ❤️🙌🏽,[],49865,1032,,2020-06-24 17:51:38,GraphSidecar
4,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/66174882_777550522642667_3667246595358122187_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yV3ZQeWy4m4AX_1VnyJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAM1DlInYr1Grtx8N45UIhRbvPGusl4AbfhxRltKYao2A&oe=6567AD0B&_nc_sid=bc0c2c,This is what you find at the end of the rainbow. A soggy b-list Youtuber. 🤗,[],40383,9359,Skógafoss Water Fall,2019-07-02 19:11:36,GraphImage
5,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/95345294_240025003747643_330563436088397462_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=74USnSaGTfoAX-GvQ6T&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZ55ZIeP6yDEbwa8Zq0F5G6rhwklPcRA0yfeXS0RC50Q&oe=65681463&_nc_sid=bc0c2c,"Shoutout to my third grade teacher for telling me that fart jokes wouldn’t get me anywhere. LOOK AT ME NOW, HELEN.",[],43367,964,Potty Mouth Society,2020-04-29 18:51:36,GraphImage
6,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/60772742_137972990609961_400630214481718198_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3m0ICSydvL8AX-cxmSo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdLyQ9z55FoxTjx0T5557Ti1fd5JD1cpYpZ1NwLoqM3Q&oe=6568B730&_nc_sid=bc0c2c,My first webcam was put to good use...,[],40780,1186,Puberty: The Wonder Years,2019-05-15 18:26:34,GraphSidecar
7,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/76798450_2575416095845898_8604091222420910006_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=7QTE9GZzQ8cAX-xlpU2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBknyCVTGg4vtUUjqXhJX3d0-atW_sRMBMP1cHO1ISAXA&oe=65689763&_nc_sid=bc0c2c,We tried to become Santa’s little ho ho ho’s but all we got was the naughty list.. 😓,[],40850,468,The Ho Ho Ho House,2019-12-25 16:55:40,GraphImage
8,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/64286757_2463151350587458_1147347685070615411_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=gM5nQk4K8YMAX_WrcXU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4-1t7sezi-s8JkyCgtJG5a4vk8uJ9ZdpvG0HFQ8nvww&oe=6567BBB8&_nc_sid=bc0c2c,Happy Birthday to my bestest friend in the whole wide world! There’s no one on earth I’d rather take cheesy romantic photos with. Well I mean.. besides a girlfriend.. but we all know that’s never gunna happen.,[],39818,1087,The Queen of The Closet,2019-06-24 18:10:07,GraphImage
9,derek_gerard,591174,268,True,False,N/A,664,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/56281736_418893008671418_2243208071351507238_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=32pGqDQio2AAX8wfLZm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBxoEdETCMtJalSI2YU0H8nV2uPHKpwiODNyaPHxvWdCw&oe=656833E3&_nc_sid=bc0c2c,Thank you to every single one of you guys for inspiring me. YOU (yes you reading this) are the reason I do what I do and I would be nowhere if it wasn’t for my D-Squad. ❤️,[],39241,790,Muchas Gracias,2019-04-16 22:00:01,GraphImage
