,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/378594431_823633559240732_4698171781269242678_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=oiUoVRHPS-kAX_0es0D&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE5MzA5Mzg4NjM4MTExMzc3OQ%3D%3D.2-ccb7-5&oh=00_AfBFgN2R6us7eq8C-uuihwgFLHOnt5aeEA1kklSP1Uq3hA&oe=65648DA6&_nc_sid=8b3546,"Diamond Button 💎 
Thank you everyone for your continuous love and support!
.
.
#dhruvrathee #youtube","['dhruvrathee', 'youtube']",409622,8324,Planet Earth,2023-09-16 12:14:35,GraphImage
1,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/375448995_336733168784192_7916362242258551334_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AWR_jWFR6qUAX9wPt46&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGRUy-t4-thzheZ-hH7w4zjCDC96WPam-Xna81a3G_mw&oe=65630985&_nc_sid=bc0c2c,Received this from a 13yr old boy on email today. Nothing is more motivating that seeing the impact my work has on the new generation ❤️,[],373397,6102,,2023-09-05 18:11:30,GraphImage
2,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/339163875_207174425257817_1406600983533352450_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=fyeL-MpkOUUAX_GRRGc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDpDULLwk0kNGJoDdH54iqR0pyKvtT-RUFigVxLc1Qxxg&oe=65648A84&_nc_sid=bc0c2c,"We climbed Sydney Harbour Bridge! 

It’s honestly very doable even for those of us who are scared of heights. 😜 It’s better not to look down at a few spots, but the view from up there is amazing, especially during sunset! 
@pickyourtrail @bridgeclimb @australia 

#Pickyourtrail #BeSurprised #HassleFreeHolidays #seeaustralia #sydney #harbourbridge #sydneyharbourbridge","['pickyourtrail', 'besurprised', 'hasslefreeholidays', 'seeaustralia', 'sydney', 'harbourbridge', 'sydneyharbourbridge']",354475,592,Sydney Harbour Bridge,2023-04-04 09:53:52,GraphSidecar
3,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/367386635_6491699727545824_7822304217543895067_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=k7fQkte1PV8AX9Pp7-G&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDfbJ07zTImqRMfbACX_XvQVnd6AvQqOL97adbH2B-NXQ&oe=656430B4&_nc_sid=bc0c2c,"Happy Independence Day 🇮🇳 
.
.
.
.
#dhruvrathee #youtube #india","['dhruvrathee', 'youtube', 'india']",332945,3606,,2023-08-15 06:02:14,GraphImage
4,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/386231595_167449423084153_7385737367480578625_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=sZSAYH5tb1EAX-bY_jv&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNzQ1NjE4ODUyMjQxMjU3Ng%3D%3D.2-ccb7-5&oh=00_AfAK4M2Zwdlxb6yjTdKF-EqAlMr2oPvOKPqnKMh5KnWJDA&oe=6564763B&_nc_sid=8b3546,"TIME Magazine’s Next Generation Leaders 2023 
 .
I’m honored to be included in this prestigious list and proud to represent India internationally. This list chooses 20 people from around the world and this year, I’m the only Indian 🇮🇳 

Thank you ❤️
.
.
.
#dhruvrathee #time #youtube #india","['dhruvrathee', 'time', 'youtube', 'india']",313940,6241,Planet Earth,2023-10-06 07:49:55,GraphSidecar
5,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/368016544_329919016160633_6482181743525391160_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=ruCW21Var88AX_KZUcS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBN7HcSX7Fg2v_YTwq4ieFRvf5X3WlXoH7tsyWC1jv1RA&oe=6563B74A&_nc_sid=bc0c2c,"Standing in front of an amazing Mongolian landscape while wearing the traditional Mongolian outfit called deel 🇲🇳 
You will see vlogs from here very soon @welcometomongoliaofficial 
.
.
#dhruvrathee #travel #youtube","['dhruvrathee', 'travel', 'youtube']",310027,1401,Mongolia,2023-08-19 01:38:16,GraphSidecar
6,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/260231166_124957656638205_9165306779661675897_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=cLWBV8yyum0AX9c4q-_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJj8TuQg2_G4w6MFzMCYgEF7tbDESBpq_LUcZHlDkotg&oe=656433CC&_nc_sid=bc0c2c,"More than 7 years after we met, we finally got married. 💐
Guess the place and the city? A short video of our wedding day is coming soon too ☺️
PS: Thank you for all the sweet comments and congratulations! 
.
.
.
#dhruvrathee #juli #marriage #wedding","['dhruvrathee', 'juli', 'marriage', 'wedding']",281692,10221,,2021-11-24 07:39:47,GraphImage
7,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/387265328_1014794959807106_7893876940914923051_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-ZAKYptnpXMAX_eQusF&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTY4NTA0OTE1MDYzNjE1OQ%3D%3D.2-ccb7-5&oh=00_AfBLgaM_5wZOtIXW2Hjc74cLlYo9YfvzoQlAEAivev2zug&oe=6564616F&_nc_sid=8b3546,"Some more photos from my TIME Magazine photo shoot. Photography by: @lisaedi 
.
.
.
#dhruvrathee #time #youtube","['dhruvrathee', 'time', 'youtube']",273828,2294,Planet Earth,2023-10-09 09:38:16,GraphSidecar
8,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/261773419_299426028579495_8346021939468603007_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3Id44fbjS80AX-LBx04&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAXZWPwDI_Y42Uyy2BTyox2JrWSMORfpQle93wXDwCduw&oe=65644194&_nc_sid=bc0c2c,"Our wedding video is up now ❤️

#dhruvrathee #juli #wedding #marriage","['dhruvrathee', 'juli', 'wedding', 'marriage']",252293,2883,"Belvedere Palace, Vienna, Austria",2021-11-26 10:00:57,GraphImage
9,dhruvrathee,2234336,336,True,False,N/A,622,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/280388671_1056756574917916_6527094330904608729_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=UIzwEa3iDUEAX_zvixt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCIMoCPQB1mEIihJfutsdbt-ZMtjrFRFQMAwpEMtM7Nbg&oe=6563C2BC&_nc_sid=bc0c2c,"Haldi ceremony 🌼

#wedding #indianwedding #dhruvrathee #haldi #haldiceremony #yellow #shadi #india #bride #indianbride","['wedding', 'indianwedding', 'dhruvrathee', 'haldi', 'haldiceremony', 'yellow', 'shadi', 'india', 'bride', 'indianbride']",222695,965,"Delhi, India",2022-05-11 10:16:00,GraphSidecar
