,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/401069297_17993846378369940_7387418045199644183_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=XSZ9iggzRM8AX8aWoQb&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNTE4Mjk4OTUxOTE2MDc4MA%3D%3D.2-ccb7-5&oh=00_AfDlWFq_GDMKeX6y7RHO64bZP3reymEkrGzRYY1LO_m_WQ&oe=6564927D&_nc_sid=8b3546,"🐐 x 🐐 

Right back at it…

Cash App Pre sale 
This Wednesday, Nov 15 at 11 AM 

Available For Everyone 
Friday, Nov 17 at 11 AM Local 

CHECK DRAKE RELATED FOR DETAILS",[],1304376,10287,,2023-11-13 13:58:07,GraphImage
1,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326243917_512869660950574_7344037661349227001_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=cfUSZOtN_xgAX9CB2Bm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA0u722dOZD2PmBswA6UV6qznaD45KveNJMIc3Wg3dnNg&oe=6565E121&_nc_sid=bc0c2c,"In celebration of “Scary Hours” anniversary the limited-edition ‘Scary Hours Diamanté’ hoodie is available, exclusively on Drake Related.
UPDATE: SOLD OUT.",[],415631,923,,2023-01-20 01:19:52,GraphSidecar
2,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/368561282_677637964245478_2456184809177668069_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=u7I-j0GeivEAX-soDq8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCcqA2ubdqf4W0uo8zQ2QHeOvhxxPtztEa411u5d8SgWA&oe=65643DDD&_nc_sid=bc0c2c,"FOR ALL THE DOGS 

Cover by Adonis",[],205746,1167,,2023-08-22 00:00:58,GraphImage
3,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/398437682_17992610129369940_8166100101176390432_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=cOAZYX2VdhsAX87EvO1&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyODcxMDE3NDQzOTg0NDkzMA%3D%3D.2-ccb7-5&oh=00_AfCTjhqwvir7J0akdE83nfB6a4CaTAO5C84JyHIpp80fXg&oe=6564C590&_nc_sid=8b3546,"One year ago today The Boy dropped Her Loss with 21 Savage. 

The album debuted at No.1, with all 16 tracks debuted on the Billboard Hot 100, and is currently 2x Platinum. 

What’s your fave track off the album? 🦉🔪",[],167250,956,,2023-11-04 15:37:48,GraphSidecar
4,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/378578823_18388356133055314_3017898339377125993_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=_3CVRgxUzAoAX-quRy4&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfCZ0SAGxJfbU5i2VcGORTuwSJw5K2X6vNRdAWGc_1bd1Q&oe=65641CBF&_nc_sid=bc0c2c,"Drake “Slime You Out” ft. Sza
Produced by Drake & @ovonoel 

Out Now

FOR ALL THE DOGS",[],144268,815,,2023-09-15 15:59:24,GraphImage
5,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/375053886_17984828213369940_3289577133639866051_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=RdPcwevMdgUAX84y-p0&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDMPeyMM1Pz-_qOLcpLscqUYdEZx7jVFTvQdqiaAuKCeg&oe=65645131&_nc_sid=bc0c2c,"Two years ago, The Boy dropped his sixth studio album, Certified Lover Boy. The album debuted at #1, and has remained on the Billboard 200 chart for 103 weeks.

In celebration of the anniversary, the CLB hoodie and hat is now available on Drake Related, while supplies last.

Comment below your fave track off the album",['1'],135938,775,,2023-09-03 15:02:46,GraphSidecar
6,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/326427411_1346661576158447_5507220898650101049_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=dSw26OpPCrIAX9cQC3x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDZkZGlKgK7ueKjEHFoAaoSlJurItL0QUR_gJlEOzRPig&oe=656190E1&_nc_sid=bc0c2c,"5 years ago today, The Boy dropped ‘Scary Hours’ featuring “God’s Plan,” debuting at #1 and “Diplomatic Immunity,” debuting at #7 on Billboard charts. Both songs were his 21st and 22nd top ten entries on the chart, making him the only artist in Billboard history at the time to debut two songs in the top ten at once twice.

God’s Plan ✨
Debuted at #1
Charted #1 For 11 Weeks
Grammy for Best Rap Song
1.4 Billion Views on YouTube
Certified Diamond, 15x Certified Platinum by RIAA","['1', '7', '1', '1']",96463,810,,2023-01-19 20:43:57,GraphSidecar
7,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/324390889_490858356539496_6287752004239447949_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=pb9hNMdfKb8AX8R4FVf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAfm2XMrJ-FL7C39dGsgF1eRSRI3dzAb3X6iYQDXv85fw&oe=6565A905&_nc_sid=bc0c2c,"3 years ago today The Boy & Future dropped “Life is Good.” 

As of today the track has reached Official @RIAA_awards Certified 11x Multi-Platinum, surpassed 1 Billion @Spotify streams, and 2 Billion @YouTube views.",[],93968,452,,2023-01-10 19:05:42,GraphSidecar
8,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/395470863_204237006027920_8011797881784415520_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=61D4SC5XcckAX_TX8DG&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyMDk0MTY1NjMxMjY3NjUxOQ%3D%3D.2-ccb7-5&oh=00_AfBjkekPiWaX-0DE2WjM31PaeJ16qCjZT-oCAviRaj4R-g&oe=656426C1&_nc_sid=8b3546,"Celebrating another year of greatness. To breaking records and creating legendary moments, more life @champagnepapi",[],93675,437,,2023-10-24 22:23:08,GraphSidecar
9,drakerelated,1920647,8,True,True,None,173,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/386387454_1254829378484855_3510792815693903497_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=S7ifNhbHtboAX-FSvWW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBS08P45sVRyK-_gAQorACR6_AEL566NQRDxgS-bZy9Dg&oe=6565C376&_nc_sid=bc0c2c,FOR ALL THE DOGS OUT NOW,[],92961,1126,,2023-10-06 17:23:23,GraphSidecar
