,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/296803536_2353120691520117_2284903294474974179_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=lo3aumdCMkMAX8rBibk&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg5NjEwODU4OTkyOTk3NjUwNw%3D%3D.2-ccb7-5&oh=00_AfCv2y2KMkCBJn_vqQ8oD0WJXWbJSgCj4OGoKexuLZK0Lw&oe=6568049B&_nc_sid=8b3546,blue hair who dis,[],273285,5649,YouTube videos status subscribe my YouTube channel,2022-08-02 17:57:49,GraphSidecar
1,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/251101462_2987830261531440_1176244698056674945_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=c1XSs3-ymPQAX8Y0QSO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5C_lRFzNJCbVQkuYIEAsjHyQfguA-2_1DHFB9yA_dyA&oe=6567DDCB&_nc_sid=bc0c2c,Shaggy and Velma got eaten by ghosts so it’s just the three of us now,[],230424,1211,Halloween ;),2021-10-31 22:18:20,GraphSidecar
2,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/342070229_1468926057177157_5359810113026850566_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=1Q6pUa1d7jsAX8eTcbx&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4MzE4MjY0NTAxMzAyMzI4Mg%3D%3D.2-ccb7-5&oh=00_AfBIfFW9LX4OmzlCsqqdywenak5DywK0T5YFjAYR-uVqjg&oe=65686C85&_nc_sid=8b3546,super annoyed that my fight with mr beast got cancelled last minute just because he “doesn’t know who I am” and “never agreed to it in the first place” or whatever but i’m still glad I got to see my friends kick ass and look really cool in their boxing gloves! and thanks to @thecreatorclash for inviting us! maybe next year i’ll remember to take more than 4 photos,[],203340,853,In The Ring,2023-04-17 20:40:35,GraphSidecar
3,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/301987280_196320609440024_5529220787754931275_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=DukULYv3AH8AX9KLQpf&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkxNzEzOTg4NTYzMDY5MTUyMw%3D%3D.2-ccb7-5&oh=00_AfC3aLCLp8C0K7By8sr9fO5iPNfUGxRlsP3qsTpTRu2e8A&oe=65671EBB&_nc_sid=8b3546,"One sausage, two loves #hotdoggoals",['hotdoggoals'],183757,1674,,2022-08-31 18:23:15,GraphImage
4,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/396528483_320939834002896_6929317428234971873_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eItBPHoKeA0AX_0Vogv&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNTEyNzE5MzU3MTM4NjA3NA%3D%3D.2-ccb7-5&oh=00_AfCmbOP5PuJ-m66P_UCfoAP9KZMSsjOw9UIeiYLsng3K7w&oe=65675DD3&_nc_sid=8b3546,there are two snakes in our boots,[],183927,437,Halloween Birthday Bash,2023-10-30 16:59:04,GraphSidecar
5,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/274081492_253068120334013_7560006326406747148_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=6rEYIRKfWlsAX-c8XwF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAb6QaN9sWdwKoz4ilfCyoGrF-0c4GNOeCRm-9mRZp68g&oe=65644870&_nc_sid=bc0c2c,"Not only is today Valentine’s Day, but it just so happens to be our 3 week anniversary as well. Can’t believe how fast time flies. Here’s to 3 more ❤️",[],178180,864,Love Town.!!!!,2022-02-15 00:59:13,GraphSidecar
6,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/383057635_1033942657788324_6520091993518683133_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wLZBfZzCeLsAX9wPMjL&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwMTE3NDg3MjgzNDg3OTI3NA%3D%3D.2-ccb7-5&oh=00_AfAnUhZxJDgp3jZpRtDa4NAqidL45uihr3bZv3KDCXrIvw&oe=65683542&_nc_sid=8b3546,blessed to see another year around the sun. may your 2017 be filled with joy,[],169514,648,HAPPY New YEAR 2017,2023-09-27 15:50:04,GraphSidecar
7,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/277533239_493663615559274_6302859483988462066_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=P3qdQvM6EpgAX-OMmU3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA48VOhsGqdaAr1-szEILT6SrlalDc2MBPjdYZVOO5U1Q&oe=65670C9D&_nc_sid=bc0c2c,"so I was minding my own business at football practice today (i’m in the NFL) when this CRAZED FAN came up to me and wouldn’t stop shouting until I took a selfie with her. at least it got her off my back so i could finish my photoshoot. be careful out there, guys.",[],160332,627,Foot ball,2022-03-30 20:29:04,GraphSidecar
8,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/120303352_1215169085519147_6892414139914665168_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=kmN-m4gr9SwAX8Ws2Y2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAWNRi0X1Np_8M7Ok1ofJbUtx5twa3e_polOcCp3qoLTg&oe=656710FB&_nc_sid=bc0c2c,Orange you glad I didn’t say life hack? Please watch my video on youtube dot com slash me,[],155730,961,Sweet Oranges,2020-09-30 18:44:36,GraphSidecar
9,drewisgooden,727568,617,True,True,None,238,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/178505864_203864187967915_2194361151447731703_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=4QOF6JH2ou8AX_dNCSp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAXIyhXoXxyFvTfeApMx3jG9Y5LR1qCQtiLATTuJ6zVNw&oe=656714FE&_nc_sid=bc0c2c,"I posted a new video to the internet! Can’t remember what website I put it on but you’ll find it eventually. If you don’t want to watch it, you can just look at these photos instead.",[],147159,1508,To the moon and back,2021-04-24 17:36:35,GraphSidecar
