,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/291019079_5603962796301242_8049390470033176665_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=0Fd2FOX9Hn8AX8B78Tb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD7j4QNSQhWtc3VMPFj1BuL9f6koCCumsHSLil_zAJn4Q&oe=6568311E&_nc_sid=bc0c2c,"A drivable icon…
Series IIA Land Rover 
GM V6 Engine 
6 Speed Automatic Transmission
Upgraded Brakes + Suspension 
.
.
.
.
.
.

#serieslandrover #series2 #landrover88 
#defender110 #defender90 #landrover #defender #landroverdefender  #beachlife #carsofinstagram #carspotting #vehicles #customcar #restomod #nantucket #rangerover #trucksofinstagram  #custommade #design  #rangerover #truckporn #porsche911 #blue #beach #carsandcoffee #car","['serieslandrover', 'series2', 'landrover88', 'defender110', 'defender90', 'landrover', 'defender', 'landroverdefender', 'beachlife', 'carsofinstagram', 'carspotting', 'vehicles', 'customcar', 'restomod', 'nantucket', 'rangerover', 'trucksofinstagram', 'custommade', 'design', 'rangerover', 'truckporn', 'porsche911', 'blue', 'beach', 'carsandcoffee', 'car']",11014,62,"Charleston, South Carolina",2022-06-27 12:48:28,GraphSidecar
1,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/296614114_166865089212825_7133499084737374963_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=McQPw7LCLwsAX-QY2Mt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAjK5I5leqpd_NBGCdGSoF9AofOG55rrZ1Ej4rGtaBOBw&oe=65685C94&_nc_sid=bc0c2c,"Keswick Green 90
.
.
.
.

#landrover #landroverseries #landrover88 #landroverdefender #defender #classiccars #car #charleston #nantucket #amazing #hamptons #miami #ınstagood #scottsdale #nashville #california  #marthasvineyard #sandiego #landroverlife #beachhouse #beach #vintage #vintagecar #green #porsche #classic #carsandcoffee #historic","['landrover', 'landroverseries', 'landrover88', 'landroverdefender', 'defender', 'classiccars', 'car', 'charleston', 'nantucket', 'amazing', 'hamptons', 'miami', 'ınstagood', 'scottsdale', 'nashville', 'california', 'marthasvineyard', 'sandiego', 'landroverlife', 'beachhouse', 'beach', 'vintage', 'vintagecar', 'green', 'porsche', 'classic', 'carsandcoffee', 'historic']",9027,45,,2022-08-01 12:13:03,GraphSidecar
2,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/310911956_659411675608004_6365026580819549898_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=IM12isJWyqsAX9ayBJ6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMyQJyYrv6Hx7msOgs2CuPllLuUvb1-SG3HkGRu-Z4TQ&oe=6566B232&_nc_sid=bc0c2c,"Project Nash…
.
.
.
.

#handmade 
#defender110 #defender90 #landrover #defender #landroverdefender #motivation #carsofinstagram #carspotting #vehicles #motivational  #photography #rangerover #industrial #industrialdesign #trucksofinstagram  #crypto #custommade #design #motivationalquotes  #rangerover #industrial #muscle #truckporn #porsche911 #view #carsandcoffee #car #designinspiration","['handmade', 'defender110', 'defender90', 'landrover', 'defender', 'landroverdefender', 'motivation', 'carsofinstagram', 'carspotting', 'vehicles', 'motivational', 'photography', 'rangerover', 'industrial', 'industrialdesign', 'trucksofinstagram', 'crypto', 'custommade', 'design', 'motivationalquotes', 'rangerover', 'industrial', 'muscle', 'truckporn', 'porsche911', 'view', 'carsandcoffee', 'car', 'designinspiration']",8360,91,,2022-10-06 12:51:07,GraphSidecar
3,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/50938211_526910687833460_4121814214992324573_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=kYrG0eXNcLMAX92FQn-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCU3S5Xz5NawKMEIGVWgUpYx7S8ffdeNhiyaImfUpus-w&oe=65686517&_nc_sid=bc0c2c,"Defender 90 by HIMALAYA. ——————————————
Classically restored with a few modern upgrades for drivability. This D90 is available now. See link in bio for more info. -
-
-
-
-
-
-
-
-
-
- 
#defenderlife #defenderseries  #defender90 #defender110 #landrover  #4x4 #photography #adventure #adventuremobile #trucksofinstagram #explorer #defender #offroad #car #classiccars #daily overland #rangerover #fj40 #dailydriven #cars #carsofinstagram  #tesla #blacklist #dreamcar #hoonigan #classiccar #landroverdefender #trucks #trucks","['defenderlife', 'defenderseries', 'defender90', 'defender110', 'landrover', '4x4', 'photography', 'adventure', 'adventuremobile', 'trucksofinstagram', 'explorer', 'defender', 'offroad', 'car', 'classiccars', 'daily', 'rangerover', 'fj40', 'dailydriven', 'cars', 'carsofinstagram', 'tesla', 'blacklist', 'dreamcar', 'hoonigan', 'classiccar', 'landroverdefender', 'trucks', 'trucks']",7995,27,,2019-02-13 14:51:12,GraphImage
4,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/102389730_118300589633638_4554394967448555773_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Pa5Cgu0XTigAX93B5cY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCxggPOxoKhEVyfKKL-G0nqKCW7bBS8AGY3LI1stkqj_w&oe=65674DEF&_nc_sid=bc0c2c,Untouched potential...,[],6941,29,,2020-06-08 16:03:16,GraphImage
5,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/51174425_1299593316855572_3887154426352893275_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=TOXGC0w-i8sAX8ZXB01&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeI-f8VAnxKtp5JYZG7pgVo1xux-2lIVA6dQFpUxNx9Q&oe=656720A5&_nc_sid=bc0c2c,"Over 500hp packed into this daily driver... -
-
-
-
-
-
-
-
-
-
-
-
-
-
-
 #defenderlife #defenderv8 #defender90  #landrover  #4x4 #photography #adventure #adventuremobile #jeep #trucksofinstagram #explorer #defender #offroad #sunset #dailyoverland #amazing #drive #dailydriven #cars #travel #trucksofinstagram #carsofinstagram  #blacklist #dreamcar #classiccar #landroverdefender #trucks #trucks","['defenderlife', 'defenderv8', 'defender90', 'landrover', '4x4', 'photography', 'adventure', 'adventuremobile', 'jeep', 'trucksofinstagram', 'explorer', 'defender', 'offroad', 'sunset', 'dailyoverland', 'amazing', 'drive', 'dailydriven', 'cars', 'travel', 'trucksofinstagram', 'carsofinstagram', 'blacklist', 'dreamcar', 'classiccar', 'landroverdefender', 'trucks', 'trucks']",6547,15,,2019-02-19 18:42:16,GraphImage
6,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/51944543_1995018100803094_1318070999894580871_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=HeyUfc4PhOcAX_xxcGk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCyVQJV_jyHRWHm_7Bw6ibYztD_KAmHhJgMcS3WUeJ_8g&oe=656868BD&_nc_sid=bc0c2c,"“The Drive” video coming soon. Subscribe to our YouTube channel so you don’t miss it...Link in bio. -
-
Explore the Pacific Coast Highway in a Defender 110. -
-
-
-
-
-
-
-
#overland #wilderness #overlander #camp #outdoors #outside #overlanding #rangerover #sunset #landcruiser #hiking #backpacking #defender #4x4 #offroad #carcamping #rooftoptent #youtube #viral #youtuber #trail #roadtrip #adventure #trailready #rigoftheday #truck #landrover #jeep #defender110 #defender90","['overland', 'wilderness', 'overlander', 'camp', 'outdoors', 'outside', 'overlanding', 'rangerover', 'sunset', 'landcruiser', 'hiking', 'backpacking', 'defender', '4x4', 'offroad', 'carcamping', 'rooftoptent', 'youtube', 'viral', 'youtuber', 'trail', 'roadtrip', 'adventure', 'trailready', 'rigoftheday', 'truck', 'landrover', 'jeep', 'defender110', 'defender90']",6517,11,,2019-02-26 15:56:16,GraphImage
7,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/53926660_1325150447626436_1069448812308439443_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=0TVwIQG8IB0AX-8irqT&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDMCN1a6qrt85Gy41A96mg3GNKhJS-DOrmgkD71uWut-Q&oe=6567D19E&_nc_sid=bc0c2c,"Get out and drive...
-
-
-
-
-
-
-
-
-
-
-
-
-
#defender110 #defender90
#landroverdefender 
#overland #wilderness #overlander #outdoors #outside #overlanding #rangerover #sunset #hiking #backpacking #defender #jeep #4x4 #offroad #carcamping #trail #roadtrip #adventure #trailready #truck #rangeroverclassic #landrover","['defender110', 'defender90', 'landroverdefender', 'overland', 'wilderness', 'overlander', 'outdoors', 'outside', 'overlanding', 'rangerover', 'sunset', 'hiking', 'backpacking', 'defender', 'jeep', '4x4', 'offroad', 'carcamping', 'trail', 'roadtrip', 'adventure', 'trailready', 'truck', 'rangeroverclassic', 'landrover']",5856,10,"Los Angeles, California",2019-03-28 14:13:43,GraphImage
8,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/332578458_1186627811963983_6925485211666556851_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=AyHtwLheyOUAX_4eQJa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCphOhJrs5PKg0nzr4XPfPyuPPjINLXrJZSLdnw_Iu21Q&oe=65681CBD&_nc_sid=bc0c2c,"re-engineered. 
.
.
.
.
.
.
.

#custommade #design  #truckporn #porsche911#carsandcoffee #car #engineering 
#defender110 #defender90
#landroverdefender #defender #classiccars #car #charleston #nantucket #engineer #nashville  #reels #landroverlife  #reelsinstagram#vintagecar 
#landrover #defender #landroverdefender #carsofinstagram#carspotting #vehicle #rangerover #factory #industrial #industrialdesign","['custommade', 'design', 'truckporn', 'porsche911', 'carsandcoffee', 'car', 'engineering', 'defender110', 'defender90', 'landroverdefender', 'defender', 'classiccars', 'car', 'charleston', 'nantucket', 'engineer', 'nashville', 'reels', 'landroverlife', 'reelsinstagram', 'vintagecar', 'landrover', 'defender', 'landroverdefender', 'carsofinstagram', 'carspotting', 'vehicle', 'rangerover', 'factory', 'industrial', 'industrialdesign']",5683,33,,2023-03-09 13:50:08,GraphSidecar
9,drivehimalaya,210971,2219,False,True,None,573,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/324549824_203494262173659_3631324336467304987_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=aRZLm3l2so4AX8q8azB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnyPN-bukAKH74NDdaVZ7Ze8-TsG7nisCRfvWWAzhHZg&oe=65677322&_nc_sid=bc0c2c,"“Tonka” Defender 90… ⁣
.⁣
.⁣
#landrover #landroverdefender #defender #defender90 #defender110 #defender130 #discovery #rangerover #best4x4xfar #nyc #newyork #charleston #charlestonsc #nantucket #customdefender","['landrover', 'landroverdefender', 'defender', 'defender90', 'defender110', 'defender130', 'discovery', 'rangerover', 'best4x4xfar', 'nyc', 'newyork', 'charleston', 'charlestonsc', 'nantucket', 'customdefender']",5614,20,"Charleston, South Carolina",2023-01-11 14:04:16,GraphSidecar
