,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/361753590_985430606108461_5926834198189986039_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=qGDDtq2e2WcAX9qZzm_&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE1MTE3NjQ0MjY2NzM2NDQ4Mw%3D%3D.2-ccb7-5&oh=00_AfAn1Nf8VWWmknimA9ihnb3VxIeS2aqntgmcWteAnKYhhQ&oe=65686254&_nc_sid=8b3546,"Last month I went to every Margaritaville in the country. No, I’m not kidding. Ted and I did it again. This has consumed my entire life since May so please go check out the video on my channel.",[],70608,582,,2023-07-20 16:12:07,GraphSidecar
1,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/397131233_872866877396183_3195365356072909435_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=XM1VkAm3MAEAX82NzDr&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIyNDQ0NDYwOTE5MDc3NTQ4Ng%3D%3D.2-ccb7-5&oh=00_AfA0GfbUtWoGsESv5hNFeml196K07tBe85uEX1BtTP4BkA&oe=6567BFF8&_nc_sid=8b3546,she going down lois to my peter until i get absolutely goofy,[],68623,208,,2023-10-29 18:22:53,GraphSidecar
2,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/361638969_6545899265503778_5077947860075096392_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GRY_WW5ZUbMAX9O1pr-&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE1MTkwMjcxODcxNjQ0Mzc0OQ%3D%3D.2-ccb7-5&oh=00_AfCkQeXy1kSjrdUKt6RvbqfSZaNVyYdPqUId7UVI5VMghQ&oe=65670C8E&_nc_sid=8b3546,"🌴Margarita Cabana Shirt🌴 is available now (link in bio) but the stock is selling out fast so grab it now if you want it!

Also Ethan is fine don’t ask. Everything is just fine and Ethan is not still in the pool haha why would you even say that??",[],68098,330,,2023-07-21 16:15:06,GraphSidecar
3,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/342082335_143664365340464_6562289194106836862_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=WfZAB2rPdOoAX87KHUA&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4NTM1NTM1MTUxMjI2MDczMw%3D%3D.2-ccb7-5&oh=00_AfCCl0AAF1HtzlP06iSBcbMJCe2GppBSQp0gTsbiM8N6oQ&oe=656703CE&_nc_sid=8b3546,"I’m sure you’ve already heard the news, but elon took my Twitter checkmark away. I’ll need some time to process, so don’t expect a video until around 2026. - ✌🏻❤️ E",[],60832,266,,2023-04-20 20:37:21,GraphImage
4,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/395914457_18394592485018196_4940128251192552074_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=gyztzj2ka30AX8nqVaC&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyMTU2NjI1OTA2OTc3OTk5Mg%3D%3D.2-ccb7-5&oh=00_AfCkGA_GVwKok6QiTIbstMzZeY3Gd4ibcYMX8qaWYkSYSA&oe=6568C70B&_nc_sid=8b3546,i spent a day with @eddyburback… coming friday,[],56031,182,,2023-10-25 19:04:06,GraphImage
5,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/313199981_1322000875213589_44694549086509723_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=eumApQFNf4wAX9YQe85&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDhAKOlJMDAFX-8Wp3uE3giVUIgd-jOBugET0MDNwbLHA&oe=6568364C&_nc_sid=bc0c2c,POV: you’re bowser on the ground because we just kicked the shit out of you,[],54255,177,,2022-10-30 18:11:06,GraphSidecar
6,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/341536398_1405765643610282_5565929604257285674_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=8zZUjfbAxGUAX_pYYni&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4MzEwNTExODYzODY1MTUyOA%3D%3D.2-ccb7-5&oh=00_AfBUnuk3ukcFU6HyHAJR4WzhEb78KbZgUUsknJ51XsgUwg&oe=6568B832&_nc_sid=8b3546,"I cannot describe how proud I am of my friends who trained all year and fought in creator clash on Saturday.

Forgot to get pictures with everyone but it was such an amazing weekend and I loved hanging with everyone so much!

Can’t wait for next year! 🥊",[],52824,185,,2023-04-17 18:06:33,GraphSidecar
7,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/356419153_1529483084249065_6837751127620211428_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kg6cDWyQklEAX_HFQTM&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEzNTQ5NDE4NjUzNTg0NzAxNA%3D%3D.2-ccb7-5&oh=00_AfAJsDAS60-2nfQjHSWobUOaZk1Vjl1K_MdSuQZcB6QnFg&oe=65678187&_nc_sid=8b3546,"eddything eddywhere all at once

(instagram glitched and replaced a bunch of photos with the same one so I had to do this all over again)",[],49124,120,,2023-06-29 00:54:17,GraphSidecar
8,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/322947570_685048486660362_913005842471415229_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=uNdfeZ8x2-sAX-W0mfs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDGKDi7pOixWgb6eCAm3fiK9Dm_T0eVm_WcKEzMLDfLwA&oe=65686D36&_nc_sid=bc0c2c,arguably the best year of my life,[],48851,171,,2022-12-31 23:16:54,GraphSidecar
9,eddyburback,232878,592,True,True,None,279,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/345680883_618626143619596_1671555693251931726_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=RNcILHrR2XUAX922Pah&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA5OTkzMDU3NTE1MDgwNTQ2NA%3D%3D.2-ccb7-5&oh=00_AfBkfHm5ZkpJAdypdwRXu-9vXkZ7TVJ0sHkAA0T-v5nlrA&oe=6567AE3E&_nc_sid=8b3546,"🌺yikes spring 2023🌺

(link in bio)",[],46916,312,,2023-05-10 23:15:43,GraphSidecar
