,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/309841665_5227550877345231_6068161092002120498_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=io22pny-l60AX-1cH-9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCeDlFTGps6DNcp6okcqC928H1QDIEhfZ3sZCImi29S0Q&oe=6568388F&_nc_sid=bc0c2c,✨🧚✨,[],401991,1197,,2022-10-01 20:01:53,GraphImage
1,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/239137698_819641232016475_5749155255112423315_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=MepBHKWEmn8AX8Ugw3n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAFaHLbBdF6z2PYSo80bbmZEvtj5G2fjEkD5Ia9TvBBRw&oe=6567C0F9&_nc_sid=bc0c2c,"-
22",[],311826,2466,,2021-08-19 00:02:06,GraphSidecar
2,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/193791829_252861753285326_1214683086016496983_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mvMaNTkF-IUAX8bVbtY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIma5aitzcOw0Xy_zxTWqXKgg5VjnDmmbuOlkOuZjVUQ&oe=6567E944&_nc_sid=bc0c2c,"-
god’s favorite e-girl",[],272649,1494,,2021-05-31 18:31:05,GraphSidecar
3,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/242178407_1005804990255982_39120484915988252_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=vsuQXJa6kIoAX_nRHiS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDZHpt9E0p171JJN7Uqoj6WsiYdUKNVmHCZ0VmDPHzYYA&oe=6568B1D4&_nc_sid=bc0c2c,"-
because i’m the devil who’s searching for redemption",[],260028,1003,,2021-09-17 22:08:39,GraphSidecar
4,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/300160860_335750472018164_485912519069286323_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=n7NPX_DfmBwAX9Mu0ia&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCk5jC4bNQ1Fa5VsjFbODLQQHGItpNk8BYxaR4Br70Mpw&oe=6567A7E3&_nc_sid=bc0c2c,505,[],242312,1027,,2022-08-21 19:34:03,GraphSidecar
5,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/306365610_495040619108969_6470208678598798336_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=pR5Y-AJWbH4AX_ihzUC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD_ijjBaDb6B2OrwxDrxEzFjW7U3feC9ZDtQiBQZ0_ojg&oe=65677539&_nc_sid=bc0c2c,hey miss murder 🩸,[],236742,1003,,2022-09-13 01:33:54,GraphSidecar
6,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/207291165_549339316240367_6731083773817427812_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=L9GPO-ed3a4AX_nyQo_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVDqiCp-PEYi_FgaDTgnZUN784Dq2k2T8APdeAZddmzQ&oe=65686CFB&_nc_sid=bc0c2c,"-
loey took me to a rage room & i got a booboo. the first thing i said was “don’t worry i won’t sue.” & then an employee who recognized me from twitter had to wrap my wrist with gauze while i laid there nearly unconscious.",[],223615,738,"Los Angeles, California",2021-06-24 19:22:37,GraphSidecar
7,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/318790125_464853515607522_6177478901937081545_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=fRX7dFIMTRcAX9INiu-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDzfERAeIDNDniLC3h2wpGEFi-xl11XZOS9YThKIXtzOg&oe=6567609F&_nc_sid=bc0c2c,vampires will never hurt you 🩸,[],221518,1288,,2022-12-10 00:52:39,GraphSidecar
8,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/209036015_365153821652407_3308755196184019923_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=_MaVhFHqrgkAX8uir-f&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB0ObPXhf4Dl5rEoOk1KTicAGOvbGRabZQ5__n_xb1Vmw&oe=65679262&_nc_sid=bc0c2c,"-
i’m not sick but i’m not well !
& i’m so hot cause i’m in hell !",[],216056,701,,2021-07-09 23:28:31,GraphSidecar
9,emmalangevinxo,900107,615,True,False,N/A,66,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/234832476_519151896022948_5404826207324918079_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Hg16axCJLucAX8sXoEa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA7XdbwIGITF6pPqMHJWDAb-ljdCul_LFbnm1vis9N3jw&oe=6568D453&_nc_sid=bc0c2c,"-
i DJ’d emo nite :')
📸: @acaciaevans, @flowerhitsthebigtime & @htennekk",[],214351,372,Emo Nite,2021-08-10 20:27:33,GraphSidecar
