,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/342083275_894203838338321_2396896333634748543_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=fK3NYxekJlsAX8sZrA5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAnbvFl9DfDagqZ4LtGLB1tUefYTXdp_DTm4Ic8OgM54w&oe=6567391A&_nc_sid=bc0c2c,"1 more week of my 1st yr of university ✅

Definitely not the best for me physique wise. Weight fluctuations and overall dropped 17lbs.. we’ll be back.

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",74207,299,"Austin, Texas",2023-04-21 14:46:37,GraphSidecar
1,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/332386209_848595172894008_9191334666510400500_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=bOno7i3EXKQAX-4epCf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfApTRVkGTRT9HLanirCe1g94ohij9iycz9Ky6Pqmp5xWw&oe=6567A3AF&_nc_sid=bc0c2c,"Need a caption less generic than “back shots”

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",70069,318,"Austin, Texas",2023-02-19 23:51:38,GraphImage
2,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/325895473_1480157579143350_8418794111811986295_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=I8Y8KEQv1L4AX8c5do_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCX3h-m2f3UrUY3eCVOT8vBmO1FrlRxsZv1eEESOkKvrA&oe=6567B207&_nc_sid=bc0c2c,"Quality ⬇️. 

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",58954,316,"Austin, Texas",2023-01-16 20:16:37,GraphSidecar
3,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/292707376_5202203359862006_2592325692977234426_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=0gkk0uHlBVYAX9NJLY5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAjuGOgvlHT_QLyFDjRmNvvwjEY52-k3hIQb8IDBVst8g&oe=65682731&_nc_sid=bc0c2c,"Front and Back 🔻

————-
.
@youngla code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",52405,195,"Austin, Texas",2022-07-10 21:04:40,GraphSidecar
4,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/309240457_1074581253256519_2842134482953966425_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=rroImHQxLRIAX89NIFd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCVVMopLXB9ag1nRMl0pxzi8v05iXye3pBd_ul_4UmNAA&oe=6566C48A&_nc_sid=bc0c2c,"Eat more 🍽️

————-
.
@youngla code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",51922,442,"Austin, Texas",2022-09-29 18:24:10,GraphImage
5,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/292093669_413935050751021_371614137475534476_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=jhagmnclct4AX-M4QOx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAg4DePbZym9uUE-6QtcO-KdBSiGz1yaqTAK4smIdefKQ&oe=6567C283&_nc_sid=bc0c2c,"Still getting used to the new camera 📸

————-
.
@youngla code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",43678,157,"Austin, Texas",2022-07-07 18:21:26,GraphImage
6,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/324225916_1095729204430383_5935506877639795291_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=23FWEMAmqAsAX8zs4mc&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwkWGJjO_6wDOJu8A7fyZGQky5FuSWHHvqr4O1FOGwag&oe=65672B9D&_nc_sid=bc0c2c,"Semester 2 begins. Back at the school gym tmr. 🤘🏽

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",41584,112,The University of Texas at Austin,2023-01-08 23:32:43,GraphSidecar
7,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/314485947_908051210166612_8007716840546293919_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=17bObtQKYukAX8sEHvs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC85MC_7KnCl9VLJB_RL5lBojYDLWCabAQ3MxTjVOmgxQ&oe=65680D92&_nc_sid=bc0c2c,"Who’s skipping legs this week ?

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",40905,180,"Austin, Texas",2022-11-07 22:19:59,GraphSidecar
8,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/312813940_2224641811067320_1866291469616548432_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=TlbnOmIZhP8AX8UNfYv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLPvlrjv5idzqGBQFUN_ZY1meDs7o890YDo54oUI8Daw&oe=656758E6&_nc_sid=bc0c2c,"Hook ‘em 🤘🏽

————-
.
@youngla @dragonpharma_llc code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",40613,190,"Austin, Texas",2022-10-26 18:49:24,GraphImage
9,ethannguyenfit,232276,475,True,False,N/A,186,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/306652719_189360986957731_7186956073491477408_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=11Hat4is36EAX95KCtn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDwRtb5buccBTZzH_qND-v_lC0-_YlNY2V4b5XBq0vrIQ&oe=656825B7&_nc_sid=bc0c2c,"Reminder: It’s you vs you. Always. 

————-
.
@youngla code ETHAN 
.
————-
.
.
.
————-

#gym #aesthetics #fitness #workout #gains #healthylifestyle #health #bodybuilding #motivation #teenager #dedication #gymmotivation #gymlife #competition #trusttheprocess #muscle #mindset #leangains #shredded #legday #transformation #youngla #zephyrcollection #roadtonpc #roadtoifbbpro","['gym', 'aesthetics', 'fitness', 'workout', 'gains', 'healthylifestyle', 'health', 'bodybuilding', 'motivation', 'teenager', 'dedication', 'gymmotivation', 'gymlife', 'competition', 'trusttheprocess', 'muscle', 'mindset', 'leangains', 'shredded', 'legday', 'transformation', 'youngla', 'zephyrcollection', 'roadtonpc', 'roadtoifbbpro']",38258,149,"Austin, Texas",2022-09-11 17:47:40,GraphSidecar
