,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/326678736_1319934178807417_3994226526078723008_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=NcPq5HBARsEAX89XnNI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMurFZQJQCMJv28smrhGALVuPs5KmjQW-kG81VUGaArw&oe=656A341B&_nc_sid=bc0c2c,"We’re excited to announce that we’ve partnered with @hipdot to create this Fallen CD eyeshadow palette to celebrate its 20th anniversary this year! 

The collection is vegan, free of harmful ingredients, certified cruelty-free, and curated to embrace all skin tones. 

EDIT: Unfortunately, we’ve already sold out. Head to the link in bio to sign up for the restock!

*LINK IN BIO*",[],205230,3160,,2023-01-19 17:29:36,GraphSidecar
1,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/353609241_565515819124369_8372666959252330431_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=y9SAFKUNtNIAX91M3XW&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEyMzY2MTc3ODUyODI1MjY4OA%3D%3D.2-ccb7-5&oh=00_AfBO4sCRW8_b9o1q8e8q-Hwjjl_wg0OlRw1WURycHLTDmA&oe=656A86F1&_nc_sid=fc8dfb,"BRAZIL🇧🇷 MEXICO🇲🇽 ARGENTINA🇦🇷 (and one more to be announced 👀)! We heard you loud and clear, and YOUR TIME HAS COME! We’re finally coming back to rock Latin America! Are you ready? Presale starts Wednesday at 11am local time.",[],134961,13599,,2023-06-12 17:05:23,GraphImage
2,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/318968880_1167716603837510_5209964233718460661_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTMweDExMzUuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=7B5uWWng7jwAX-dGA3U&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk4ODg0OTU5NDYwODgwMzQ2Nw%3D%3D.2-ccb7-5&oh=00_AfDgYn8XMHtkuda5-cnSZ7oXyhWrouUJY6bbxyFg-ca1qA&oe=656B19ED&_nc_sid=fc8dfb,"What a crazy, mind blowing thing to have Fallen be certified Diamond. 10 million physical sales in the US… a very rare honor. The amount of people that have been touched by our music is humbling and overwhelming, so grateful to be a part of something so special. Thank you for listening! 💎✨",[],133376,2466,,2022-12-08 16:57:38,GraphImage
3,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/300496577_148692911124779_2195934892044614725_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=TJtZbiMPJPcAX-M5H4N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0KbDsxArHTKWYd_CvrJYFSxk4RF_yghY_6CPvu6G2ZA&oe=6569FF33&_nc_sid=bc0c2c,"19 years and still going strong! Bring Me To Life is #1 on iTunes 💥🤘 
Thank you for the love!",['1'],125464,2079,,2022-08-23 01:00:03,GraphSidecar
4,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/340290402_519820316970148_3403702123395691284_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=yQtIbbxqiuQAX-bTiNp&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBqOakQoIpTXFnW_udQHzsJ3M5yZ8OVVK6UnKrlsooV7Q&oe=656A2FB6&_nc_sid=bc0c2c,"Fallen is officially Diamond. Absolutely speechless, what an honor! Thank you for 20 incredible years 🖤🖤🖤",[],120113,1612,,2023-04-07 18:38:29,GraphSidecar
5,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/92810160_106900380881566_5241295884197869463_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=gjDZhPphKvYAX_yxmm6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI4OTQxOTEyNjYwMDc4MzYxMg%3D%3D.2-ccb7-5&oh=00_AfDMt-9mHxcZjTGfbqWaZ_npXmN5ScNh_KNmkorkfHxOEA&oe=656A4EC4&_nc_sid=fc8dfb,"We promised you a new album in 2020 and we won’t let anything stop us. We are proud to begin sharing our new album ‘THE BITTER TRUTH’ with you, one piece at a time, starting with our first song “Wasted On You” next FRIDAY! We will choose 50 people who PRE-SAVE to get the first listen of “Wasted On You” on a Zoom call with Amy Lee next Thursday! Pre-save link in bio.",[],114200,5173,,2020-04-17 16:14:09,GraphImage
6,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/313016521_851830615987396_8950583874532590621_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ZISgDdB8svsAX-WgmsR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4zVlsewTph5Q014RNSaW1YUSqe_5hqF-RO4vpedfXxQ&oe=656AE16E&_nc_sid=bc0c2c,"Boo 👻 🔪 

📸 @travis_shinn",[],111100,995,,2022-10-28 19:45:25,GraphSidecar
7,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/52587356_2010925169203659_1079377650304782633_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=aJ9W-kXRVRIAX9xY5iu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMg8fddb4v-T4dCGhHvtGVTophEhRaiYRMJDU1pUdL6w&oe=65699F4E&_nc_sid=bc0c2c,"We released our very first album, Fallen, 16 years ago today. Looking through old photos and remembering that crazy time (I was so young!) THANK YOU guys for your unbelievable support. None of this would have ever happened without you! If you have a memory you want to share use #FALLENSWEET16 to send us your photos and videos from shows, a cover you’ve done, meeting us, or anything at all that makes you feel those good ol nostalgic feels! We just might send out a few prizes. ;) Use #FALLENSWEET16","['fallensweet16', 'fallensweet16']",99060,1464,,2019-03-04 23:43:45,GraphSidecar
8,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/35001775_2075337839396315_6549607959968612352_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=c70FJy3LyQMAX_2Ff4r&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTgxMTExNDQ3NjA1MDA1Mjg1MQ%3D%3D.2-ccb7-5&oh=00_AfDusHEzjA3rga0NMR_x7-rNRzneK0k5D2ltZpuOckz2zg&oe=656B50CD&_nc_sid=fc8dfb,New merch prototype- came out awesome!,[],91142,1634,,2018-06-27 17:48:11,GraphImage
9,evanescenceofficial,1878712,419,True,False,N/A,862,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/159116618_3525492407675841_4083391921394596470_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=OiZ102Y7mWAAX-E73Fz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUyNzMyMjg1MDQ5NTc1MTcwOA%3D%3D.2-ccb7-5&oh=00_AfBWHr-2zDaPZEfeKmasMgH_Bs5371XJJ_kFrAFr03_iRQ&oe=656B09EE&_nc_sid=fc8dfb,"Hey Guys…. my hand is about to fall off from signing CD booklets! If you want one, make sure you order it right now while they last. Available at the link in bio. @newburycomics",[],85422,879,,2021-03-11 22:06:23,GraphImage
