,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/316435496_165785352751867_5425635840046747966_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=dZL4laqfe8EAX_ge2dd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVd28mpPPaMop-NJ9ZvCF5os3c0xni_c828PB8rM1WlQ&oe=65644923&_nc_sid=bc0c2c,"Hydration with a touch of sparkle ✨ @emmaraducanu 

#evianSparkling #evianWater #ad","['eviansparkling', 'evianwater', 'ad']",45724,315,,2022-11-23 17:00:31,GraphImage
1,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/356387183_1221763118538597_5281132834506532179_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=SR7qkS2uuD4AX8uQ0OM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBa_U-AldJh3ff-qnUnjKTQ-tn19N3KubHZ9mfHwYpXiw&oe=65643DE4&_nc_sid=bc0c2c,"Another year at the championships with @evianwater first ever on-court refillable solution💧👏🏻💥👌🏻
Thank you @wimbledon for providing players with their own reusable bottles. Staying hydrated is so important 🙏🏻🎾💧 #evian #wimbledon #tennis","['evian', 'wimbledon', 'tennis']",41426,210,Wimbledon,2023-06-28 16:22:45,GraphSidecar
2,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/117322299_1022292441543121_1269608719250408124_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=I-a2Gwx1TCoAX90chg2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBpMJLRtcw-xvHN2K2rOBeKFJ2lyYYbl8qVlecYn9_R2A&oe=6564DA22&_nc_sid=bc0c2c,"We couldn't be more excited to introduce our new global ambassador. Please join us in welcoming @dualipa into the evian family, the first global female music artist to join the evian team! 
 
Dua Lipa is one of today’s most iconic artists – she recently  became the first female with 4 songs with over 1 billion Spotify streams and  her second album “Future Nostalgia” just got nominated for the Mercury Prize. She's a gamechanger and an inspiring catalyst for positive change who continues to move culture forward while revitalizing the pop scene. 
 
She's the perfect match for evian's commitment to champion youth culture, and we can't wait to share with you what we have in store. So stay tuned and hydrated, the best is yet to come.✨ 

#evian #evianwater #evianxdualipa #positivedrops #stayhydrated","['evian', 'evianwater', 'evianxdualipa', 'positivedrops', 'stayhydrated']",16593,5338,,2020-08-11 15:51:45,GraphImage
3,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/257528890_2223057617836115_9141891361591633355_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ODs1I_GKPecAX-vGlCa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCK1v5LXOuKMSHONCfde4ogiJK8m4QBBiNOXOBuluRwSQ&oe=65659B02&_nc_sid=bc0c2c,"BORN IN THE ALPS⁣
Discover the new #evianxmoncler winter limited edition.⁣
The design takes inspiration from snowflakes and the emotions that memories of the snow bring. Elements of mountain slopes and Alpine meadows also influence the creative; both hallmarks at the core of evian and Moncler’s heritage. The Alps signify a natural connection between @evianwater and @Moncler.⁣
⁣
👉Hit link in bio to grab your limited bottle now, exclusivley available in selected stores. ⁣
⁣
#evianxmoncler #notvital #evian #moncler #limitededition⁣
⁣","['evianxmoncler', 'evianxmoncler', 'notvital', 'evian', 'moncler', 'limitededition']",11825,294,,2021-11-17 13:47:28,GraphImage
4,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/356256551_249358117729441_527382437953455222_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=cLUC4DveeAwAX8krKCl&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBrOsg8oTdlJQ88sHvS4Nzp6WCRRHaDwY9Cg0Go21kPaQ&oe=65658997&_nc_sid=bc0c2c,"As long-standing partners since 2008, evian is back hydrating The Championships, Wimbledon 2023. 

We are excited to be building on our lasting partnership further with a commitment to continue providing evian natural mineral water at this iconic event for the next 5 years 🎾 

Get ready for some ace tennis action 💪 Follow @evianwater and @Wimbledon to keep up with all things Wimbledon. 

#evian #Wimbledon #tennis","['evian', 'wimbledon', 'tennis']",10978,235,,2023-06-28 09:33:14,GraphImage
5,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/232345841_511227016841768_6814780098470507818_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=lrl8IWn5lPIAX_DKy5G&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD9UFQF1TMYbbZfHy6-JJG_CYIm5sbLNrFsGUvxf8si6A&oe=656507F9&_nc_sid=bc0c2c,"South Korean singer Minhyuk from popular k-pop band @official_monsta_x is loving our new limited evian collection selling exclusively in Asia.

These bottles come in three special designs reflecting the journey of evian natural mineral water.

As part of the campaign, you may also experience this journey through the French Alps via augmented reality – check it out at evian.live in the link in bio 👆

#evian #evianwater #limitededition #minhyuk #minhyukmonstax","['evian', 'evianwater', 'limitededition', 'minhyuk', 'minhyukmonstax']",8886,974,,2021-08-05 09:49:19,GraphSidecar
6,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/312206945_841848780585844_8741276502271366557_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=zq-4TL1biIUAX8qFOR5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB4mfSfXC1r08snCsqW_yf8kM4qSQm9vqb_E-jBEZFDAA&oe=65645347&_nc_sid=bc0c2c,"BALMAIN x EVIAN ​
“Baroque flourishes are often paired with priceless materials to frame and highlight some of France’s most splendid creations. I could not think of a better pattern to highlight the precious contents of this special collaborative bottle: incomparably beautiful, crystal-clear mountain-spring water.“ -@olivier_rousteing ​
​
The final piece of the @balmain x @evianwater collaboration pulls signatures from both French houses, celebrating the power to enact positive change together. ​
​
#BALMAINxEVIAN​
​
Creative Direction & Production: @helmut_magazine​
Photography: @annaetjacques",['balmainxevian'],9716,80,,2022-10-27 09:46:52,GraphSidecar
7,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/278938046_531238898362974_1277147948447569939_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Ywc4IodxRrYAX_txO0u&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA7-Oyv1yHOkduz-8AFd7jA5urOXKjVS-DCLpEZ6pQoIw&oe=6565EB8E&_nc_sid=bc0c2c,"To celebrate Earth Day we’re giving away 10 limited-edition evian x @mate.bike e-bikes to help us ride towards change⚡🚲   

For your chance to win this stylish and eco-friendly item simply: 
1. Like this post 
2. Follow @evianwater and @mate.bike 
3. Tag two friends in the comments below

Check the link in bio for T&Cs. Winners have been contacted via DM on April 29th.

#evian #evianxmate #earthday #ridetowardschange #giveaway #contest #earthday2022","['evian', 'evianxmate', 'earthday', 'ridetowardschange', 'giveaway', 'contest', 'earthday2022']",4180,4216,,2022-04-22 09:22:09,GraphImage
8,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/259902855_623253109021948_8536683059220464215_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xqmbaIo1mXsAX8XKu5n&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDuRpAt5HY5esLp4rxOnNUaL_p2avE5je10hsR5VeEeNg&oe=65656998&_nc_sid=bc0c2c,"BORN IN THE ALPS⁣⁣
Introducing 2021 limited-edition 75cL glass bottle with pioneering & innovative brand @Moncler, designed by contemporary artist Not Vital. ⁣⁣
⁣
The pure taste of evian natural mineral water comes from a pristine and protected Alpine Mountain source in the French Alps, after being first discovered in Évian-les-Bains 230 years ago. Moncler has similar Alpine Mountain origins; the name being an abbreviation of Monestier-de-Clermont, a mountain village near Grenoble. ⁣
⁣
👉Hit link in bio to learn more on our limited bottle, exclusivley available in selected stores. ⁣⁣
⁣⁣
#evianxmoncler #notvital #evian #moncler #limitededition","['evianxmoncler', 'notvital', 'evian', 'moncler', 'limitededition']",8114,215,,2021-11-24 14:58:44,GraphImage
9,evianwater,156151,1261,True,False,N/A,596,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79850711_2715894451766403_7648249493528842923_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_-82uCtl1hIAX_f7lf9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDtvkk7WONaH9ggWTzy2zz04wfKcgniE00dOxdnMBS5Ww&oe=6565AAE9&_nc_sid=bc0c2c,"What day is it? 💧As the week between the holidays and the end of year often leaves us in limbo, nothing like some @sarashakeel crystal art to get us thinking about New Year’s Eve✨💎
#evian #evianwater #stayhydrated","['evian', 'evianwater', 'stayhydrated']",7954,88,,2019-12-29 12:07:45,GraphImage
