,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/334112587_565899122172765_1847217410399397320_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JIdcNQuSh50AX_N7oqC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA2be3VTv0OYlxoDPYc4OIgcGKQOP8ouONJV3cNpp5DAw&oe=65675FEE&_nc_sid=bc0c2c,"The grid can’t wait to get to Vegas 😜🎰

#F1 #Formula1 @f1lasvegas","['f1', 'formula1']",911728,2030,,2023-03-01 18:31:36,GraphSidecar
1,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/325553887_233979152327305_917439671616911342_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uDhq47tNj58AX_684oZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDKUKxgVYZ5TmdLfknTIKwevfLYmRRvc_3Q2PeAJAwjkA&oe=65677EF8&_nc_sid=bc0c2c,"Experience Formula 1 in Las Vegas this November like you’ve never seen before. Additional on-sale dates just announced! Visit F1LasVegasGP.com for more information.

#LasVegasGP #F1","['lasvegasgp', 'f1']",853628,1761,,2023-03-09 16:47:48,GraphSidecar
2,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/396541426_846539620447042_8870507476539839366_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=rVtBHhKDQmMAX_Xx883&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC-8C0XbuqmRPhU7oQ3Y6-O3VsmuvTa_XKgRyrHbVn_7A&oe=65673CF1&_nc_sid=bc0c2c,"In need of some @f1lasvegas Halloween inspiration? We’ve got you covered 👻🎃

#F1 #Formula1","['f1', 'formula1']",670835,625,,2023-10-31 13:26:47,GraphSidecar
3,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/301487631_1044871356208394_1052817629384998844_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=jiOqmQO7dWcAX_nk2wJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC4GdWlVQYujCuUk0whL7QU4iTVi6teGH8VQ13D9N7zfA&oe=65671AAB&_nc_sid=bc0c2c,#F1 is coming to @vegas November 2023! Pre-register for tickets in our bio link or at register.F1LasVegasGP.com! #LasVegasGP,"['f1', 'lasvegasgp']",569870,1448,,2022-08-29 14:02:01,GraphImage
4,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/341778131_1200631857262056_8699474930802651026_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=b6UuIc1fWvIAX-R8Ma1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBFo3AnJcGGkTSkeL-IEQlB8TOoGbCyzXUffy1ZegnDCA&oe=6567B47F&_nc_sid=bc0c2c,Swipe ⬅️ for a glance inside the #LasVegasGP Paddock building!,['lasvegasgp'],355192,766,,2023-04-17 17:00:37,GraphSidecar
5,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/402783962_1548500055982903_4560690455033555582_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=JDQS0Z-4Af4AX9Wz_TS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCVwdNKaNSDHX6R6LJWVG1OLvZ5zA0SacJrL_mNuKgSqQ&oe=6566B87B&_nc_sid=bc0c2c,"This man just took Pole in Las Vegas.

#LasVegasGP #F1","['lasvegasgp', 'f1']",339246,257,,2023-11-18 09:40:55,GraphImage
6,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/334129447_588396152901184_2347008500856563978_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Yq9Zp3jFpbcAX-q2ZHt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBW2rzZEsAxZxDTF1kEkCzWcT3Nt0LGma1luNHmokJ10g&oe=6567C8D5&_nc_sid=bc0c2c,"Carlos ft. Baby Carlos 👶 

#LasVegasGP #F1","['lasvegasgp', 'f1']",317062,302,,2023-03-02 19:21:18,GraphSidecar
7,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/350617114_259400243426579_6449421093645149502_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=TfT2XJf3HNoAX-kqVOs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDOAPD6ZvKR_MQf3VYYpPCLd9c1bKpYtRAkAcNGgYUn7g&oe=65674058&_nc_sid=bc0c2c,"Set with the backdrop of Las Vegas’ newest landmark, Sphere, the T-Mobile Zone at Sphere stage will be home to consecutive nights of memorable performances and the second largest #F1 fan zone across the #LasVegasGP circuit!","['f1', 'lasvegasgp']",205488,375,"Las Vegas, Nevada",2023-06-01 19:05:12,GraphSidecar
8,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/403308718_831442802096470_2819364057352592797_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=yWXUUMIF2dsAX_afQFa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAxA-lG_hVJAYQSipI-9h0QEWQI59Az_v-rVs9S2LNDxg&oe=656820CA&_nc_sid=bc0c2c,"Your pole sitter for the 2023 #LasVegasGP is Charles Leclerc! 🎰🎲

P2 - Carlos Sainz 🇪🇸

P3 - Max Verstappen 🇳🇱

Bring on the Grand Prix tomorrow! 🔥

#F1","['lasvegasgp', 'f1']",93249,75,,2023-11-18 09:03:44,GraphImage
9,f1lasvegas,248869,178,True,True,None,572,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/402313574_860156302484011_8131822123591334380_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=UW_-OQgUXB4AX9cQduP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCAKq29pjqyY1Uieegp-2yPf2x6PodAg7L4308VlVWKgw&oe=656809CD&_nc_sid=bc0c2c,There are welcomes and then there are Vegas welcomes! 😁,[],82615,119,,2023-11-16 07:46:40,GraphSidecar
