,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/218191008_470413820670460_4542749339651153969_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTE3eDExMTcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=_l1mjQRQXZwAX_7Teyw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYxOTE4NDkyNjIzMTQ0MTU2OQ%3D%3D.2-ccb7-5&oh=00_AfB2VSvR3fnDW72fGWpm0NK0107WFpFMohLYHFNz-q5QLw&oe=6569AF31&_nc_sid=fc8dfb,"At least I don’t have to wear this in Stamford, CT.",[],12225,218,,2021-07-16 15:59:55,GraphImage
1,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/29715080_171429897004540_198244643727474688_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45Mjl4MTE1MC5zZHIifQ&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=KEUDULf6CMkAX_oez8r&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTc1MzI4MzEzNDAyMTE1Mzk1OQ%3D%3D.2-ccb7-5&oh=00_AfAYVsh7gs4aMuriTlxWOKgD_SqfdyQrdUo29IGvTn04nA&oe=656B1990&_nc_sid=fc8dfb,"Silencing all other competitors today at Augusta National - Congratulations @preedgolf, 2018 Masters Champion! 🏆 #themasters #golf","['themasters', 'golf']",6919,61,,2018-04-08 22:47:38,GraphImage
2,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/82015056_174820384008820_2071811731616984735_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=yGjJJk28StgAX8Ap8FA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAk0nvci7oJoYzNur32OA2j_K0_w09EUYPYYK_9ZTeDSg&oe=656AD618&_nc_sid=bc0c2c,Happy 50th birthday to this guy! Nobody rocks a leather jacket quite like @philmickelson 👍🏼,[],4125,57,,2020-06-16 13:44:42,GraphSidecar
3,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/66673352_647484365770934_2186914306390127013_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NjR4NzYzLnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=6mEnM7YxLbgAX9QlkqN&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjEwOTYzMDY0ODYzMjMxMjI5Ng%3D%3D.2-ccb7-5&oh=00_AfAW6O9IF80GWTZSACjEG8MQjG1zP7XTOoVt2Nri6D6Fpw&oe=656B4F69&_nc_sid=fc8dfb,61 years young today... Happy Birthday to the great David Feherty! 🎉🎂🎈,[],3529,152,,2019-08-13 14:46:32,GraphImage
4,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/60586595_573597613044230_3247817132599718308_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=IYxzfm1Qn1AAX-DGQYb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCKdBNcjEUXRoAtSar_6lehzUQc-RXV-HZ3zV0NqSgt4A&oe=656A4D0A&_nc_sid=bc0c2c,"“See David, the key to success in majors is gains”💪🏼 - Brooks Koepka (probably)",[],3520,22,,2019-05-18 20:32:12,GraphSidecar
5,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/20184720_1790208874602768_5990233304828215296_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=rbR6EvralowAX8q24-E&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTU2NTQxOTc2OTUzNDk4MTQyNg%3D%3D.2-ccb7-5&oh=00_AfArIS3mB7HKuu0wY8wM_c4u52fET0lu42dcCwvQZCsSWw&oe=6569F9F5&_nc_sid=fc8dfb,"Champion Golfer of the Year (Jordan, not David 😉) Congratulations to Spieth on winning #TheOpen 🏆",['theopen'],3399,10,,2017-07-23 17:56:40,GraphImage
6,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/30604366_192887667992945_3303796656352264192_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwNzguc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=WAWFxmh2O-EAX8WDhFo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTc2MTgzNzEwMjY5MTIxMjgzNQ%3D%3D.2-ccb7-5&oh=00_AfCh4UYIcRK4hMk62Lgj9ZXr3SLMRIAryAOvDtds1aiPAA&oe=656AF6B3&_nc_sid=fc8dfb,"It's Friday... alright, alright, alrighttt 😎",[],3140,25,,2018-04-20 18:02:51,GraphImage
7,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/26869835_176813272928112_444739465454288896_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Xtyycl-bRhIAX99iENK&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTcxMDM3MjE4ODIwMjM1MTQwNw%3D%3D.2-ccb7-5&oh=00_AfD_BJGXS43CNTljuFMOldpEKRkK41g1_QmEXGcZwOq6cQ&oe=6569FCE7&_nc_sid=fc8dfb,"A note from David: ""I love @carsondaly, and what he's doing with #playingforpops. Well done my old friend and good luck with the initiative. My dad played with the same three old farts on a regular basis, and when he died some 18 months ago, in his last will and testament he requested that they should pour a bottle of Irish whiskey on the 12th green at Bangor golf club, a par three that he could never hit. Starting at the tenth hole, his three friends played until they got to the green my father had found so repellent, where they took turns in fulfilling his wishes. Of course they drank it first.......I mean, come on!""",['playingforpops'],2967,21,Gangneung Ice Arena,2018-02-08 17:51:15,GraphImage
8,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/26872384_279163262616037_3851901781164425216_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwNzguc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=L_UhOUXaQhAAX9GW2KS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTcxMTIwMzExNjc3NjUwNTY5Mw%3D%3D.2-ccb7-5&oh=00_AfB6DGzNWSzvn_hEjUPON9MJCt0gtjTa10Yfs2JVuaCpGw&oe=656A2D8C&_nc_sid=fc8dfb,That #FridayFeeling 😎 #RickieFowler #Feherty,"['fridayfeeling', 'rickiefowler', 'feherty']",2711,33,,2018-02-09 21:22:09,GraphImage
9,fehertwit,104499,28,True,True,Content & Apps,626,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/28427730_243789509496005_1734405813868429312_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwNzguc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=2cxA7aoBrEEAX8dWazg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTcyNjM5NzA1MDE4NDE0NTA4NA%3D%3D.2-ccb7-5&oh=00_AfDYuSZ9ERavTABBndJqc-w9Vn1eLNaLcyXMHbbjpVdZ1g&oe=656984B8&_nc_sid=fc8dfb,You never know what you'll get on-set of #Feherty 😂🍹 @rickiefowler plus @jacknicklaus ⛳️ & Bob @bryanbros 🎾 Monday 9pm ET on @golfchannel,['feherty'],2624,29,,2018-03-02 20:29:47,GraphImage
