,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/348522641_1212292892821805_6578778865640760056_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=vjlYqN0sw54AX8J50A0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEwOTI5OTIxMTQzMDg0MTEwMw%3D%3D.2-ccb7-5&oh=00_AfAj3Hh_o-B2r_ZcxVSC9oaAh6cVbg_eaH1nccAu8dC_BQ&oe=656A75E1&_nc_sid=fc8dfb,The perfect way to kick back,[],59507,267,,2023-05-23 21:29:31,GraphImage
1,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/249282471_606592663863442_5779087454355629310_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=RnKPfAS4Dj8AX-csLOF&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY5MzkwMDkzODkyNTM1MTQ2OA%3D%3D.2-ccb7-5&oh=00_AfAN9ngsRJLMeqd9LpZPj5FxTw0VhynhduB5HI2XVklK2g&oe=656B4878&_nc_sid=fc8dfb,"to Flavortown, and beyond!",[],49162,252,"Flavortown, Usa",2021-10-27 18:07:18,GraphImage
2,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/320483577_1207003530171511_4248185558568525240_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=kCElNm0FGvsAX85mMsV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk5Njk0Njk0MjU4MTAzNzk4NA%3D%3D.2-ccb7-5&oh=00_AfA9e6ePAvRY0GFvn6oHJ6z46XeK3o8YKaFGgJYyzlAVdQ&oe=656A29B6&_nc_sid=fc8dfb,Coming to theaters in 2035 😂 @jamescameronofficial,[],47447,269,,2022-12-19 21:05:37,GraphImage
3,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/270027558_337217454598092_5638168604961930671_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=L9VTZMeYLzIAX9kp7Mo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjczNjY2MjA0NzkzODA2ODkzNw%3D%3D.2-ccb7-5&oh=00_AfA-iUNNvfvAwdsPln53rCAeZ4jJmFO2bcvy-pukM3JQlA&oe=656AE4F1&_nc_sid=fc8dfb,"The best way to spread Christmas cheer is singing loud for all to hear. 

Merry Christmas everyone!! 🎅🏼🎄",[],47268,364,,2021-12-25 18:06:00,GraphImage
4,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/312218057_5535149243235529_1749583436758535936_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDAweDEwMDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=RKSWs3qBppIAX_3I8xJ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1NDA0MTA1MzMwNjAwMTQ3NA%3D%3D.2-ccb7-5&oh=00_AfDSPyCaSy4xg3c8QM5cspC9LbqysvjTX-AlnKTN_2LX_w&oe=656A3A22&_nc_sid=fc8dfb,Flavors is a wild ride of an album.,[],46514,348,,2022-10-21 16:19:17,GraphImage
5,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/275725232_337971911630787_3719460021882987322_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2jHUQGrU0pMAX-ZXYKO&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAelyTu0r4HFJ5INfN8C-SDVmP2RZMZNklDMq_-gVKCjg&oe=656A719E&_nc_sid=bc0c2c,Likin' University of Flavortown's chances this year 😂🏀,[],37778,233,,2022-03-11 17:14:31,GraphSidecar
6,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/281952928_510022544243100_2042489949350783699_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=vzP3o1CYluAAX-MR5eY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg0MjQ0Mjk4MDQxODY0NjYyMg%3D%3D.2-ccb7-5&oh=00_AfDkEL2dLDu2K5yhhWt0TkaNpu6J0pYpe1YUjC6TuuPmqw&oe=656B5863&_nc_sid=fc8dfb,Guy’s House 😂 @harrystyles,[],36303,283,,2022-05-20 16:53:50,GraphImage
7,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/250732213_648436349898130_7238689199716001546_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=iqJwdDDTHdEAX-Gcdhh&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY5NzQyNjM3OTg0MDcyNDQ5OQ%3D%3D.2-ccb7-5&oh=00_AfCnHWgNds5yPMDVxShVwlsM7Q2Fhqhgt3xrHNWqkTAwIg&oe=656A64E1&_nc_sid=fc8dfb,it’s November first,[],30689,264,"Flavortown, Usa",2021-11-01 14:51:44,GraphImage
8,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/263116297_242589431299056_2790559074728460694_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=bpUSfa7iw2QAX-PhWhl&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcxOTE5NTE0NDQ5MzYyOTQ4NQ%3D%3D.2-ccb7-5&oh=00_AfA8x9MC76nuCEKY-nzgid-JbkTuyrjvqAztGOAGJb6y7Q&oe=6569D924&_nc_sid=fc8dfb,bangers only,[],29474,176,"Flavortown, Usa",2021-12-01 15:42:23,GraphImage
9,flavortownusa,121494,1,True,True,None,970,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/275637610_7203450449727000_3457935287350214646_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=2GjIe7SiUGAAX-jBbtD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-UnNyo5vcDunOF4YWq2tVeI5g-x0eBHYnxyTQ0Gj_8g&oe=65696AFD&_nc_sid=bc0c2c,We call it Selection Sundae at U of Flavortown 😂,[],27297,228,,2022-03-13 18:00:08,GraphSidecar
