,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/384469774_281247818077571_6208338152614188663_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=s90VGMBReAUAX8Xosup&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfA_bWPzNATUicbSYRGMhDwzB-FvwjEZQf32b39nslVwfQ&oe=6567B66E&_nc_sid=bc0c2c,"SORTEO FINALIZADO! Ganadora @dangli__ 🫶🏻💘

Hey #fulafans 🫶🏻 ¿Sabían que el próximo domingo 1 de Octubre es el día internacional del café? ☕

Yyyyy ¿sabían que el café es la segunda bebida más tomada del mundo? 👉🏻 Datos, no opiniones.
 
Para festejar: SORTEO EXPRESS para nuestro #TeamFulano CAFECITO GRATIS POR UN AÑO 🤩

Deslizá y conocé los requisitosssss! Queremos llenarnos de notificaciones vamos vamossssss

⚠️ La foto a compartir no es la de esta publicación. Es una foto que tengas en Fulano. LEAN !!!! 🤪

PREMIO: 1 café tamaño regular, clásico, frío o caliente, por día. Durante 365 días. 

Sorteamos el Lunes por historias beibis, éxitosssssssss 💙🩷

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba","['fulafans', 'teamfulano', 'cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba']",1397,2256,,2023-09-29 21:30:07,GraphSidecar
1,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/358066983_17910673565785726_7188690102763733225_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=5n-Y1r8oMRgAX9J7BWZ&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDsC1erWfkf3MoN_Ize8IHDDlYeGwxuQfJeimlZwXsLlw&oe=65677C89&_nc_sid=bc0c2c,"A una semana de nuestra gran apertura! Ya visitaste Fulano 2.0? 👀

Contanos que te pareció! 
Y si aún no lo hiciste, veniiii a conocernos 🫶🏻 

El cafecito más canchero de la city 💖

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba","['cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba']",1617,21,"Córdoba, Argentina",2023-07-05 22:21:32,GraphSidecar
2,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/402963872_17931802553785726_2097728669963862754_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ArqStwFVkgwAX_AfmJo&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzI0MTIwODE5MzkzNjgwNTQ0Ng%3D%3D.2-ccb7-5&oh=00_AfBE7iSiMau1Jt0gvtlilnUsdXBTdpHK3sr5ylifyhEKew&oe=65674C7F&_nc_sid=8b3546,"#SALCHIFANSSS en Fulano2.0 💖💖💖🐶

👉🏻 Este sábado 25/11 nos encontramos por segunda vez, en la tribunita más linda de Nueva Córdoba;

Fulano es la REAL cafeteria petfriendly, estamos del lado del cuidado de los animalitos siempre 🫶🏼

Al igual que en el primer encuentro estaremos donando parte de lo recaudado en cafecitos a alguna institucion o ONG de la city. 
Pero ahora, nos gustaria que ustedes nos cuenten a cual podemos contactarnos! 

Los esperamos este sábado 25/11 con muuuucho amor en Fulano 2.0 💖
Cafecitos, perritos, y la mejor de las energías 🫶🏼",['salchifansss'],1447,80,"Córdoba, Argentina",2023-11-21 21:29:08,GraphSidecar
3,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/395799290_296291746573178_8957666986228690248_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UudoZMkmbsYAX_p63U_&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIyMTYwOTU1MDY3NzYwNjYwMA%3D%3D.2-ccb7-5&oh=00_AfBijwA3tgB3nTGKjw_qCaHul55qAltSRJ6osMu95Ujn3A&oe=65663111&_nc_sid=8b3546,"¿¿¿¿Volvemos a copar nuestro cafecito de salchichitas???? 👀💙

PRÓXIMAMENTE el segundo encuentro de #salchifans en Fulano!

Comentá con un 🌭 si venís si osiiiiiii

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba #salchicha #dachshund #dog","['salchifans', 'cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba', 'salchicha', 'dachshund', 'dog']",1250,144,,2023-10-25 20:30:07,GraphImage
4,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/359425901_17911778297785726_1154674237229040744_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=zEVtJjVCxdAAX_mPlWD&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBIlVhmVtHszkhm1vpxmNERnAGknIyywfEdPN608RUyXA&oe=6566CB77&_nc_sid=bc0c2c,"Estudiantes y Fulano un sólo 🩷

Fulano es el cafecito al que podés venir a festejar o a ahogar penas 🥹

Por eso, en esta época de finales queremos reconocerles su esfuerzo 🫶🏻
JULIO de 2x1 en tooooda la carta de bebidas (con tu final aprobadísimo 😎 y con pago en efectivo 🫵🏻)

Los esperamos como siempre en los cafecitos más lindos de la city 🤍

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba","['cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba']",1256,45,"Córdoba, Argentina",2023-07-12 21:38:13,GraphSidecar
5,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/387838023_17925441179785726_3171397876476737071_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=oYNbjCosJg0AX9dlTM2&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBkcKL7NMZaspE591ufNi_8wnPW_VLTqptupnscGY6RDA&oe=656630D6&_nc_sid=bc0c2c,"Fulano x CPTN / Formá parte #TheCoffeeClub 💥🩷

Un proyecto dirigido a los amantes del buen café, la moda y el arte. 

Nos unimos a @lecapitaine_ y diseñamos las remeras más cancheras para ustedes. Atenti: son una edición limitada para nuestros queridos #Fulafanssss del amor 🫶🏻

Ustedes se merecen t o d o, por eso lanzamos PREVENTA! Ya podés encargar tu remera prefe 🙌🏻

Completá el forms que vamos a compartir en historias para no quedarte sin la tuya. Agotamos? 👀

Gracias Fulanos y Fulanas por coparse siempre con nuestras propuestas! 🫶🏻","['thecoffeeclub', 'fulafanssss']",1164,28,,2023-10-10 20:58:31,GraphSidecar
6,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/401837870_306439125558440_8429138616622731002_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=z0ejGbu_tH4AX_bGMUu&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNTM5NTYzMjYxNzM4Mjg5NQ%3D%3D.2-ccb7-5&oh=00_AfBWkGVRdS2p1W1hKilYJfRIjTKrjYhgbIxflYCPNj204w&oe=6566B9BB&_nc_sid=8b3546,"#ELteam soñando con su combinación Fulano prefe 🫶

Andy fanático del café de coco + cookie vegana 🥥
Lau elige Fulano Avellana y croissant 🥐
Santi Fulano Águila y alfajor de almendra, full dulcero 🌰

Gracias al #teamFulano por fotearse siempre en acción 😂😂😂
y por ser los más copadazos de la city, los queremos 💙

Nos cuentan sus sus combinaciones Fulanas preferidasssss? 

#coffe #cordoba #nuevacordoba #cafedevereda #fulano","['elteam', 'teamfulano', 'coffe', 'cordoba', 'nuevacordoba', 'cafedevereda', 'fulano']",893,126,,2023-11-13 21:00:37,GraphSidecar
7,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/400013590_304797475722605_7927659268770171713_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7mPCG9AGL68AX9k7IrV&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzMzIzMzUzODkyODk2MzI1OA%3D%3D.2-ccb7-5&oh=00_AfATdROCz3gKpaLsGWQEqSpWAMnSeodPBaJCLvnXLL32TQ&oe=65662F07&_nc_sid=8b3546,"🌈 ORGULLO POR ESTE AMOR 🌈

Te esperamos mañana en Fulano 1 para acompañarte en la previa al Festival! 💙

-Puesto de glitter y maquillaje del orgullo 💖🪩
-Puesto de Hidratación @aguaslahilda 
-Fibrones y afiches para tus carteles 

Mucho amor, brillito y cafecito para festivalear y festejar ✨🏳️‍🌈🏳️‍⚧️

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba #marcha #orgullo #pride","['cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba', 'marcha', 'orgullo', 'pride']",963,7,,2023-11-10 21:24:55,GraphSidecar
8,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/350241192_2083209141849773_3745804216932343639_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=YQGu5_43bNUAX-FzfSP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA6KlHeRyaOeXsA8gqiDJg75q6Q9D7iJJvOcdLUgcFNHw&oe=656686B9&_nc_sid=bc0c2c,"Los baristas más copados de la city creando los cafés más ricos. Te lo imaginabas? 👀

Nuestros baristas se la jugaron y crearon sus propios cafecitos para ustedes 💖

Pasate por la veredita a probarlos y elegí tu preferido! Son por tiempo limitado 👀 y a precio promocional $600 🫶🏼

Yendoooo a Fulano 💙💖

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordoba","['cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordoba']",941,29,"Córdoba, Argentina",2023-05-31 21:37:11,GraphSidecar
9,fulanocafe,21092,1386,False,True,None,151,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/379651676_274973898704963_7858086410322753103_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=z93hHmDySeIAX-XBY16&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBKqBfYDbS9i6dXx36gqquV_BsVb8b7Dqr9eSRvnp7aCw&oe=6566C46C&_nc_sid=bc0c2c,"👉🏻 Día del estudiante y día de la primavera by Fulano? Claro que siii #Fulafans 😏🩷
Queremos acompañarte! Vos te lo mereces 🥹

Juegos, sorpresas, cafecito, perritos y la mejorrrrr de la buena energía 💥
Nuevamente tienen cita con nosotros babysssss 👀 esten atentos!

#cafe #cafedevereda #fulanocafe #coffee #cordoba #somosfulano #nvacba #nuevacordob","['fulafans', 'cafe', 'cafedevereda', 'fulanocafe', 'coffee', 'cordoba', 'somosfulano', 'nvacba', 'nuevacordob']",967,0,,2023-09-18 21:00:08,GraphSidecar
