,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310881867_459529096152931_3102098140053151286_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=qsPOvNdHuwsAX_c4oDm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAtRAK2AHygVZfXI0wDnHRO8fzz_8ZybraM4mJ2sydIGQ&oe=6562EE9F&_nc_sid=bc0c2c,"AFK and get yourself ready for the 9GAG Girls Gaming Tournament to see our 8 professional gamer girls battle in Apex Legends! Now swipe to meet 2 of our gamer girls @vongwannaeat & @patpufferpuft. 

Which team will win the 9GAG Girls Gaming Tournament? Predict the champion and vote for the team, you'll have a chance to win US$200!  Link in bio. 

< 🏆 9GAG Girls Gaming Tournament 🎮 >
🗓 14 & 15 Oct 2022
⏰ 20:00PM-23:59PM HKT
📍 Gametaster.com

#9GAGGirlsGamingTournament @9GAG @GameTaster #9gagtournament","['9gaggirlsgamingtournament', '9gagtournament']",23505,330,,2022-10-06 04:26:53,GraphSidecar
1,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/310980176_475530937856547_6386023703333138501_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=CqjblqK9gZsAX_wj-_O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA5QrKHMRphjoS9HSDEQi-HHI9ov4Z7YHL3D652Ua54fQ&oe=656293B9&_nc_sid=bc0c2c,"< 🎮 GameTaster Game of the Year Award 2022 🏆 >

Make your voice heard!
Cast your vote for the best games from the categories in the Gaming Award!

Vote for a chance to win US$200! You’ll have a higher chance to win the prize if you also vote for game tournament ➡️ Link in bio on @gametaster",[],21432,516,,2022-10-11 02:18:11,GraphSidecar
2,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/317741300_5601788239938850_9081644817224406317_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=9K9bIXRtnQoAX8rZq7T&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDKOpokR_Ew7ACgb93T3lnBp3pbtqq-C36UPvKAQBNpbA&oe=656387CA&_nc_sid=bc0c2c,"Genshin X 9GAG Meme Contest iPhone Giveaway! - Round 1

Make a meme to win an iPhone 14 Pro!

Create your own version of the above meme (anyone of them). Follow the rules below to join and get a chance to win iPhone 14 Pro 128 GB. 👇🏽

Tell us what this meme could be saying by 
1. Leave comment OR upload the meme you created with the hashtag #genshinimpactmemes on Instagram
(Swipe and screenshot the meme template) 
2. Remember to make your IG account public so we can view your submission!
Or You’re welcome to join on 9gag.com as well! 

The winners will be notified by DM and announced in this post within a week after the contest ends.

Terms & Conditions:
1. The Giveaway ends on 14 DEC 2022, 23:59 HKT.
2. All submissions will have a chance to be featured on 9GAG and its social channels as well as Genshin Impact's social channels. Being featured by 9GAG doesn't mean winning the contest.
3. Entries submitted through 9gag instagram and 9gag.com will be eligible.
4. This giveaway is not sponsored, endorsed, or administered by Instagram.
5. By entering the giveaway, you release Instagram of every possible responsibility and accept their Terms & Conditions
6. 9GAG and Genshin Impact reserve the right to make the final decision in case of any dispute.",['genshinimpactmemes'],18110,269,,2022-11-29 13:09:09,GraphSidecar
3,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/317709080_201002482339430_7906563378326334460_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=1DuaMfIQrxYAX-FdmWa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCTnfCDj9Gx2rtvb-JaX0_w5I1TuNbgFidZ8EmQMhs8fg&oe=656251DC&_nc_sid=bc0c2c,"Genshin X 9GAG Meme Contest iPhone Giveaway! - Round 2

Make a meme to win an iPhone 14 Pro!

Create your own version of the above meme. Follow the rules below to join and get a chance to win iPhone 14 Pro 128 GB. 👇🏽

Tell us what this meme could be saying by 
1. Leave comment OR upload the meme you created with the hashtag #genshinimpactmemes on Instagram
(Swipe and screenshot the meme template) 
2. Remember to make your IG account public so we can view your submission!
Or You’re welcome to join on 9gag.com as well! 

The winners will be notified by DM and announced in this post within a week after the contest ends.",['genshinimpactmemes'],15754,264,,2022-12-02 14:59:22,GraphSidecar
4,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308395688_662883518284387_8248113043690030711_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=pc9F6vyoWA0AX_k0reE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCmx7g7fthpMDszWZg7EN92SCXDH6JnlMo0j0kAfSs8ZQ&oe=6563284B&_nc_sid=bc0c2c,"< 🎮 GameTaster Game of the Year Award 2022 - Award Nomination 🏆 >

Make your voice heard! 
Tell us what you think about the video games in 2022 by nominating them in the GameTaster Gaming Award!

Comment down below to nominate the most suitable games for the Best Game for Riches!",[],9835,205,,2022-09-25 09:00:30,GraphImage
5,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/317841298_1282117485912943_5540272604312874531_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=0Znwrfov-GwAX-k00w2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBZIYqX03pfLnPlt7lXWzTXsS3YFStgWATH5hxVTY_iUQ&oe=6563B798&_nc_sid=bc0c2c,"🎮 🤑
-
#videogames #gaming #memes","['videogames', 'gaming', 'memes']",9474,31,,2022-12-02 14:00:23,GraphImage
6,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/357459134_6687299628001867_412561515078650871_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=98uvd3__AF8AX9CFTun&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDBuwTA0TAbjtyTnIs_OmduYnIkLb_zxlHGuGpzBXElbw&oe=6563E858&_nc_sid=bc0c2c,"EZ😎
-
#videogames #gaming #memes","['videogames', 'gaming', 'memes']",9368,49,,2023-07-02 14:00:46,GraphImage
7,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/314919452_511081554248089_4679141260798667274_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=GUX8TbmsFMMAX_Qt7nv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDyh1K1WgkQUwUGVr1fw-HyHFTXnyb7V9WstPyvA_c8xA&oe=65628AB5&_nc_sid=bc0c2c,"whats possibly better?
-
#videogames #gaming #memes","['videogames', 'gaming', 'memes']",9301,94,,2022-11-08 14:00:11,GraphImage
8,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/316053582_1173667903249646_315718088462412987_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=pdET-O_Smf0AX-A3I9a&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCECdOhu3F8Gapl2zjkrsl6lJv1JzY7PrA_AVbJSLNMdw&oe=65640700&_nc_sid=bc0c2c,"typical gamer
-
#videogames #gaming #memes","['videogames', 'gaming', 'memes']",9073,49,,2022-11-17 19:11:07,GraphImage
9,gametaster,196220,20,True,True,None,645,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/332277426_1655379718241019_5030857797382431181_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=oQ5KusValiAAX8Iuleh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBIzTqlrmmIB25YE8I5JWn9F0R7JUeRSHdetRswVxbx7g&oe=65640D2A&_nc_sid=bc0c2c,"pro gamer move
-
#videogames #gaming #memes","['videogames', 'gaming', 'memes']",8554,86,,2023-02-20 14:33:30,GraphImage
