,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/313880497_519819486390646_8860263170880250226_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=OF16PjxjwSIAX9D8vBN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBbdnqOLjgNK-nxvg_OquQVEF2Emv10zRar7DK0GbwWCA&oe=65643284&_nc_sid=bc0c2c,"18 years and 125 days dreaming of this moment

Thanks Idol, @cristiano",[],3559527,19191,Donostia - San Sebastián,2022-11-03 20:39:58,GraphSidecar
1,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/363393631_678868376963771_948029102508015247_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Fp0_3qMYO0AAX98vmAR&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE1NjMzMTQ2NTYyMDc3MTk5Mg%3D%3D.2-ccb7-5&oh=00_AfANR-sfPIeK7tb2sAM9DxWQb7ah-urjwxdOwRRr1T2VkQ&oe=6565B1DD&_nc_sid=8b3546,,[],3427674,6483,"Houston, Texas, USA",2023-07-27 18:54:14,GraphSidecar
2,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/354590819_234150592724892_1899970755057112027_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=DAVOOGE_SHAAX-ICqij&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEyODgxMjg3NTY5MTg3MzgxMg%3D%3D.2-ccb7-5&oh=00_AfDVVXZ2Mg7VGQwDtSaBoASwAMMOHx7vZaNSlUV4AVNjkw&oe=65644C95&_nc_sid=8b3546,Nada más lindo que poder vestir esta camiseta.💙🤍,[],3043767,57408,Indonesia Yakarta,2023-06-19 19:39:41,GraphImage
3,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/312841160_196839422810759_8919793980837167268_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=fJVMgBoHHigAX-Z4VlP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBFx5DfKLfwP6aEvgOAdGl8djjfCtxJjJXuw7-xcNNQKA&oe=6564CF87&_nc_sid=bc0c2c,I don't know if it's real or if I'm dreaming,[],2676225,18243,Old Trafford,2022-10-27 22:02:12,GraphImage
4,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/353990234_1283407815636618_4652625177120372336_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=jleFpgz8smoAX8oHG2j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA68ab90YwZFDdkQyZ2gq4wHGsEW5awXutKrIw6KHE9Ww&oe=6564E78E&_nc_sid=bc0c2c,"Y que si esto es un sueño, que jamas me despierten.💙🤍
@afaseleccion",[],2323728,22396,"China, Beijing",2023-06-15 19:19:34,GraphSidecar
5,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/333184398_611150257521606_1317270374751668575_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=h7PPYXo4KDkAX82zaKD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDN1heZACmWR-cDuTh94iqJ0AEM9e4xkkVnxVFM6zFpCQ&oe=656543E1&_nc_sid=bc0c2c,"Carabao Cup Champions!🏆💫

First title in my career!🙏🏽

This is for you, Reds❤️",[],2312860,15779,Wembley Stadium,2023-02-26 21:06:18,GraphSidecar
6,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/355385877_796419948770443_8770058488414259427_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=e5-_Z8U0UGUAX-E83Fv&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEzMTU4NjY5NzY5MDg4OTE3Mg%3D%3D.2-ccb7-5&oh=00_AfCWfbJcPgUf46GqCaj44U_cbeChzODqn_7aBM0S1tm5Lw&oe=65648F0B&_nc_sid=8b3546,,[],2306158,8955,"Ibiza, Spain",2023-06-23 15:30:47,GraphSidecar
7,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/332777892_908220500381044_6361839397370937738_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=RDB71yQPtioAX9iC2wY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCbTO15h5JEFFgWdW-bnL1vPUjUNR57f9NkAe-UTCdlsw&oe=6565CE67&_nc_sid=bc0c2c,Pasa de ronda el equipo grande,[],2052827,98533,Old Trafford,2023-02-23 23:05:14,GraphImage
8,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/385754375_849346269989059_6285093676312473924_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=aw_9ASVETY4AX_Vopc3&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwNjMzODA3OTU4MDExNjM3NQ%3D%3D.2-ccb7-5&oh=00_AfDO0-eueZ6AdLvgPe6dkvOEqHxx-G2dwrfbSERHsIl7KQ&oe=6565ED7B&_nc_sid=8b3546,Enzo Garnacho García 04.10.23 👶🏼🤍,[],2086548,18904,"St Mary's Hospital, Manchester",2023-10-04 18:48:26,GraphSidecar
9,garnacho7,7707794,552,True,True,None,67,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/333745567_1597051197497191_3717469525931289430_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=mGqO_vIGXQwAX-4lvun&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_3Ko9xvAMMfDGxvMiIN6OnDCV4qHKujejIK-ZxDEZqQ&oe=6565E6C4&_nc_sid=bc0c2c,"Next round, Here we go!🤫",[],2058785,27420,"Old Trafford Stadium, Manchester",2023-03-01 22:48:23,GraphSidecar
