,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/359171306_1329962071236076_6565810694509100930_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=104&_nc_ohc=zNiGtqbu8VAAX_plk9x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBjbzvQ-o90h_9TAZqPmyjCkg7eb24YkYIpIuiQm-WZtw&oe=656366E4&_nc_sid=bc0c2c,Gatorade Best Male / Female Players of the Year!! Congratulations to @avajaydee and @maxxclarkk on such an incredible accomplishment! 🏆#GatoradePOYAwards @isaacrochell,['gatoradepoyawards'],755125,183,,2023-07-12 03:57:51,GraphImage
1,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t39.30808-6/361090651_18382734709029455_4916372774247003856_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=1dFKePqisYAAX-rOz0n&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfB4jNtyV91n5nYBsvkmR3oILjhnVZlLmoFofZ6IO0GRlQ&oe=6562D9F0&_nc_sid=bc0c2c,"Miami, meet @leomessi. Not that there’s need for introduction.",[],188732,385,"Miami, Florida",2023-07-16 17:04:23,GraphImage
2,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/305749317_498054211658727_2173557155177794782_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=E76zB4KSdgIAX-vHLjd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBwNiVjPbe62lBGlnkSjzIfomDERQKZVUypIH_HClXFyg&oe=65627AEA&_nc_sid=bc0c2c,There's nothing like those season opener feels! Y'all ready to have some fun? ⚡,[],76648,119,,2022-09-11 15:57:43,GraphImage
3,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/99058987_543640569683317_4281545878002148692_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ypKQRWTL07MAX_veFmB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC_knADOU6XPetVt0Jka3QRVfmIGy5uXg88urgeT4HRSQ&oe=6562B57A&_nc_sid=bc0c2c,Top 3 ways to drink Gatorade - go! 🤔,[],52165,1536,,2020-05-20 00:42:59,GraphImage
4,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/240956851_266140578671282_2171642057590641497_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=zrra7IiEMUQAX9tCXur&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIoCG8oJ1ibjiSP5F0uw0rUllL7QzakJS0bgHhB3py_w&oe=6563E68F&_nc_sid=bc0c2c,Certified Thirst Quenchers,[],50883,763,,2021-08-31 16:54:13,GraphImage
5,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t39.30808-6/376667094_18392839393029455_440933190338476753_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=h-EwXs8HT3AAX8-FP6u&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBtqFzpUcfiGj4ph5RihHRqiXGW1qMFq9_U8Yb2qIYFPw&oe=65636880&_nc_sid=bc0c2c,Meet the full squad. You might have seen ‘em around. ⚡,[],48357,220,,2023-09-08 01:10:53,GraphSidecar
6,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/54512941_2146600065431955_6166632869644315351_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=NdR-kqxtTcEAX_JnAs1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBh1OEaw_lz29rhvWj310WKE2SfWGrJsDgHPRTBU0nrUw&oe=6562909F&_nc_sid=bc0c2c,"Fuel for the best on the floor, when things heat up. What’s your #SchoolFuel?",['schoolfuel'],46875,938,,2019-03-28 20:20:09,GraphSidecar
7,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/275866602_693800448311778_3497573445778503266_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=106&_nc_ohc=_ecuX3YDmFgAX9iEFQU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCQmM2Dfgg1byCvYdqvyQa3eSyMfeWYOtPG9OPpHIgdCg&oe=6562DE9F&_nc_sid=bc0c2c,@kiki.rice couldn’t be beat this year. Literally. 😤An undefeated season with a NPOY trophy to stamp a historic run. Congrats Kiki!🏆,[],45275,68,,2022-03-17 21:40:59,GraphSidecar
8,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/283134371_5236116663150363_4620162119170997357_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=DKOiKmdmasUAX_lBby8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9bwrJDVk_i1vhwkn0fiS1Kjd0wzm4F5iUraTKcqrbwA&oe=656424B4&_nc_sid=bc0c2c,"Asian American and Pacific Islander heritage month is an opportunity to celebrate and learn about amazing histories and cultures. This year, we’re getting to know @tuaman and a little about Samoan culture! Be on the lookout for more as we continue to tap in with Tua ⚡️",[],40097,97,,2022-05-19 16:04:21,GraphImage
9,gatorade,1302609,270,True,True,Grocery & Convenience Stores,586,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/98334951_141907840755051_16503354314918716_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0A8buXU-EXUAX8TbNJ3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB_FzIEgBQ1WoqT53hEBtDr21FQYn6hCWYI8wpnFWVW6w&oe=6562B5A0&_nc_sid=bc0c2c,Who you got?!,[],30722,5242,,2020-05-21 01:07:32,GraphImage
