,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/351117485_638827961610417_6131729809354064498_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JhKUF6j0OZYAX8krEW4&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExODQ0ODEwNTQ4ODU2NjgyNw%3D%3D.2-ccb7-5&oh=00_AfA-aARe0V4sVp56SMI7ZllyuWyUnxtGeTjA54vAiQ8Qpw&oe=6567083A&_nc_sid=8b3546,Bridesmaid duties and that for miss @taliamar 🤍,[],59439,151,,2023-06-05 12:26:45,GraphSidecar
1,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/242307012_288261019396546_8079424774223078934_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=yKnPsJnUJBkAX8TieK4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBY61VpLuX-GMFwqBUL03vTmVN7vYtrIYalmaLnUEaw2g&oe=65685188&_nc_sid=bc0c2c,Comment 🧼 to help me clean my mirror pls,[],57951,268,,2021-09-18 15:43:33,GraphSidecar
2,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/263423676_315810986850571_6083662056907278575_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=nqOre_MX3OQAX_WwMC_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBRXofNlR4b8blagmybQOJFB9l3ggHbktcn7eeYwW3bzA&oe=6568707B&_nc_sid=bc0c2c,Hi Vegas :) say hi back,[],57186,242,,2021-12-03 23:14:58,GraphSidecar
3,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/250334278_593033808706747_9109882166318400697_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=zi7kRYzLcLQAX-j9Z2I&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBTX2-KN9e7JKRh5k2KwBiC15LU750fTSRLsZeZNtfvng&oe=6567864B&_nc_sid=bc0c2c,"BTEC MisaMisa , who shall I put first in my deathnote?",[],53195,297,,2021-10-28 18:56:31,GraphSidecar
4,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/286876463_2849898385317315_1394527968785509311_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=KEO03tKvVH8AX-KsJQH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCoxJ38-mtFyNnkVpMn-DvhkLpukMTUN_ajPPRQpxzOwA&oe=65677920&_nc_sid=bc0c2c,I put all my trust in this top,[],48159,292,,2022-06-09 22:24:52,GraphSidecar
5,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/134527271_744376512846108_136403904558834574_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-sCMNwDeHmIAX8RXUiz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBX9WG9IrPpFhA-jJB0q37cMSax8u_MccBO2d5PvJ7rmA&oe=6568A64F&_nc_sid=bc0c2c,Happy new year ;) what is some of your 2021 goals?,[],45826,565,,2021-01-02 14:57:04,GraphSidecar
6,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/327018520_220494733701373_5796409853056032_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=9s91mjVlk3gAX9haWfM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1xHpK8U_i-YiLm9cR79Q5TVF-PBoUteTMKwj7M3utZQ&oe=65673735&_nc_sid=bc0c2c,The trust I have in these strings…,[],46138,219,"London, United Kingdom",2023-01-25 18:52:56,GraphSidecar
7,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/196682611_1239981033138535_1907947340184275323_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=9ipYT-KNefYAX9JLl0d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBsXFz2Y9wsGve4tJypFt_M4zFTBG6UTzj7M_yMD2wvbg&oe=6566F8B3&_nc_sid=bc0c2c,Would you come on a paint picnic with me? 📸 - @nihaachuu,[],45274,166,,2021-06-05 18:40:50,GraphSidecar
8,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/280583719_576515563675193_7367457812021175061_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=ophUncG2O20AX_e1b_8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFF4yfcfJ39W4QVOIj-oRcE5eFt7xcrjr0xdRjn1ANxQ&oe=65686818&_nc_sid=bc0c2c,I can swim,[],45081,230,,2022-05-11 15:38:29,GraphSidecar
9,geenelly,241362,1729,True,False,N/A,331,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/323683001_827559761680340_3376356144035599738_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=3O2SPb_dP7cAX83r7iy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBW4p9egb14PMoORR0SplX6o48O_SDd-tQRY2gGqxIINw&oe=6567CF94&_nc_sid=bc0c2c,Ft badly tanned gremlin hands,[],44764,172,,2023-01-06 15:53:22,GraphSidecar
