,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/324718188_551829866879805_3170154661106878197_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=dQHNa5I-PXEAX-Bc8Ut&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCjgseTys5AFHMYqec2T-g7BrR0WS4RJ80Bon16fKJ7Lg&oe=6564FFB1&_nc_sid=bc0c2c,"We thank our honourable guests for gracing us with their auspicious presence to become a part of India’s first-ever Formula E race on 11th Feb 🙏 

#Motorsport #Racing #ABBFormulaE #HyderabadEPrix #India #AceNxtGen #AcceleratedbyGreenko #IndiaDrives #netzero","['motorsport', 'racing', 'abbformulae', 'hyderabadeprix', 'india', 'acenxtgen', 'acceleratedbygreenko', 'indiadrives', 'netzero']",37860,21,,2023-01-13 07:31:17,GraphSidecar
1,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/324846498_722866212502092_185057966122034172_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=nuYK4AukYZMAX9f9Sc5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFTMHii85WKrQrigHP0og1-uMWqrwYvxErKi9FTxesFw&oe=65638349&_nc_sid=bc0c2c,"Attended the ""30 Days to Go Countdown” event of the #FormulaE World Championship: 2023 @hyderabad.eprix, in #Mumbai yesterday night. 

Formula-E coming to #Hyderabad and #India for the first time ever, is a testament to the direction of progress our Nation has taken. 

#SustainableMobility is the way to go for a cleaner, greener future and its a moment of pride that #HappeningHyderabad will be hosting this international event on the 11th of February, preceded by the Hyderabad e-mobility week, @evhyderabad","['formulae', 'mumbai', 'hyderabad', 'india', 'sustainablemobility', 'happeninghyderabad']",24035,49,,2023-01-13 10:09:11,GraphSidecar
2,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/329461580_511286547752355_1346696228037092812_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=S9igiPGfahIAX-sjHnN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDKXRsdlE6clRhqjIroWtZOL49ziBCrDqjvnME_cNxb9Q&oe=6564BADF&_nc_sid=bc0c2c,Your first look at the 2023 @greenkogroup #hyderabadeprix track 👀🇮🇳,['hyderabadeprix'],16152,63,,2023-02-09 12:10:17,GraphSidecar
3,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/328854666_892147441906425_9057498420146841838_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Rm-1dIX04e4AX-hz0Aq&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAlkNCuPNNYCBnNLOUbzhlZsgSGwtRq094LSdk_ts4TDQ&oe=6563537F&_nc_sid=bc0c2c,"For the first time ever, we’re heading to India!

IT’S RACE WEEK 🤩🇮🇳

@greenkogroup #HyderabadEPrix #motorsport #motorsports #racing","['hyderabadeprix', 'motorsport', 'motorsports', 'racing']",10938,59,,2023-02-06 09:43:12,GraphImage
4,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/325482903_3360763694180906_3656013925238429764_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=NiBjFP3EwloAX8LHs8x&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBbT1boYWsONnj4FGCpCycpoQkGSjlvPFWqW0YJcHpFKw&oe=65635E24&_nc_sid=bc0c2c,"The Gen3 Era has begun 👊 

The fastest ever #ABBFormulaE car clocking 322kph is going to race in India on 11th Feb 😵 

Don’t come last & book your tickets fast 🚀

#Motorsport #Racing #HyderabadEPrix #India #AceNxtGen #AcceleratedbyGreenko #indiadrives","['abbformulae', 'motorsport', 'racing', 'hyderabadeprix', 'india', 'acenxtgen', 'acceleratedbygreenko', 'indiadrives']",10253,13,,2023-01-15 09:30:06,GraphSidecar
5,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/329751283_697826995219314_4209248260813925221_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=uk8xHHkpF1sAX_y5e4R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDU-clIKvm--_VefDUsbvq3rjZnhNrdMOl3wGL94BWZ9w&oe=656379C2&_nc_sid=bc0c2c,"For the first time ever, we hit the track in India! 🇮🇳 

The cars are out for Shakedown! ⚡️

#motorsport #motorsports #racing #hyderabad #hyderabadeprix","['motorsport', 'motorsports', 'racing', 'hyderabad', 'hyderabadeprix']",9819,34,,2023-02-10 09:55:55,GraphSidecar
6,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/328476742_207255215082779_2771033958049603694_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ZH74HuVAnsMAX-Wl4ko&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAsLSQ3E-vLmR-jnbPvQpimAmm-yKYrKZYm-9UZ1fNbgA&oe=656476EE&_nc_sid=bc0c2c,"🚨 | Last few tickets to the first ever @fiaformulae race in india @greenkohyderabadeprix 😁💥
.
Link in bio🔗
.
#f1 #f1humor #formulaE #hyderabad #hyderabadeprix #formulaerace #mahindra #mahindrathar","['f1', 'f1humor', 'formulae', 'hyderabad', 'hyderabadeprix', 'formulaerace', 'mahindra', 'mahindrathar']",8162,31,Hyderbad,2023-02-01 15:46:16,GraphImage
7,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/328497497_870270424028881_7674979367659868612_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=4NI6Ut6sII8AX-6IGcg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCm8sHrs-x2yn7EpdHF9-h15tBslMHpK_66_wy_M2boKA&oe=656368C1&_nc_sid=bc0c2c,"Cricket 🤝 Formula E

The best of both the worlds 🤩

#GreenkoHyderabadEPrix #HyderabadEPrix #Cricket #FormulaE","['greenkohyderabadeprix', 'hyderabadeprix', 'cricket', 'formulae']",7533,22,,2023-02-11 09:07:08,GraphSidecar
8,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/329785801_757728412093956_8566384933839736449_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ju-yjnUgv1EAX8vb5dW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA5bF0cRPfCqOUmAGNnZVLIkqQ44S8g6mcV8rR5kg3_9g&oe=6564868F&_nc_sid=bc0c2c,"The first ever Greenko #HyderabadEPrix winner 👏

Thank you for giving us a spectacle on the streets of Hyderabad, @jeanericvergne 🫶

#GreenkoHyderabadEPrix #FormulaE","['hyderabadeprix', 'greenkohyderabadeprix', 'formulae']",5755,23,,2023-02-11 11:27:50,GraphSidecar
9,greenkohyderabadeprix,22566,71,True,True,None,348,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/323593109_152377944231844_1943420978238900242_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5Q7lnBtJJ3MAX-0mXrL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAGIM6oNplq5RQFLdAiA6VPfPT9_HeGbI6-y31rVGJ3SA&oe=6564343A&_nc_sid=bc0c2c,"Here are the best seats in the house🔥
Book Now⏳

#Motorsport #Racing #ABBFormulaE #HyderabadEPrix #India #AceNxtGen #AcceleratedbyGreenko #IndiaDrives #TicketsLiveNow","['motorsport', 'racing', 'abbformulae', 'hyderabadeprix', 'india', 'acenxtgen', 'acceleratedbygreenko', 'indiadrives', 'ticketslivenow']",4270,109,Hyderabad,2023-01-04 17:22:44,GraphImage
