,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/377521091_18384888655040436_6932377674664643378_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=cgLFp1IX2WsAX-nJW26&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBIKAFNDQjzIxvwHhg_OudXFkAWU7kzToVKh1OTA4qfgg&oe=656578C9&_nc_sid=bc0c2c,‘Woke Up In Love’ turns 1 year old today. Thanks for all your support on the song it means so much to us!! Should we do another? 😏,[],43870,556,Gozzer Ranch Golf and Lake Club,2023-09-09 16:25:13,GraphSidecar
1,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/331285112_162964999834173_1338297267622480924_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=jHjkfHm3BZoAX-HmKVL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCNgJwtriAx2GiB0yWWAXvruGdt7vYCddP70LvdFqs9fw&oe=6566B6A8&_nc_sid=bc0c2c,"I started off the month in Kauai to take a little break and mentally reset after feeling quite run down from all the touring.  Kauai was one of the most beautiful places I have ever visited, and I felt so inspired to make music again and even shoot a DJ set for you all.  So happy to share this with you, hope you all enjoy it as much as I did making it!",[],26675,555,Kauai,2023-02-17 02:02:03,GraphSidecar
2,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/333543477_245073567910328_159488874298059379_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=_ZSZJ2GZpU8AX9ZLwcW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCNSyuRkX3d6Fc4tI0SI96-P_fBuWS_JeHLHwt5sW1yVg&oe=65672885&_nc_sid=bc0c2c,"So this came in the mail the other day.  Tie me down has gone platinum 💿 🙌 . Grateful would be an understatement.  You can never truly predict how records will perform but this one always felt special when making it.  To see the life that this record has taken on has been one of the greater joys of my career and I’m so thankful for all the love you have given on this song.  None of this would be possible without the incredible performance of elley duhe and writers Sarah Aarons and Jussi.  PS, lots of new music is on the way, can’t wait to show you all the next chapter❤️",[],25959,361,,2023-03-13 00:11:10,GraphSidecar
3,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/387645664_6639456106130029_3318087269507641105_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=uoTTpuG9UAgAX-kA2zR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBFxqOhAcSdTfZUBLvgfICNA0Kmw_TKhMO9P6uyEtoRKQ&oe=656585FE&_nc_sid=bc0c2c,the boys can't stay off the decks even at a wedding...who's wedding we playing next?,[],25867,313,"Aspen, Colorado",2023-10-10 00:21:06,GraphSidecar
4,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/337556795_1426533344751294_2504788660610331151_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=lY-bRLckctIAX_YSu0u&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAYUoIyTiYfWZwVP_VZmF4QLpZFQ1PRM9h1qc0ndx_pWg&oe=6567089B&_nc_sid=bc0c2c,"ULTRAAA THAT WAS INSANE!! Hadn’t played this festival in so many years and was actually very nervous before the set but the energy and vibes y’all gave me was incredible.  Should I upload the full set?? 🤔 

📸: @robflagg 
🎥: @isaiahengle_",[],22524,464,,2023-03-25 18:17:39,GraphSidecar
5,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/355984864_803899484511177_3583220267493872494_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=TyRDQsWukUUAX_GeWKG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDkmezOCbXfBbZicAOsVqi-u0-3QFVQVYvjoh0bOF1-Sg&oe=6566F97D&_nc_sid=bc0c2c,This weekend was incredible. Got to return to so many places I hadn’t been in years.  Thank you all for making it so special 🫶🌲🎆,[],21052,259,Electric Forest,2023-06-26 22:15:28,GraphSidecar
6,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/361139726_1236633820370494_8697626504139378767_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=ns_POIpTBBsAX96SFOI&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSd04wlNT0TxDaRmVEyQIXbHSBhn-6PgvTuvR5_Ela4A&oe=6565E8D8&_nc_sid=bc0c2c,"Seeing friends, breaking rails and crushing candy. Another weekend of great shows in the books 🫶🏼",[],19166,134,,2023-07-18 23:17:12,GraphSidecar
7,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/335695178_221959387065056_5219523662402464292_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=CDGXzJMxCd0AX9McaQV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCAkWz3Ve-3hwOiEhZpW5HS9P0oQOwXWOF8NRkbbv4CqQ&oe=6565C403&_nc_sid=bc0c2c,"The start of a new era

DREAMS 3.17.23.",[],18747,496,,2023-03-14 00:21:41,GraphSidecar
8,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/318149084_471761865063297_2295179537383561548_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=qvsdfjL8Yy4AX9h4l08&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCw-IE3PV6TyVICMGKOw6Lh5E2waZlsopDL3fZThDrGbw&oe=656738DD&_nc_sid=bc0c2c,"Back to Asia for the first time in 3 years and it did not disappoint 

📸: @isaiahengle_",[],18843,310,,2022-12-06 01:29:06,GraphSidecar
9,gryffin,288964,338,True,True,None,177,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/277631937_549840413045923_8294522944299862471_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=1pE29Wnwo4IAX8wznl1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBRRDMem0WD03eVEgEeh0J7E2lsMa1Br9HTLimqKsegzg&oe=6565A778&_nc_sid=bc0c2c,"Wanted to get a fresh look to start off the new era of music ! Also, the “You Were Loved” music video is out now 💥",[],18335,359,,2022-04-01 23:49:09,GraphSidecar
