,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/384589350_285471861011445_9106251195891068913_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=CsKp9AxuY1IAX_rkA-h&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAcTTOeiWEALwX6bsktxyTgKFdBaNaAc30Qn9AJDf2LRw&oe=65656745&_nc_sid=bc0c2c,"Time to fly. 
– Bad Bunny & Kendall Jenner 

Creative Director: Sabato De Sarno 
Artistic Director: Riccardo Zanola 
Photographer: Anthony Seklaoui 

The new Gucci Valigeria campaign features emblematic pieces from the Gucci Savoy collection, defined by the GG monogram and Web. 

#GucciValigeria #BadBunny #KendallJenner","['guccivaligeria', 'badbunny', 'kendalljenner']",1555955,4733,,2023-09-30 16:00:37,GraphImage
1,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/384212537_1704052093341660_1698174373606696044_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=4vh4OlvSxgcAX_9xCrh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB2S_rCJadeKw-vvEdNAEjNCOVIEXdQbLdsG2rTRnzohg&oe=65646849&_nc_sid=bc0c2c,"Gone exploring.

Kendall Jenner for the new Gucci Valigeria campaign featuring the heritage-infused Gucci Savoy collection.

#GucciValigeria #KendallJenner","['guccivaligeria', 'kendalljenner']",1551592,4334,,2023-09-30 19:00:02,GraphImage
2,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/384560398_674638684378863_4060189503602385558_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=5QvVU6n2lUgAX9FIkxy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCgSEcBKDXMxHJ9Cd40L4NbEh5IHN89tGb8Ytvrd_Hj4A&oe=656436AD&_nc_sid=bc0c2c,"Got everything we need. 
– Bad Bunny & Kendall Jenner 

Presenting neon-accented legacy pieces from the Gucci Valigeria travel collection.

#GucciValigeria #BadBunny #KendallJenner","['guccivaligeria', 'badbunny', 'kendalljenner']",823358,2388,,2023-09-30 16:03:13,GraphImage
3,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/384372115_856742002311706_3159536165665595601_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=RP2hcxzVzwUAX-7iVb6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIfTjOx407skYh9IKxkoWyNfCdOxSa-VRAI3vhR3lHmg&oe=65652A76&_nc_sid=bc0c2c,"Memories in the making.

The new Gucci Valigeria campaign with Bad Bunny spotlights emblematic pieces from the Gucci Savoy line.

#GucciValigeria #BadBunny","['guccivaligeria', 'badbunny']",798833,2848,,2023-09-30 19:01:07,GraphImage
4,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/397369245_1523574231786763_3423213729768568212_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Tz_rq0aTa4QAX86cxZJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCsOJAtk33TRx_MxY3vaPD9QxAKx28IUFPv49SOB3BlcQ&oe=6564B45C&_nc_sid=bc0c2c,"Inspired by tomorrow. 

Billie Eilish stars in a new campaign for the House envisioned by Sabato De Sarno. 

#BillieEilish",['billieeilish'],497331,877,,2023-10-31 14:00:53,GraphSidecar
5,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/396951129_274117808383953_6852994117944739473_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3FOFITJEZWUAX-PnNvK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD3hS2JltaByXnBcnoDECAYCeaZ61fphHRuM7Jiqc2nGw&oe=6564DEDF&_nc_sid=bc0c2c,"GG + Billie. 

Billie Eilish for the new campaign spotlighting the Horsebit 1955 asymmetrical bag in Demetra—Gucci’s innovative animal-free material crafted in-house with 75% plant-derived raw material sources. 

#BilleEilish #GucciHorsebit1955","['billeeilish', 'guccihorsebit1955']",383122,748,,2023-10-30 16:01:46,GraphSidecar
6,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/397214459_317259527777689_3094861794801514011_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mo3uzt4E9WAAX9ii6z2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD3qMVNZNcq10hUayPhm_kGv7mev6cvU6EkoNp3ViNv6g&oe=6565B0CD&_nc_sid=bc0c2c,"Towards the future. 

A new campaign starring Billie Eilish showcases the House’s first handbag crafted in Demetra, Gucci’s innovative animal-free material made in-house with 75% plant-derived raw material sources. 

#BillieEilish #GucciHorsebit1955","['billieeilish', 'guccihorsebit1955']",236279,330,,2023-10-31 14:00:13,GraphSidecar
7,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/381203773_1092049565541915_4850301012934924544_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3bA4TQL7pYkAX-_5K5s&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCy26-4zKzGMwuI3_bexMO_0HByer4jueKK36kBYmlMaA&oe=65660672&_nc_sid=bc0c2c,"A story of spontaneity, of a party at the first light of day.

#GucciAncora #GucciSS24","['gucciancora', 'gucciss24']",224187,994,,2023-09-23 18:54:38,GraphSidecar
8,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/395137914_216009918043011_7762893762065159552_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=vlrUXgw1Ug4AX_tPENf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCwuWgLuM-uYG-ttDw0RP9obHdTy-BUE7GDrNQd8qb4Dw&oe=6565E1BB&_nc_sid=bc0c2c,"Mastering an icon.

Global Brand Ambassador Xiao Zhan wears the heritage-infused Horsebit loafer, a Gucci icon since 1953.

#GucciHorsebit1953 #XiaoZhan","['guccihorsebit1953', 'xiaozhan']",215048,6951,,2023-10-23 08:13:14,GraphImage
9,gucci,52694385,6,True,True,Home Services,80,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/381308479_1291013261615683_4712758740148548623_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=BT0_d6cj1XQAX9TYeU_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfATjlJF1AaromjkYlEoU5b6q1Vq654YZ2GXjXSaO49L5g&oe=6564DE5F&_nc_sid=bc0c2c,"A story of passion. Rosso Ancora is the start.

#GucciAncora #GucciSS24","['gucciancora', 'gucciss24']",189674,643,,2023-09-23 23:00:00,GraphSidecar
