,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/37589443_244231623076089_4950293272879693824_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=1Q-xEQiq0z4AX90AP61&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBXLZNIN0avJSqILcE9AsFb65taCNxI2o0RifvOgnL56w&oe=656B0446&_nc_sid=bc0c2c,"[Win a meal for 2] Something's brewing at @thetiramisuhero and it's delectably infused with smooth, creamy Guinness! -----------------------------------------------------------
Make a guess at 2 new dishes coming soon to @thetiramisuhero and win a Guinness-infused meal with your best buddy! To enter:
1. Comment on this post with your best guess
2. Tag your best buddy
3. Follow us at @guinness.sg & @thetiramisuhero

Hint ☝🏻 It could be a cheesy main course and a chocolatey dessert! -----------------------------------------------------------
This contest ends 9 August 2018. 3 winners will be selected by 10 August 2018. T&Cs apply.",[],1018,62,,2018-08-06 10:59:34,GraphSidecar
1,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/37961221_260634311422955_1649584380185673728_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=fdVZopfnGlAAX_DkDBE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCXP7ZTpbDh0lxI1Pjy97zatuG1u1UuCKUhGGQyX1wwIw&oe=656AD3A3&_nc_sid=bc0c2c,"Is that a moon? Look again!
.
.
This Mid-Autumn Festival, we are going to light up your celebrations with a Limited Edition treat. Watch this space and we promise you'll enjoy a flavourful reunion like no other.
.

WIN a set of our limited edition treat and Guinness products by telling us what you love most about Mid-Autumn Festival. Terms and conditions apply.  #GuinnessSG #Guinness #stout","['guinnesssg', 'guinness', 'stout']",757,40,,2018-08-10 12:00:21,GraphSidecar
2,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/244745474_564549977989784_661105586611751237_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=eUPgTv46dbEAX_mrvLD&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY3OTg5MjE3Njc4MzUwNjg5MQ%3D%3D.2-ccb7-5&oh=00_AfCA0FlyoRr28F2xNBJgZ_MtV9UOYbts9k2wmwKp52uL0A&oe=656ADFF3&_nc_sid=fc8dfb,"Whether you’re in the pub or back home, we’re just happy to have you. Tag a mate to remind them it’s Guinness Time.",[],174,147,,2021-10-08 10:14:24,GraphImage
3,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/105552835_269506991139844_7656118748156398730_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=4cA6Fe_-MXwAX_KzkOT&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjMzOTk4OTI2OTUzMDg4MTkzNw%3D%3D.2-ccb7-5&oh=00_AfAT6SvNW5QRMOGuR8cP0DiY9DFDFruWAyXQxMe0y8cJWQ&oe=656BD1A1&_nc_sid=fc8dfb,"Our Guinness Draught cans are full of the same creamy flavour you know and love, just waiting to be enjoyed at home. Cheers to the weekend!",[],223,7,,2020-06-26 10:48:00,GraphImage
4,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/91236386_208159803804614_2234915513978221178_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=xqeCkAqSfhgAX8csV_w&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI3Mzc3NzQxMzE2Njc1MzE4Mg%3D%3D.2-ccb7-5&oh=00_AfCDpI9KziHj_dL10p7rnhSJj2icZT8VTIXbgPQSfsCUdQ&oe=656C2D4B&_nc_sid=fc8dfb,"You may have seen this Guinness Poster that wasn’t a Guinness Poster? Well, we love it. Thanks to @redballoonluke and the @oneminutebriefs community for helping us share this important message.",[],222,1,,2020-03-27 02:16:51,GraphImage
5,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/117110052_655536668641142_4300256763185129982_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=rJU4sm0ezD0AX9K7aYT&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM3MDM5NTg2NDU4NDQ2NTM2OQ%3D%3D.2-ccb7-5&oh=00_AfAkQgeclwxFiraa6BmMbbh4acmnFGh1aMURqA7poRnOLA&oe=656B7F5D&_nc_sid=fc8dfb,"Here's a toast to the nation that is Made of More. Happy National Day, Singapore! 🇸🇬

 
#MadeOfMore #NationalDay #GuinnessSG #Guinness #Cheers # #SG55","['madeofmore', 'nationalday', 'guinnesssg', 'guinness', 'cheers', 'sg55']",172,2,,2020-08-07 09:40:28,GraphImage
6,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/69329027_445085022884567_4844825004284794875_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=BOtvAVceKnQAX-ZsH3J&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjEzNjc5OTc5MjU4NDMwNzc3Ng%3D%3D.2-ccb7-5&oh=00_AfCJ-VQCu-AflGajYQ7_w4-U4jNuCWkBDP-rTUbV7OWYcw&oe=656BC69E&_nc_sid=fc8dfb,It’s International Peace Day! Tag someone you need to make peace with. And may we suggest smoothing those friendships over with a cold pint of Guinness? #CheersGuinness #keepitrealSG,"['cheersguinness', 'keepitrealsg']",125,14,,2019-09-20 02:26:46,GraphImage
7,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/306157310_640502370724692_3296222726908261464_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=oev3Uf7vVjQAX9n32rc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkyNDE1OTE5NTk5OTI0MDA1Ng%3D%3D.2-ccb7-5&oh=00_AfAx09EuR3olDPC3ERyudYEXzJGcDKNaZrp8BuF05Q8xMQ&oe=656BF6FE&_nc_sid=fc8dfb,A full moon calls for a full pint. Happy Mid-Autumn Festival!,[],134,1,,2022-09-10 10:49:22,GraphImage
8,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/330166858_172985505488841_1859039884482353129_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=LCgX7qHdifcAX9aN62C&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA1MDI4MDQ4Njk3MjQxMDg4NQ%3D%3D.2-ccb7-5&oh=00_AfD-KOR3EXs4aGPr1YhMp8t-SYYUzpQD1pMLluwgiJIZnw&oe=656B640C&_nc_sid=fc8dfb,"From 18-19 March, join us at Circular Road for an epic celebration of all things green, black and fun!

Click link in bio for more info.",[],115,1,,2023-03-03 11:09:51,GraphImage
9,guinness.sg,5425,0,True,True,None,250,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/52109980_416905649052523_7222687873479762967_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42MDB4NjAwLnNkciJ9&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=i_aS495ywowAX9aap4y&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk3ODA2MjcyMDc3MTMzMjcyMw%3D%3D.2-ccb7-5&oh=00_AfA6Ot23Se56v1dBtAJvNorRDfmGVaKqYMGa6I3X1kVEuQ&oe=656BD07A&_nc_sid=fc8dfb,Who's to stop you from giving yourself the best Valentine's gift? Get a Guinness Draught 5+1 pack delivered right to your doorstep by clicking on the link in our bio!,[],116,0,,2019-02-13 02:04:33,GraphImage
