,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/273994911_743425796622757_9030414125550592424_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=qkEbP6KFb5sAX92dZA2&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNr3sKMJkOn0sqYAePdldUt7D7c2UhjQoWBEGNjVtirQ&oe=6566EEDB&_nc_sid=bc0c2c,beach day ☀️,[],127384,182,,2022-02-14 23:24:29,GraphSidecar
1,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/200659697_297482972084108_1528021383381753450_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=_NuO_6odIFgAX8uLWL3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCoJHpsHRQsRQMzFyEBe2VIYceIDShNXlr_26ioJuA_zg&oe=6567CC3C&_nc_sid=bc0c2c,minecraft streamer goes outside?🌹,[],122301,1803,,2021-06-15 18:25:07,GraphSidecar
2,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/234727469_531091384865913_1113456659464952239_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wwTN4jSoKlUAX8sRQD-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfARRLDjq_cedfKnIcOZAZhXZwvtQIMgW35EKvTM0r230g&oe=6568CB79&_nc_sid=bc0c2c,"I'm LIVE on Twitch with The Sims 4 Cottage Living! 🌻

Raise & befriend animals, live off the land, & embrace the cottagecore fantasy in this new Expansion Pack! Link in bio! 🌱🐄 #Sims4CottageLiving #ad","['sims4cottageliving', 'ad']",116360,805,,2021-08-08 22:05:00,GraphSidecar
3,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/275658663_989919251926578_1867522203897152761_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=AJfywa8sNSkAX-MIgd5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDsxqrtfvnfqY2cyK8jsnRFbtTKermbYgelB5KNP7EoKw&oe=6568C375&_nc_sid=bc0c2c,streamer awards 🌹,[],116294,630,"Los Angeles, California",2022-03-13 18:42:09,GraphSidecar
4,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/220053871_1027227278015852_7337503127884407372_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=mmmHhk_EPSAAX9e9_mA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC_zWC5GBsiLDRty_vh3fYSuFDtL7IPjg5pP4C7D5vNkw&oe=65680B00&_nc_sid=bc0c2c,went to nyc and look what i found 💜,[],111924,658,,2021-07-20 19:13:29,GraphSidecar
5,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/299124274_496900445777128_8918719024765651067_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=VeaeCndwmHAAX_lgHY3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA78DI9zdzWnERn775bfV3aEAkeNij6iFI_D3TrWLeO0w&oe=6567F759&_nc_sid=bc0c2c,streamers went outside,[],104212,171,,2022-08-14 23:18:25,GraphSidecar
6,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/252790069_947121069233037_3834446665802613059_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=gtB34rMCRt4AX_xywP1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAlQdqkLJZrjj2pDRjVAXrRthnLbEZWNEyF6L2JQIzLtg&oe=656702B0&_nc_sid=bc0c2c,the gangs all here 💜,[],99862,178,"Las Vegas, Nevada",2021-11-06 00:44:43,GraphSidecar
7,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/335603967_6185943644760143_5286362948851104081_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=i_M7xZccgrgAX_qY9V4&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1ODg4MjA1MDA4NjYyOTc1Nw%3D%3D.2-ccb7-5&oh=00_AfBRMXaBSK9ZmVS0rNiC8RKY97OMbkw8CdsdZonFJbehRw&oe=65677E6C&_nc_sid=8b3546,family photo ❤️🫶,[],97163,251,,2023-03-15 07:59:38,GraphSidecar
8,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/242346766_1070051277067886_1654822828847294173_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=J3Bgn5LEFMwAX-vKDH1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDIDVWkeKEeXbGP-gXC0cwSXLo9RmOBFeweV20coOwbFw&oe=656705EE&_nc_sid=bc0c2c,the hannah rose selfies make a return,[],92995,654,,2021-09-21 16:39:41,GraphSidecar
9,hannahxxrose,414741,287,True,False,N/A,42,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/237329903_366444451726199_5554899946766103910_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=QQ4JvHnjUrYAX_c4EZx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0yGHxTZv9wL9JimPardkNC3Awx0il9ghnfZcZQrd81w&oe=65685A2A&_nc_sid=bc0c2c,Excited to announce I’m officially partnered with @gfuelenergy 💗 #Ad - Use code “HANNAH” for 10% off your next order!,['ad'],92785,412,,2021-08-17 00:05:20,GraphSidecar
