,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/363497736_238497862423271_1428146573092981520_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=YqGZkZYts9IAX92xfX0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE1Njk3OTUyMzc3MzAyNDQ4OA%3D%3D.2-ccb7-5&oh=00_AfC5hSent_XEVaW_tjMIGwuMUnKm0G5q0v1xhSOgXz_jGw&oe=6567986F&_nc_sid=fc8dfb,"Chucky is back for a new gorefest! This time, he’s hijacked his own haunted house with all kinds of bloody hijinks. Try to survive his ultimate kill count. #HHN",['hhn'],70414,606,,2023-07-28 16:21:47,GraphImage
1,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/238893772_668467957734237_1557879715409403082_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=EdDJ-nm65EEAX-QUddR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB6wXdZ3wgDa0AAdJFXYfVJ5SgoUOTsDv1J1O-EHRxtig&oe=65642B9E&_nc_sid=bc0c2c,"MAZE REVEALED: Evil has returned to #UniversalHHN. Michael Myers is back and this time there’s no stopping him.
 
ALL tickets are on sale NOW (link in bio)!",['universalhhn'],66587,1498,Halloween Horror Nights - Hollywood,2021-08-17 18:45:06,GraphSidecar
2,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/72855841_429193641312351_6627466574212567871_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2dakZbZwaxsAX_e8tD4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCo2kyH3URis__rB9IPMrPZWxpvK9nBqEpu5QrjaK5Xcg&oe=65679885&_nc_sid=bc0c2c,All the good girls go to... HHN. Billie Eilish stopped by this weekend and fit right in with our “bad guys.”,[],57312,452,Universal Studios Hollywood,2019-10-28 21:03:25,GraphSidecar
3,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/324636891_1348914522605983_1594854895169600417_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDM5eDgwOC5zZHIifQ&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=hb6ZOi-yokYAX8NIrmo&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAxMzU2MzYwODc0MzE2NzI5OA%3D%3D.2-ccb7-5&oh=00_AfCkS_WNX69XRotljplp1NZSRPNTb0H_nCFlcO1z8Gikew&oe=65671975&_nc_sid=fc8dfb,"JUST ANNOUNCED: we're bringing an entirely new year-round horror experience to you, Las Vegas. 😈",[],55310,1032,AREA15,2023-01-11 19:20:03,GraphImage
4,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/221149786_1483103005366819_8176186621085783424_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=XLdTv1V1YIEAX_ljfJ0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBKuigy-1cxfwzr5SZwaxnFqN_no71qEPNHDC0a3AUnwA&oe=65642243&_nc_sid=bc0c2c,"MAZE REVEALED: The film that fueled your worst nightmares has returned to #UniversalHHN. The Exorcist is back, but this time the demon knows you’re coming.

TICKETS ON SALE NOW! Visit the link in our bio to get yours today.",['universalhhn'],53376,1803,Universal Studios Hollywood,2021-07-22 18:49:37,GraphSidecar
5,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/238541029_179455260812909_8468204218022843286_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=TyFwZDCazagAX-fA2If&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDtSQB7FsS4LEQohy3dlJEjNwUgela5RsMaQLdLiMnOxQ&oe=6564279F&_nc_sid=bc0c2c,"The Terror Tram is back with The Ultimate Purge. So climb aboard at your own risk. Because once you get off the tram it’s no rules. No laws. No escape.
 
ALL tickets on sale NOW (link in bio)!",[],52363,1055,Halloween Horror Nights - Hollywood,2021-08-17 19:05:54,GraphSidecar
6,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/387669520_281356008194862_2369670101125531813_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=4HNmY5ym1dIAX_g39zy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLueOyzexf2MrJSUF5w2cI47HwetQk4BkCJz-BaCfRVA&oe=656698D0&_nc_sid=bc0c2c,swipe to make @pascalispunk scream,[],51391,339,Halloween Horror Nights - Hollywood,2023-10-10 15:57:25,GraphSidecar
7,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t39.30808-6/375988299_18290954497192143_447435204362335421_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Z2uwyUUb1F4AX-GzxvN&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzE4NzUzMDA4MTQ5Mjc2MjMzMg%3D%3D.2-ccb7-5&oh=00_AfAo7V7xf4zelzsRhb21sPL961k0z2xG6OdcL5u1I6COZw&oe=656669DE&_nc_sid=fc8dfb,ask ur mom if u can come over to my house 🏚️🔪 visit me at @horrornights and @horrornightsorl,[],51345,259,,2023-09-08 20:00:18,GraphImage
8,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/304933691_567604788452637_5272714312487510392_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6by0qCgf3gEAX-M89Eb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfClFCBy9VJPDj3yZTEnTWNh2DaGr7bQKkgPR_rC8t7KFQ&oe=65672614&_nc_sid=bc0c2c,"#UniversalHHN Sneak Peek: #DiaDeLosMuertos Light Up Sugar Skull Popcorn Bucket!

Available in the park starting today at Palace Café, Studio Café, Lower Lot Cart, Red Popcorn Cart, and the Plaza Cart 🖤","['universalhhn', 'diadelosmuertos']",49365,547,Universal CityWalk Hollywood,2022-09-01 20:21:43,GraphImage
9,horrornights,499729,20,True,True,Entities,824,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/354183941_280871107727614_467093521855947962_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=KW3SMhufq68AX9sxnrR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB0dZJuRhn5xY71nglUDv7fpVATCHCBQKK0cwib7L3CJA&oe=65680C0C&_nc_sid=bc0c2c,@naughty_dog_inc's engrossing video game brought to life. #HHN #UniversalHHN,"['hhn', 'universalhhn']",45521,378,,2023-06-15 21:28:09,GraphImage
