,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/400421869_805285728020018_1724767996133678385_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ZKy0Cb24huEAX_KrU1O&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzMzA0MDI3NjMwNTE3NjY0MA%3D%3D.2-ccb7-5&oh=00_AfAqmEbF5bUctjDgZL819UvgcKuDmYDk59GEoe0kmeYGbw&oe=656BE539&_nc_sid=8b3546,"If you know me at all you know this collaboration is something very deeply special and important to me. I used to sit down at the table with my guitar and just try to capture a fraction of the emotion and beauty that hozier encapsulates in each song he writes. It never quite worked, but each song was better for trying. To have one of my heroes performing this song with me is something I’ll tell my grandkids, or at least my next dog. Northern Attitude (with Hozier) is out now.",[],466965,1048,,2023-11-10 15:00:56,GraphSidecar
1,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/332548745_212177891298601_8395611997822190408_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=DDFHyY16BEoAX8-Bkrg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA0NDAyNDEzNTMxNTU0Mjg4Mg%3D%3D.2-ccb7-5&oh=00_AfDY1bZ88FTE6_QRb3X4ZlFFNFcfSoMnYxRRAy4K9EFW5g&oe=656B04D5&_nc_sid=fc8dfb,ALL THINGS END 🖤,[],394665,4709,,2023-02-22 19:59:36,GraphImage
2,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/367765052_322919546796500_3852560648973659641_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3NTMuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=G4HxXJNRDOsAX_lu-tC&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzE3MTk5NDU5OTY1OTk2NjE4MQ%3D%3D.2-ccb7-5&oh=00_AfDK1nm61WJibLk_jZ49dENbZsbY5wMpo-RtCs5Q9f3crA&oe=656A58EA&_nc_sid=fc8dfb,"It's with no small amount of pleasure and pride that I get to share my third album #UnrealUnearth with you today. 

This album represents a reflection on the journey through the last few years, and all that was reckoned with in that time. I'm proud of the work and look forward to taking all that I've gained in its making into projects to come.

Thank you for all your incredible support for my music and for me as an artist. I can’t wait to see some of you at shows soon and to play this music live! I feel incredibly lucky to have your support! 

🖤 (Link in bio)

📸 @hellojuliajohnson",['unrealunearth'],374312,1978,,2023-08-18 09:34:04,GraphImage
3,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/347077060_242486035032612_2690299724312034485_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Yf3PvzbOEl8AX8s8NPN&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzEwNDc1NDUyNDc4NTUwMjg3NQ%3D%3D.2-ccb7-5&oh=00_AfCfEcxhS_f_WqMMyvMHFo_VO5Axog2Rfk_hlJ_GVyOA2Q&oe=656BF02C&_nc_sid=fc8dfb,"After a journey of some years, my new album #UnrealUnearth will find its way to you on August 18th.

I'm proud of this record and enjoyed watching it come to life over the past year. Thank you as always for your support and patience while it was coming to fruition, it’s my great pleasure to share with you the release date at long last. 

🖤 (Link in bio)

📸 @hellojuliajohnson",['unrealunearth'],365585,4049,,2023-05-17 15:00:02,GraphImage
4,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/336326328_1892981174409647_4864773377945509144_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=kG0TeLJ9xiAAX8pCyhH&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCtt4oBcNHe72Bg9z9Xl8pjmNfCpVj_afA6JaoUof1RIg&oe=656B4BE9&_nc_sid=bc0c2c,"The Eat Your Young EP is out today and marks my first release of 2023, with a number of songs to drop over the coming months followed by the full album Unreal Unearth in late summer.

It’s always a gift to be able to release new music into the world and an added joy to do so on a Birthday. I’m thrilled to have announced tour dates for this fall and to share these songs, which offer a sample of more to come. 

🖤 (link in bio)",[],352924,4247,,2023-03-17 11:00:20,GraphSidecar
5,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/245177639_172671065037630_2109433934253047200_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=EYmishtlTkwAX_efEfD&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY4Mzc3NDU3NDY4MjcxNjcwOA%3D%3D.2-ccb7-5&oh=00_AfAaHnWQikzqSZPyGL4J0-E5G694002XoZrxEgh0ID-S6Q&oe=656C397B&_nc_sid=fc8dfb,Working on something cool right now and can’t wait to share. 📸 @christiantierney,[],345612,5386,,2021-10-13 18:48:02,GraphImage
6,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/382270105_1031093441257844_3979555037566374037_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=c7aPj0FXgWgAX9xNlWv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA94DS2jyc2c_lcGLD5jwAEM3l-x_d-dz2hp99SRVFebA&oe=656B5D49&_nc_sid=bc0c2c,"No words for how fun this was. Thank you @xboygeniusx, what a beautiful show! 

📸 @saladjockey",[],345369,1000,MGM Music Hall at Fenway,2023-09-26 19:22:36,GraphSidecar
7,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/347228096_3588017074857365_8449062541614675737_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=VSBKwcDR5qUAX8P8qgD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDEgEFGoqTAjmfQ5xG08XPgKYgcci4CoDJt-oJyenrF1A&oe=656B9A27&_nc_sid=bc0c2c,"Unearthing some news tomorrow.. 🖤#UnrealUnearth

📸 @hellojuliajohnson",['unrealunearth'],336107,1946,,2023-05-16 17:00:00,GraphSidecar
8,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/332380562_219436570547045_8019906808138156417_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=PGOwGtid4AQAX835DhB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDfNhTI7ZqgVzIMNMGyHiiXCnPIBZny0o3nvErMZmaVPg&oe=656C5048&_nc_sid=bc0c2c,"EAT YOUR YOUNG 🖤 

March 17th | (pre-save link in bio)

1. Eat Your Young 
2. All Things End
3. Through Me (The Flood)",[],326490,3217,,2023-02-23 19:00:29,GraphImage
9,hozier,2529698,404,True,True,,838,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/310588232_187013433738196_501311813471009541_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=EoMSxx0zcPoAX9s3GG0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC4as88YlMJCNYymzxDuPQ4W2Zg4qUieTZaGogiYIB_6Q&oe=656BC34B&_nc_sid=bc0c2c,"Swan Upon Leda 
October 7, 2022",[],265795,52555,,2022-10-03 21:39:57,GraphSidecar
