,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/74573208_580321299398574_9178694291386436284_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=Ke7VdhqLIcMAX8cYhaC&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE5NTgwMDAyNTY3MjQ5NDkwOQ%3D%3D.2-ccb7-5&oh=00_AfBZVhojfGm5y9w4VyI-ra1d87LSROUf1ZVW7lI0MGhDaQ&oe=65657052&_nc_sid=fc8dfb,"GIVEAWAY ! Iceland Review.
We are happy to announce that we are giving away FOUR 1-year subscriptions to our Instagram friends. 
Iceland Review is the longest running magazine presenting Iceland, in continuous print since 1963. Check out our website for more information.
We ship WORLDWIDE so this giveaway is open to everyone! 
_______
HOW TO ENTER:
1. Follow our Instagram page.
2. Like this post.
3. Tag a Iceland-loving friend in a comment. (You and your friend could each win a subscription). _______
This giveaway is in no way endorsed or sponsored by Instagram.
Contest closes at 13:00 (1pm)(GMT) on the 16th of December and winners will be announced on the same day. 
_______
Winners will be contacted for further information regarding delivery (no shipping cost).",[],515,318,"Reykjavík, Iceland",2019-12-10 12:09:42,GraphImage
1,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/169625306_4232173486827091_8887752315503041161_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45Mjl4OTI5LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=klqT8j9w3WAAX9Fg_8N&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU0NTk5NDA1NTI2ODA3MDA3MQ%3D%3D.2-ccb7-5&oh=00_AfCv6ZkEX5_p6VGqQ_KPB4EGfY6SQciZkMx6tn1Xv4Dxfw&oe=6565F0F9&_nc_sid=fc8dfb,"The eruption on the Reykjanes peninsula is close enough to the Reykjavík that on a sclear night, the glare from the red-hot lava flowing from the earth's mantle is visible from the city centre.

#icelandreview #reykjaneseruption #lava #reykjavik #volcano #volcaniceruption 

📸 @gollmundur","['icelandreview', 'reykjaneseruption', 'lava', 'reykjavik', 'volcano', 'volcaniceruption']",493,10,"Reykjavík, Iceland",2021-04-06 16:22:44,GraphImage
2,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/89748779_240285420474420_2445080911010984392_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MTh4NzE4LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=wp92bZG1wHsAX9VU0VS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI2NjA5ODI4NDc4MTE2MTE1Nw%3D%3D.2-ccb7-5&oh=00_AfBaapJkveYnVtOu0RRuU5mdaS-0bT-4L-SckBhcXGfCWQ&oe=656689EE&_nc_sid=fc8dfb,"A lonely horse on a beautiful winter day. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#IcelandReview #Magazine #since1963 #Iceland #horsesoficeland #stayandwander #horses #mystopover #icelandair #visualsoflife #minimalmood #createcommune #exploretocreate #inspiredbyiceland #icelandscape #islandia #island #winteriniceland #icelandtrip #malmey #icelandichorses","['icelandreview', 'magazine', 'since1963', 'iceland', 'horsesoficeland', 'stayandwander', 'horses', 'mystopover', 'icelandair', 'visualsoflife', 'minimalmood', 'createcommune', 'exploretocreate', 'inspiredbyiceland', 'icelandscape', 'islandia', 'island', 'winteriniceland', 'icelandtrip', 'malmey', 'icelandichorses']",419,2,Iceland,2020-03-16 11:59:48,GraphImage
3,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/84155848_206014260587446_5915565347201667166_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=GcVAa8SBGI8AX8ZW-e-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI0Mzc0MzI3MjI0NzkxMDkxNQ%3D%3D.2-ccb7-5&oh=00_AfAZNqPwMVvl8V8Y_Qbj6ubYuCBwLob2dY9nOkdKERNIIw&oe=65671E36&_nc_sid=fc8dfb,"Extreme weather conditions have caused floods and property damage on the Southern peninsula. The rescue teams really deserve our praise for their heroic efforts in these tough situations.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#IcelandReview #Magazine #Since1963 #Iceland #Islandia #stormalert #storminiceland #WinterinIceland #Winterishere #floods #stuckiniceland #bigwaves #storm","['icelandreview', 'magazine', 'since1963', 'iceland', 'islandia', 'stormalert', 'storminiceland', 'winteriniceland', 'winterishere', 'floods', 'stuckiniceland', 'bigwaves', 'storm']",396,3,Iceland,2020-02-14 15:44:23,GraphImage
4,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/401539607_895061819044250_2099101219046212366_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=B8HlHlHtToEAX8FDLg9&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzNTg2MzcxNzc1MTMwNTU4Mg%3D%3D.2-ccb7-5&oh=00_AfAQhoVZLBUMnXL6rZYwk8uogUwSDhUj13RmkyYkeVs35g&oe=656744D0&_nc_sid=8b3546,"On Friday, everything changed for Grindavík. After a surge of earthquakes during the day, the town had to be evacuated later that night, as it became clear that the magma dike had extended below the community. The evacuation was historic - the largest of its kind since the 1973 eruption on Heimaey. Now, the whole of Iceland, and most importantly, the citizens of Grindavík, are awaiting nature’s next move.

📸 @gollmundur 

#icelandreview #volcano #iceland #eruption #grindavík #reykjanespeninsula #since1963","['icelandreview', 'volcano', 'iceland', 'eruption', 'grindavík', 'reykjanespeninsula', 'since1963']",320,10,,2023-11-14 12:30:37,GraphSidecar
5,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/326259470_3305550959705924_6329762534429301917_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=3lnGI52NE2cAX9MtBYj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD2e3X6JSpFulkIsHNWg6Uh87tfpvtE_JYlqfAu_pYiQw&oe=6565ADC2&_nc_sid=bc0c2c,"50 years ago today, the earth opened up on Heimaey, the largest and only inhabited island in the Westman islands.⁠
⁠
Homes were destroyed and an entire community was evacuated while firefighters and volunteers fought back the lava with seawater, bulldozers, and pumps. ⁠
⁠
Read more about this historic volcanic eruption at the link in bio. ⠀⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
#icelandreview #since1963 #magazine #inspiredbyiceland #icelandreviewonline #iceland #archive #fromthearchive #westmanislands #heimaey #eldfell #1973","['icelandreview', 'since1963', 'magazine', 'inspiredbyiceland', 'icelandreviewonline', 'iceland', 'archive', 'fromthearchive', 'westmanislands', 'heimaey', 'eldfell', '1973']",325,3,Heimaey,2023-01-23 14:35:52,GraphSidecar
6,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/89385354_118884023038807_4983376167622571206_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MTh4NzE4LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=pxejO_L2suQAX-qAP3c&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjI2MTAyMzU5MjIxOTIxNzAyOQ%3D%3D.2-ccb7-5&oh=00_AfCdJRtbPDnIhDgA2O2-9J6s9JV34JxJCkFHZCKUypVFyw&oe=65662562&_nc_sid=fc8dfb,"The Icelandic horse is one of the most colourful breeds in the world!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#IcelandReview #Magazine #Since1963 #Iceland #Islandia #horsesoficeland #Northiceland #horses #WinterinIceland #animalsiniceland #icelandichorses #theicelandichorse #inspiredbyiceland #icelandair","['icelandreview', 'magazine', 'since1963', 'iceland', 'islandia', 'horsesoficeland', 'northiceland', 'horses', 'winteriniceland', 'animalsiniceland', 'icelandichorses', 'theicelandichorse', 'inspiredbyiceland', 'icelandair']",300,2,Iceland,2020-03-09 11:57:17,GraphImage
7,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/270335059_138624641919789_8246460309938517496_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=v0EIhCE_1ncAX-2YWEP&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjc0MTE4OTAxNTcxODE4NTAzNA%3D%3D.2-ccb7-5&oh=00_AfDjAeVto1xY3-EPQiq394oxZKrA2BCujMIrK4nf60wlNA&oe=6566D435&_nc_sid=fc8dfb,"Happy New Year to all of our readers from the Iceland Review team. We look forward to bringing you more on Icelandic nature, culture, and community in 2022.⁠
⁠
⁠
⁠
⁠
⁠
📸 @gollmundur⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
#icelandreview #since1963 #magazine #inspiredbyiceland #icelandreviewonline #iceland #happynewyear #fireworks","['icelandreview', 'since1963', 'magazine', 'inspiredbyiceland', 'icelandreviewonline', 'iceland', 'happynewyear', 'fireworks']",292,4,"Reykjavík, Iceland",2022-01-01 00:01:08,GraphImage
8,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/70408358_138111784209828_453609423738333509_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42ODR4Njc1LnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=70PYjwvccMAAX_PiTEe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjE0NTg4MTQ1MzE0ODQ4MzM1NA%3D%3D.2-ccb7-5&oh=00_AfCjTvZ-H6L-DA2A7GxkXYRZjcte8qsa4UUgJH10OKTd4A&oe=6565B1C5&_nc_sid=fc8dfb,"Are you as excited as us for the 5th issue of 2019? It's on its way to subscribers! ⠀⠀⠀⠀⠀⠀⠀⠀⠀
This issue’s cover features a photo of a reindeer herd in the east of Iceland.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#IcelandReview #Magazine #Since1963 #Iceland #reindeer","['icelandreview', 'magazine', 'since1963', 'iceland', 'reindeer']",295,0,Iceland,2019-10-02 15:10:25,GraphImage
9,icelandreview,4021,164,False,True,None,470,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/268099950_1272252686621016_1614734564864298140_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=FEdzxronyvYAX_hn-K7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjcyODUzNTc2MzM4ODAzNDA1OQ%3D%3D.2-ccb7-5&oh=00_AfAtOK6vUyyddXaYa_BJaKPGMtuaRo1QCromBQwBCIIjAQ&oe=65670BE6&_nc_sid=fc8dfb,"The latest issue of Iceland Review is here 🤩! You can get the magazine delivered right to your doorstep by subscribing via the link in bio.⁠
⁠
⁠
⁠
⁠
📸 @gollmundur⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
⁠
⠀⠀⠀⠀⠀⠀⠀⠀⠀⁠
#icelandreview #since1963 #magazine #inspiredbyiceland #icelandreviewonline #iceland #reykjavik #icelandtravel #visiticeland #exploreiceland #wheniniceland #discovericeland #icelandic","['icelandreview', 'since1963', 'magazine', 'inspiredbyiceland', 'icelandreviewonline', 'iceland', 'reykjavik', 'icelandtravel', 'visiticeland', 'exploreiceland', 'wheniniceland', 'discovericeland', 'icelandic']",292,2,,2021-12-14 13:01:29,GraphImage
