,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/333914390_743430404149244_8410903603205614762_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=AOtzy_ykLkYAX9hl_6p&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDgDJod4sgDzG4FZ8GMB5rVmPzPlVAgOVY0xwe_E0lM4Q&oe=65662527&_nc_sid=bc0c2c,"🇮🇳🇮🇹 | Talks between PM @narendramodi and PM @giorgiameloni commence.

Leaders will exchange views on taking the multifaceted bilateral ties forward with mutual commitment to foster growth, widen collaboration in various fields and deepen convergences on regional & global issues.",[],718,26,,2023-03-02 07:16:33,GraphSidecar
1,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/327120373_904344397587586_5706023344607138989_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=AegrHes9BgwAX9-Nqbj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCFqAa0UnlzU56UqICSLBnUoXzZrPMWepZq_2DNeaklrg&oe=6566F250&_nc_sid=bc0c2c,"The 74th Republic Day of India was celebrated at the Embassy with great enthusiasm and patriotic fervour. Amb Dr Neena Malhotra hoisted the tricolour and read out the President's message followed by cultural performances. @meaindia @indiplomacy 
#republicday2023",['republicday2023'],548,8,,2023-01-26 22:09:12,GraphSidecar
2,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/333948746_221294870288631_359115914132316290_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=j8hFUHHqzjEAX9MtvQ5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDdnz9edROxHBlzeB0nLJiggHvJKuitEzd3w0Op8DOKWA&oe=65667A1E&_nc_sid=bc0c2c,"Adding momentum to India-Italy ties!

PM Giorgia Meloni of Italy arrives in New Delhi on a State Visit.  MoS Ministry of Health Dr. Bharati Pravin Pawar welcomed PM Meloni at the airport. 

The visit coincides with 75 years of establishment of our diplomatic relations.

PM Meloni will also be the Chief Guest and Keynote Speaker at #RaisinaDialogue2023.

Repost @meaindia",['raisinadialogue2023'],549,5,,2023-03-02 07:09:53,GraphSidecar
3,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/330274482_3073492179461792_2167804926288995040_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=DVj235QzeSUAX80nAY9&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBBFwK0p7kGTm6GIOgmSI0OADokhCYN1zBRnsJawRKuiQ&oe=6565A65F&_nc_sid=bc0c2c,"The joyous Holi celebration at the Embassy witnessed enthusiastic participation of members of the Diplomatic corps, community, expats & students to experience the vibrant Indian culture. @meaindia @indiplomacy",[],478,11,,2023-03-27 11:10:01,GraphSidecar
4,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/355855425_1280939625877220_2016425412056371773_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=frXN2-ZObLIAX-fvq3X&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEzMDU2Mzk1NTE0NzY0MzczMw%3D%3D.2-ccb7-5&oh=00_AfDBXgaxkoyhJbw9z44czsRnhsprnzTrkw_kCO6K5SYuoA&oe=6565D69A&_nc_sid=8b3546,"🧘‍♀️🌍 Embracing serenity and unity, the Embassy organised breathtaking celebration of #IYD2023 at the iconic Circo Massimo in Rome. An incredible turnout as Yoga transcends borders, connecting us all in body, mind and spirit.  #YogaForAll @MEAIndia @iccr_delhi","['iyd2023', 'yogaforall']",421,12,,2023-06-22 05:38:47,GraphSidecar
5,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/332948802_1196502030990918_581138458803390150_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=pE4UsyF5kloAX8OMYn5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4UNKjtnUIYAeSLMxyrRrC1lrbNddkHDYK2xnssTBJyg&oe=656593DF&_nc_sid=bc0c2c,Ambassador Dr Neena Malhotra was delighted to inaugurate Indian Food Restaurant Sarvanaa Bhawan in Rome. Indian cuisines are reflection of our culture and identity. @indiplomacy,[],417,5,,2023-02-25 19:00:05,GraphSidecar
6,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/366931593_1471214353639973_5361139523074978429_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=gybbzucv8-QAX84QesG&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzE2OTg4NjYyNDEwNzgyODE5OQ%3D%3D.2-ccb7-5&oh=00_AfDE8NPtLxQ1hntOJxhrHjQMyg0FAyYDnLp5JX-CJU-1BQ&oe=656654BF&_nc_sid=8b3546,Proud moment as the Indian tricolor unfurls in Italy! Vibrant glimpses of #HarGharTiranga campaign that show the strong bond of our Indian Diaspora with their roots. Jai Hind. Jai Bharat  @meaindia @iccr_delhi @ministryofculturegoi,['harghartiranga'],398,7,,2023-08-15 11:45:54,GraphSidecar
7,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/387672089_708905130599366_1073969338169401349_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=d8dnqJ-mgZUAX-guiBM&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxMTMxMTM4MTIzNTU4NDc0Ng%3D%3D.2-ccb7-5&oh=00_AfAv_Udhwu5296XcdTyOsqoG4GQxLta3gbvpY6_ix_FHBQ&oe=65661E82&_nc_sid=8b3546,Raksha Mantri Shri Rajnath Singh to visit Italy,[],319,8,,2023-10-11 15:29:30,GraphSidecar
8,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/318004004_1347087052712086_6608377159973212462_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=76M3ET5EZbIAX-_Agws&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCk3Icvo-D-f6Tpgr7H9D_8zNf84re59GiVRVMudRscSA&oe=6565691F&_nc_sid=bc0c2c,Hon'ble Minister of State for Agriculture H. E. Ms. Shobha Karandlaje along with H. E. Ambassador Dr. Neena Malhotra and other Indian delegation members met Hon'ble Minister for Agriculture of Italy H. E. Mr. Francesco Lollobrigida and discussed important bilateral issues on Agriculture. @mipaafsocial @agrigoi,[],318,3,,2022-12-05 16:10:30,GraphSidecar
9,india_in_italy,6885,58,True,True,Government Agencies,275,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/331474566_662187869041835_2430740242204996705_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=9OOrwDlg2X0AX8cIkr7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDuGWj2zxnBoDQVY13mINEuE17iurtGVtDAqrjrZMM0aw&oe=6565627D&_nc_sid=bc0c2c,"Ambassador Dr. Neena Malhotra honoured to host a luncheon in honour of 🇮🇹🇮🇳 Parliamentary Friendship Group chaired by Sen. Giulio Terzi. Sen. Maurizio Gasparri, VP of the Senate, & Dpty Minister of Foreign Affairs E.Cirielli also graciously joined members of the Group @meaindia @indiplomacy",[],286,7,,2023-02-16 09:21:22,GraphSidecar
