,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/298412154_785389372490564_1735104171305604520_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=4g2DtmCjh7wAX9ZTsSt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDLGbinPmwMztFEuYO38Ip9HB4xzorzcOYIvZ1EfErHPA&oe=6566A614&_nc_sid=bc0c2c,jimin! x jimin?,[],592578,8696,,2022-08-08 20:09:21,GraphImage
1,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/278688971_141559275104668_7215950086227843341_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9akmX2E9_X8AX81wqLm&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD5E0n4PjeQ7iOjMu9DjKP7tusBPjP1_jltW7F9WKVqXg&oe=656868F4&_nc_sid=bc0c2c,did i just join the band…,[],333568,2772,,2022-04-19 19:16:10,GraphSidecar
2,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/297653198_1245085559657464_5465016073629458556_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0hRYM65Cj08AX9PSRb0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC5I9mrd4bTr_XIG7Y-cIJHaR_YOpxNKthE3X7rh7uXUw&oe=65672C8C&_nc_sid=bc0c2c,"yesterday i put out a new song… got a dog… tattooed the QR code to “bad decisions” on my face… met some of the ARMY on top a mountain and then ate raising canes… but lets rewind a lil… in 2010 i had the pleasure of working with one of my heroes on a song called “california gurls”… his name is snoop dogg and he is a fuckin legend !!! its like no matter what era or how old u r snoop has touched u… whether its with his music or his infectious personality… he is truly one of the best guys i know… anyways when i saw the video for “blood sweat and tears” i immediately fell in love with BTS.. last year i went to one of their concerts… and i was lucky enough to meet them… that is where my OBSESSION began… ive gotten to work w so many amazing artists and meet so many influential people but for some reason when i was in a room with them i was so nervous… like i was a little kid again… waiting for an autograph… they made me feel young… they made me feel excited… they made me believe… we chase those highs everyday… and they have the ability to give that to so many people… they are some of the kindest most hard working people i have ever gotten to work with… their work ethic is unmatched and seeing them live is something every person reading this needs to do immediately… guys i will try to keep this short… u know u work on something for so long and then its finally out in the world… its like ur baby… and u have no idea what anyone is going to think… but when i woke up seeing all ur messages and support is why we do this… the BTS ARMYs dedication is unlike anything i have ever seen !!! i am honored and humbled to be accepted by u guys !!! i didnt know what i was going to do when i was a kid… i wouldnt say i was lost bc i always knew i wanted to be a musician but i didnt know how to make it a reality… those things didnt happen where im from and the possibility seemed so far away… i just want thank u guys for making my 6 year old selfs dreams come true… i dont know how i can ever repay u… im actually tearing up writing this… love u

also special thanks to @cashmerecat @blakeslatkin @mikeposner none of this happens without u guys !!!",[],261355,5343,,2022-08-06 00:11:04,GraphSidecar
3,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/294853995_1227946557968521_3367913139820462083_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=YeRapWQUupMAX8IAsyW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAhWFyEg50rG8_6KdnbCnhvYaOfja8DqTbpdyhC5eOgmA&oe=65681487&_nc_sid=bc0c2c,"#BadDecisions 💜
8/4 9pm PST
8/5 1pm KST",['baddecisions'],160860,1718,,2022-07-22 15:02:09,GraphSidecar
4,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/297534910_314088784206148_7711721161733488659_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=dd5yffswUPQAX-xi_tr&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVyYiffRcfTFAI1ig3dWjmrdQPDx19VyAbHxDSUaKW7Q&oe=6567CFE8&_nc_sid=bc0c2c,have u ever shown up 28 hours early for a concert? cuz i have… 💜,[],155201,909,,2022-08-05 21:26:33,GraphSidecar
5,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/56692417_679447805800556_523989982040201425_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=IB37YkEZYbIAX8MvSw1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDDIpnb7to6W9GJzJXqpkAftdgIKCyTcLIfht2TX9VpYA&oe=65677696&_nc_sid=bc0c2c,last night i met my idols,[],144370,1897,"The Forum (Inglewood, California)",2019-04-18 22:13:10,GraphImage
6,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/79790832_159877408705481_8009805913644007110_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=XPuD8yu-rxsAX908BU7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCpDgMjpqPhoaETSoF8GvdSslsNYCzgUpkuCIaVwGh9uw&oe=656767AF&_nc_sid=bc0c2c,it was always jokes... i literally can’t even find a picture where u aren’t laughing or in the middle of telling a funny ass story... u were one of the sweetest / purest people i have ever met... ur talent was unmatched by anyone... u literally would just listen to a beat for 2 seconds then go in the booth and record 5 takes and say pick the best song... and then do that over like 10 beats... i would literally run out of beats... u were not a human... u were something else... something special... i’m thankful for the time we spent together... ur friends and family are in my prayers... luv u bro,[],137188,1079,,2019-12-08 18:52:42,GraphImage
7,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/299332514_1133056684228870_1536027972171557542_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=02rew3dObUIAX-mqi4C&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDrulI1A8OebXHoMGvgd27z7mRiWPszCycMEQ8Ns33cQw&oe=6566CD2F&_nc_sid=bc0c2c,i was sitting on the toilet today just thinking about how crazy this week has been… snoop gave me a death row chain… i gave him the worlds smallest bong… hung out with jimin… broke some records… and felt the love and support by the army in a way i couldn’t have ever imagined… from the bottom of my heart i just want to say thank u and i love u… i’ll never get used to the fact that this is my life and that my favorite thing to do in the world is also my job !! 💜,[],129792,2000,,2022-08-16 23:51:15,GraphSidecar
8,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/263475790_628580505238250_1665650860821449215_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=z3NTw8aU4a8AX8tLqol&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDNKF0ap8rF1ejhTOfUT1zatA2QIr6upYDmO9bEPGBSeQ&oe=65677C45&_nc_sid=bc0c2c,benny left his phone unlocked and i’m sexy #hollaatchaboi #hunsofinstagram,"['hollaatchaboi', 'hunsofinstagram']",125707,946,,2021-12-05 05:01:31,GraphImage
9,itsbennyblanco,1007896,1322,True,True,None,216,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/128667790_133348185230379_5588306163312989780_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=6tW8c6vFbiYAX-0FfRW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBPDfvfDoN9FM1rybx-gq1N9b9oSspCuCe8bDl3V3P0ww&oe=6567F1AC&_nc_sid=bc0c2c,my friend played me a song like 2 or 3 years ago... i looked at him and said it was one of the best songs i had ever heard... my friend didnt even know the artists name... said it was juice or something... i searched and searched on instagram until i came across juice’s page... he had 9k followers at the time... i dmed him and said we had to work... he said he was coming to la in a week and we could go in then... i booked us a studio... he didnt even have a record deal... labels were coming to the session all night trying to butter him up and offer him anything he wanted... he didn’t give a fuck... he just wanted to make music... we made like 6 songs the first night... one of them being “roses”... the first song we ever recorded tho was “real shit”... it was the first time i saw his magic... the whole room dropped their jaws and watched him in awe... we knew we were in the room with a man who was going to change music forever... he went in the booth and recorded a song top to bottom in one take... then he did it 3 more times and said pick the best one... and they were all perfect songs... he was an absolute genius to say the least but above all he was one of the kindest and most considerate people i have ever met... he was my friend... happy birthday juice... we miss u...,[],125140,1463,,2020-12-02 05:03:38,GraphSidecar
