,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/80561011_375631943291297_2420487241751431967_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=02TZOZbGJ1IAX-p6Rky&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjIxMjkwMDIzMzcyNTU1NDUxOA%3D%3D.2-ccb7-5&oh=00_AfBz2-ZyWNC5vzYrrm_VtRRAe1-QrndyoCaK909HUDjatA&oe=65653BFE&_nc_sid=8b3546,What an experience. Thank you Dallas and our great fans!,[],35182,171,Cotton Bowl,2020-01-03 02:24:46,GraphSidecar
1,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/321962948_702285521474624_4563934236160725344_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=5bnGZK3bwj8AX_nNen9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAwMjE4NDI4ODEyOTE0NDE4Nw%3D%3D.2-ccb7-5&oh=00_AfAstu_EN-Kcfha_bvSQUPrMaGtkDDFVDPExIU2ZlVcUUw&oe=656442D3&_nc_sid=fc8dfb,Locked this one in over Christmas! Shes stuck with me forever. 😁❤️,[],28666,558,,2022-12-27 02:31:17,GraphImage
2,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/29739773_345126935995460_4463511317457666048_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NTB4NzUwLnNkciJ9&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=koA4v97O8QUAX-5yzzA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTc1MjA0MDI0OTcwOTAzNDUyNg%3D%3D.2-ccb7-5&oh=00_AfBapABC8Ry-Epx-7Nm6CDnOsTltgz0M-sANaGOlXqwZMA&oe=6563B18D&_nc_sid=fc8dfb,Thoughts and prayers to all the players and families of the Humboldt Broncos. #prayersforhumboldt,['prayersforhumboldt'],27310,249,,2018-04-07 05:38:15,GraphImage
3,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/16908678_1269357406504797_2287468194228600832_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6GPjsiyXcYIAX8feLpR&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTQ1OTgzMDAyODU4MTQ5NDA5Ng%3D%3D.2-ccb7-5&oh=00_AfC_zyotbNq6LP-tMeJjDcYFyxgxCWQhvTtHTmi2ysl5NQ&oe=6564AE64&_nc_sid=fc8dfb,It was a hell of a ride brotha...Good luck in MTL!!,[],24635,630,"Dallas, Texas",2017-02-28 01:28:42,GraphImage
4,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/56281753_578067832687121_4998343310739821215_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NTB4NzUwLnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=BdY5icz_TFAAX-EZ7ha&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjAyMjAzMTk3MDIwNTY1OTAzOA%3D%3D.2-ccb7-5&oh=00_AfC2PuS-ipll39r-ex_2LqwvXDQ1U-cX14PKFpfDQUFPaw&oe=65643EF4&_nc_sid=fc8dfb,Can’t wait to lace em up for Game 3 in front of all our fans tomorrow!!! #BeLoud #WearGreen #GoStars,"['beloud', 'weargreen', 'gostars']",23854,257,American Airlines Center,2019-04-14 18:03:36,GraphImage
5,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/50658601_2428662384021607_6300863605460935072_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ZCgx389UBJ4AX-PXhx9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MTk3NDcwMDU5NjA3MTI4NjM1MA%3D%3D.2-ccb7-5&oh=00_AfCwMPAtSB_jDZPuUdkotfqIsqU30w7iGVLcsuVmnYbyKA&oe=6564CB49&_nc_sid=8b3546,"Moms trip 2019! A first for the Dallas Stars. Love you Mom 💕 (also me getting drenched in the rain while mom stays dry on the bus, figured it’s about time I sacrifice for her as she has sacrificed so much for me) #raindropskeepfallinonmyhead☔️",['raindropskeepfallinonmyhead'],23451,131,"Nashville, Tennessee",2019-02-08 10:44:37,GraphSidecar
6,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/26870106_571545589854954_5186079405402750976_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=jP0TT7vlFXcAX9r9nEJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAClp00QSnX-OqPlJOVuWjyIyaOqmLrhZbk00cKzpjLkA&oe=6563FF65&_nc_sid=bc0c2c,Retro Night. #GreatWin #GreatNight #ThankYouStarsFans,"['greatwin', 'greatnight', 'thankyoustarsfans']",22371,124,American Airlines Center,2018-02-04 05:52:39,GraphSidecar
7,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/49956598_240026050255911_2269901420942237595_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NDh4NDg2LnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GHLVKQlbsG4AX_a85nz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTk2Mzk0MTg0NDI2NzU1NjQ5Mg%3D%3D.2-ccb7-5&oh=00_AfA4o_TQLGTD55k1BGPhZbrfdaM9xUD9oBS_y-uMRxGRmQ&oe=6564265A&_nc_sid=fc8dfb,⚾️ 🏒,[],22234,0,,2019-01-24 14:28:53,GraphImage
8,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/54513697_379444202652639_3497630300604593913_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=uVej9903O4EAX9KnVXb&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjAxMzY2OTAxMjI3MDIzMDM5MA%3D%3D.2-ccb7-5&oh=00_AfCcIQtY-mECTHnqQAUB8WEdVXr4vQvULhzfZ2qPIbZGxw&oe=6565722A&_nc_sid=fc8dfb,You ready Dallas? 😏,[],19712,353,American Airlines Center,2019-04-03 05:07:54,GraphImage
9,jamiebenn14,184210,435,True,False,N/A,43,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/41866899_1008443576025921_1257858679613423616_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43NTB4NzUwLnNkciJ9&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=w7H1f-XiExQAX-xavQf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTg4MjQwNjgzNjUxOTU3MDkyOA%3D%3D.2-ccb7-5&oh=00_AfAtBho35PGaAA-S39QJDXwzqfBi1BqLoW_k2m3fRwyTrg&oe=65657D33&_nc_sid=fc8dfb,See you tomorrow hockey! 😀🏒,[],19897,165,"Dallas, Texas",2018-10-04 02:33:23,GraphImage
