,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/269680847_2140271272821406_529256319938940435_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=4arwltFP5LgAX8OmJaL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBj-axwPUlOXT931eHbw9bd6LPvgBrRv1QKceP92QVVIg&oe=6565B144&_nc_sid=bc0c2c,,[],347149,11356,,2021-12-22 02:34:11,GraphImage
1,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/342275484_237993612072250_8152272592211502206_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=bOWgtxn4R-EAX9Oowkv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB8_2jBqyN41uyV_eYurZzGUofRR43j5WsET9winXQJiA&oe=65673558&_nc_sid=bc0c2c,"Finally! We can announce that Season 6 of Selling Sunset premieres on Netflix on May 19th! And you’ll get to meet two agents new to the show, @itsnicoleyoung  and @bre_tiesi. It’s our best season yet! Get ready!",[],129449,4213,,2023-04-20 13:06:49,GraphSidecar
2,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/117880109_322249572306963_4375096052746195650_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=8Gr1TVI1G1gAX80fzLB&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCD2sQo-gNbKuqfeHyRtpoU7yDRdTJihCIrAZF-8-qtrw&oe=6566458B&_nc_sid=bc0c2c,I gave one too many listings to Mary!,[],120858,7360,The Oppenheim Group,2020-08-18 22:04:10,GraphImage
3,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/279067093_717125112650996_7919476953820047273_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=tA96r63nfhcAX-ZmbuX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAsKDLUSy9XfM3nWQyClfOfbIOorV86R7eKHKnW1yKXtw&oe=656647B6&_nc_sid=bc0c2c,"I could not be more excited to have @chelsealazkani as the newest agent at the Oppenheim Group, and a veritable star of Selling Sunset Season 5. Check out her IG tomorrow for her latest listing, a beautiful $22 million beachfront home on the Strand in Manhattan Beach!",[],118970,2774,,2022-04-25 18:56:05,GraphImage
4,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/311322555_643761237146769_4207876854168136900_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=1&_nc_ohc=tqD3V-SJYAkAX8h-Nvs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAh-PyIrZNoi3nevPnKsAYsmQ9zuFsz8DR1ayL5mTKsjg&oe=6566719D&_nc_sid=bc0c2c,"While in Paris ❤️

Thank you to the most beautiful and talented Parisian photgrapher @charlottelobry for these beautiful photos!",[],117081,1474,,2022-10-13 23:04:49,GraphSidecar
5,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/278847484_558318972351676_2882179251690519358_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=NStY16WPXnIAX_GzUED&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjgyMjE4NDM2NTQzMDU4MDMwMw%3D%3D.2-ccb7-5&oh=00_AfA32Vr8_gSFLB-ZdYpR6NmWBWqz7Gbmt78MZIKPW9__Kg&oe=65662AC8&_nc_sid=8b3546,Season 5 is now streaming! @netflix,[],104667,2593,,2022-04-22 18:03:35,GraphSidecar
6,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/243514914_254231373273636_7935036563376977372_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=T35SzYByIXMAX8ukH6j&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD3EQ0atCa2kMoJW_pywBxEqhbDyWz_7FT_IIrl9ff4zg&oe=65661BED&_nc_sid=bc0c2c,We clean up well ❤️,[],104651,865,"West Hollywood, California",2021-09-29 16:14:10,GraphSidecar
7,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/281531145_349089107322432_1664364153740390861_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=Gh32pSqBxo4AX_RZAlb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCBThDQidIDXtekLt6-WS1sltaTpbD0ICWgX8AJghZQjA&oe=6566AB54&_nc_sid=bc0c2c,Lunchtime with the ladies.,[],98305,546,,2022-05-18 17:33:37,GraphImage
8,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/260994911_1029052931006351_5045680182573534516_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=TDccjj1x5qoAX-Sgpbb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBqLI98GWewYfhfPTaz5zE4iKEUs_ohCsMqVrOZ1hTgYg&oe=6566471E&_nc_sid=bc0c2c,"Today I woke up to the news that we are the #1 show in 19 different countries, including the U.K., Canada, and Australia, and we’ve moved up to the #4 show on Netflix, Worldwide. I couldn’t be more proud of all the agents at the Oppenheim Group and our amazing producers!!! Let’s keep climbing the charts! #sellingsunset #netflix","['1', '4', 'sellingsunset', 'netflix']",95671,2643,,2021-11-26 18:34:17,GraphImage
9,jasonoppenheim,1512496,1111,True,False,N/A,417,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/326112287_1076624810406295_7997471145265185766_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ounCuZXe62oAX8ZkXZX&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA-zw0c75JEkAfZqBEX4E87AYe-oeUnOC1pe7ByjBisQg&oe=6565A25D&_nc_sid=bc0c2c,Netflix just announced that Selling the OC will be back for two more seasons! Get ready for Selling the OC seasons 2 and 3 and Selling Sunset seasons 6 and 7. They like to keep me busy… here we go!,[],93802,2092,,2023-01-19 05:31:48,GraphImage
