,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/317356403_1333814503827901_8510899245275350727_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=83NaF9RViBYAX_pLwCo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDjpQxkIwJSDC9xn4bUIePZk_0oFoN0tBCMvV5L4-V8NQ&oe=65637642&_nc_sid=bc0c2c,"NEWS! 🚨🇮🇳 Single-seater star @jehand98 joins Mahindra Racing!

The 24-year-old Indian racer joins the team as Reserve Driver, also working on the development of the car as we enter the #Gen3 era ⚡️

Find out more via link in bio 🔗",['gen3'],301130,314,,2022-11-30 12:00:07,GraphImage
1,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/286920792_411427557529738_8370807863693240180_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CNZd2ky-fwsAX-yVoOU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDAE3p5Nufv8qlB2Wf0Go439JE_KCIg7mHbYIgNN7hJhQ&oe=6564C583&_nc_sid=bc0c2c,"Aaahhhh, this one hurts😖 But still a P2 finish🏆... I had an awesome start to get into the lead and then just managed the race from there until the safety cars… The car was great all race but a small lock up on the restart cost us the win today. Onto tomorrow 👊🏽

📸 @jamesgasperotti 

#RedBull #RedBullJuniorTeam #Prema #PAP #Winway #F2 #BellRacingHQ #AzerbaijanGP","['redbull', 'redbulljuniorteam', 'prema', 'pap', 'winway', 'f2', 'bellracinghq', 'azerbaijangp']",55344,292,Baku City Circuit,2022-06-11 11:27:00,GraphImage
2,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/289722961_981026802571080_8521878253336679346_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-tbt0LsubKQAX8-5jN4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAaDrtN9neelL4v0uoPWWoxEUw-RsB4-4_KAH9h5YJHYg&oe=6564488E&_nc_sid=bc0c2c,"What a couple of days it’s been!… An unreal experience driving a Formula 1 car for the first time around Silverstone 🤩👌🏽 A big thank you again to everyone that made this happen, I had lots of fun and learned so much in just two days ✅

📸 photos by @nickdunganphoto 

#Formula1 #F1 #F1Testing #Silverstone #McLaren","['formula1', 'f1', 'f1testing', 'silverstone', 'mclaren']",53265,558,Silverstone,2022-06-24 08:00:07,GraphSidecar
3,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/241807020_551714972616580_8299766575768130619_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=mOp8yB1ih7AAX8F3fvK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAC6gr4CSncWHNHL4Qd798KBW58B8i7Upuv1wPSNm4vng&oe=6563695A&_nc_sid=bc0c2c,"Yesss!! P1 🏆 Got the lead at the start and then it was just about managing the tyres and the pace… looking to repeat the same tomorrow ✅ Hearing the national anthem on the top step of the Monza podium feels really special 😀 … Big thanks to @carlinracing for the mega car 💪🏽

📸 James Gasperotti 

#redbull #redbulljuniorteam #carlin #pap #winway #f2 #ItalianGP","['redbull', 'redbulljuniorteam', 'carlin', 'pap', 'winway', 'f2', 'italiangp']",51332,934,"Monza, Italy",2021-09-11 14:15:27,GraphSidecar
4,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/129761539_3801265886627745_2648715311006317844_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=jVSpdUm-d7sAX_dd3Nt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVnARr7fmfWJqmHYGYBmvJCBzYjjLZ9gc1BMIyy70bsQ&oe=6563DFCD&_nc_sid=bc0c2c,P1!!😀✅...Feels really good to end the season on a high..A big thank you to team💪🏼 and everyone who’s supported me throughout the season ...See you next year😉 #redbulljuniorteam #carlin #f2 #pap #winway,"['redbulljuniorteam', 'carlin', 'f2', 'pap', 'winway']",50719,1219,Bahrain International Circuit,2020-12-06 14:30:00,GraphSidecar
5,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/306480612_801563444378741_4572800176543204780_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=_hn3JCHKAWQAX_ogDg1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDJ1JN9OOIbBP9c2EDrSKdcUB2_iuvmlOzvLh7JpH22yg&oe=65637787&_nc_sid=bc0c2c,"Yesss, P1!🏆… A big thanks to the boys and girls @prema_team - the car was rapid and the pit-stop amazing ✅ 

Feels good to go into the break with a double podium under my belt!💪🏽

📸 @jamesgasperotti 

#RedBull #RedBullJuniorTeam #Prema #PAP #Winway #F2 #BellRacingHQ #ItalianGP","['redbull', 'redbulljuniorteam', 'prema', 'pap', 'winway', 'f2', 'bellracinghq', 'italiangp']",45214,579,Autodromo Nazionale Monza,2022-09-11 10:29:06,GraphSidecar
6,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/288860753_1355834861570796_8843121704096081741_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=hrth3f9fbMAAX8jEjAK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfACx6quhIvfEY2OpXwitRtZAbOAuwG2hd1n1enO1mSpAQ&oe=6563E291&_nc_sid=bc0c2c,"Super excited and grateful for the opportunity to have my first experience in a Formula 1 car testing with McLaren this week!😀
A big thank you to the Red Bull Junior Team, my family, my support team @pbelm27 @papsc1 @lukeselbyosteopath , Mumbai Falcons, McLaren and to everyone who’s supported me along the way. Can’t wait to jump in the car soon!",[],40657,777,,2022-06-20 08:00:08,GraphImage
7,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/284214355_171933145286063_4807840244707787046_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=-lItrxQSDi8AX9XFN1L&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGNcjP84hvJg8ysErZGAp464WyJ9s2ZJ43D9gmsdJFKw&oe=6564585D&_nc_sid=bc0c2c,"P2 in Monaco😁✅ Feels great to be on the podium 🏆… A big congrats to the team @prema_team for a 1-2 finish! 
Next up ➡️ Feature Race

📸 @jamesgasperotti 

#RedBull #RedBullJuniorTeam #Prema #PAP #Winway #F2 #BellRacingHQ #MonacoGP","['redbull', 'redbulljuniorteam', 'prema', 'pap', 'winway', 'f2', 'bellracinghq', 'monacogp']",39789,149,"Monte-Carlo, Monaco",2022-05-28 18:57:36,GraphSidecar
8,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/265932267_1333601910491615_5514888773595820448_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ickNRiKMvIEAX9JWKTZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAIY8aOsgEYr59GWlFPqQbkDtUwaArrzQJbUVmCE1FlsA&oe=65649BED&_nc_sid=bc0c2c,"Yess, P1!🏆 … Really happy with the win after a pretty tough race with the pressure from behind 😀👊🏽 

📸 James Gasperotti

#redbull #redbulljuniorteam #carlin #pap #winway #f2 #AbuDhabiGP","['redbull', 'redbulljuniorteam', 'carlin', 'pap', 'winway', 'f2', 'abudhabigp']",38050,597,Yas Marina Circuit,2021-12-11 09:56:29,GraphSidecar
9,jehand98,140146,804,True,False,N/A,439,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/281917649_577970857018494_9058627597690480171_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=L0OVW2URE1wAX84TPmQ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCHyl4Xb62zDm3skKAx5Ao2ntwKRoYEu5kU1XHHxIK-TA&oe=65638762&_nc_sid=bc0c2c,"Gutted…😥 our strategy today was the right one. Nevertheless we move on and come back stronger 💪🏽

📸 @formula2 

#RedBull #RedBullJuniorTeam #Prema #PAP #Winway #F2 #BellRacingHQ #SpanishGP","['redbull', 'redbulljuniorteam', 'prema', 'pap', 'winway', 'f2', 'bellracinghq', 'spanishgp']",33636,96,Circuit de Barcelona-Catalunya,2022-05-22 11:03:43,GraphImage
