,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/324558085_1316918359094530_8057918103671552732_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2NzEuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1a768M847WcAX-0N82h&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAxMjk5MDM0Nzc4MjI1MzYwMw%3D%3D.2-ccb7-5&oh=00_AfD0Hjh2SIK1m6hNNPWt_Jxxc05nb59H3fued5qNkKD71w&oe=65672F44&_nc_sid=fc8dfb,Yippee! @GoldenGlobes ✨ #TheWhiteLotus,['thewhitelotus'],786387,8096,,2023-01-11 00:21:00,GraphImage
1,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/333707672_787891829364280_5160182271122651064_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Ey_7BGMEMcgAX8SQnrZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBJLqMSn68xn7jI3N-10O2EhNVOMA9TCmdxeFa0NSU6_Q&oe=6567A8F3&_nc_sid=bc0c2c,"I’m on the cover of @WMAG. Wee-hee! Inarticulately grateful for this embarrassment of riches. When the extraordinary Daniels first called and presented their vision for this shoot — paying homage to the Japanese Tokusatsu film genre — I thought they had the wrong muse (or certainly not their first choice for this amazing honor!) How unbelievably cool are these photos?! Thank you to them, photographer @Lenneigh, @SaraMoonves and the entire team at W for letting me live out my Godzilla / Rita Repulsa fantasy! Wow!!💕
- 
-
Directed by #Daniels (@dunkwun and #danielscheinert)
Photography: @lenneigh
Costume Design: @shirleykurata
Production Design: @caldergreenwood
Editor-in-Chief: @saramoonves 
Writer: @alexhawgood
Hair: @anissaemily
Makeup: @francescatolot
Manicure: @nailzbyvee
Production: @prettybirdpic","['daniels', 'danielscheinert']",648915,7579,,2023-03-01 21:09:35,GraphSidecar
2,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/324871168_492884212961511_5653476156607057782_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3Njcuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=tEv8LxvwFLIAX9n1LP-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzAxNDk5Mzk0ODk3NzMzODIwOA%3D%3D.2-ccb7-5&oh=00_AfBjdz1YSa_fsq_YL0RK0SQUl-F1t6m6ErfJdFOKvPWW3g&oe=6567219E&_nc_sid=fc8dfb,"Despite the torrential rain and many obstacles, so many talented people managed to make it to the 2023 @GoldenGlobes with bells on! ❤️🐾 
#Bagpipes & #Chewbacca took off their suits immediately…","['bagpipes', 'chewbacca']",618314,5943,,2023-01-13 18:41:48,GraphImage
3,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/350619018_766462868517786_1584416759737338035_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=oQHh7Rk9XZoAX9llSoo&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzExNDk2ODQ3OTI2NTQzMzgwMg%3D%3D.2-ccb7-5&oh=00_AfDpaWzAekJMOf58j4n8Kg6Vgd6EEA7I4737pjSJ-T8dxw&oe=6567FB97&_nc_sid=8b3546,"The Aussies! Never met one I didn’t like 💕❤️🇦🇺💕❤️ Such an alive group of talented people! Thank you for this unforgettable shoot💋 @BazaarAustralia 

Photographed by @polly_borland & @sullivanstrumpf
Styled by @jilliandavison
Set design by @ariana_nakata @walterschupfermanagement
Words by @pattyhuntington
Hair by @claytonhawkins @aframe_agency
Makeup by @melissahernandez @thewallgroup
Manicure by @nailzbyvee @forwardartists
Executive producer @defalcosamantha
Local production @cynthiahadden
Special thanks to @gaellepaul @aframe_agency",[],592907,3095,,2023-05-31 17:13:21,GraphSidecar
4,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/329727162_739954124287885_4158848935749084759_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kkZstYgnfmkAX97L0Sb&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA4MDIyNzAwMDIxMjc0NTI4Nw%3D%3D.2-ccb7-5&oh=00_AfDH-xtMq6thxs6dxTIjCTA_t_-BcX2tqhoBTsBN5CS0Mw&oe=6566A28C&_nc_sid=8b3546,"Such an honor, thank you #TIME100! 💕🙏 Wait…has this gone to press?! Or can they still change their minds??",['time100'],515026,4940,,2023-04-13 18:48:14,GraphSidecar
5,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/336319657_913428529867690_1786948353113565695_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=OKBAC44UnsMAX9TeyzU&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrzC0UroOY7V2inSARFr4vLU0hXzZqdCPQ4WLRbxJBzg&oe=6567EB79&_nc_sid=bc0c2c,"Thank you for the fab party @VanityFair !!! You went above and beyond…. A bunch of expert party planning people involved that was very clear - Just when you thought you couldn't wear your  excruciating heels for one more sec.... A girl (yeah they're like way more substantial) and boy came over to me and asked me if I'd like to wear some comfortable shoes home --I said “YESSSS! Are you serious!?” So they handed me a pair of black ""Rothy's""..... They made sure to tell me that they were  made from 100% recycled materials (mostly plastic bottles) Oh my god what a brilliant idea and it changed my night in an instant...and it turned my night into a dream!!!🙏❤️🙏❤️💋💋XOX",[],417854,4672,"Hollywood, California",2023-03-18 00:04:00,GraphSidecar
6,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/352238133_779647583786739_2238601016813378224_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzI2eDEzMjYuc2RyIn0&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ApgOy5zcadcAX-19U9D&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzExOTU1OTA2Mjg4NTYzOTczOA%3D%3D.2-ccb7-5&oh=00_AfAGFEuw9SIL3z-DZSvgwhZ0CX9IXpS2UD2lT4m1NqTpaQ&oe=656671DC&_nc_sid=fc8dfb,"Sometimes you actually get lucky enough to meet the people you admire and get to squeeze their cheeks ❤️

I got to chat with the brilliant @JeremyAllenWhiteFinally and he’s just as interesting in real life as he is on-screen! It all makes sense now…

@Variety #ActorsOnActors",['actorsonactors'],334365,1137,,2023-06-07 01:14:01,GraphImage
7,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/319535747_557370349538368_8432606291167185602_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEwNTcuc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=q0R_acEbpfgAX9uWaUu&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk5Mjc2NjYxMTIyNDQ5OTMwMw%3D%3D.2-ccb7-5&oh=00_AfBr4hcYxiyoLVK-NX17HU7m36owqdG45dJa6-euo_axKA&oe=65678C9F&_nc_sid=fc8dfb,"To everyone who worked on #TheWhiteLotus, congrats on the multiple #GoldenGlobes nominations 🎉 I’m brimming with gratitude to have been in the company of such a charismatic group of people!

Strolling the streets of Sicily with these actors was beyond my wildest dreams ❤️💕 

If you get a chance, stop by the graveyard 😉🌊","['thewhitelotus', 'goldenglobes']",328542,3534,"Sicily, Italy",2022-12-14 02:40:03,GraphImage
8,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/335605169_1647720592359589_1987534663453014032_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=aYTsrmd2TlgAX_A7Jtn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAk_tLzmnUnSYepiNh2hfzcDz2rzOSyevzMhJiMuz0B3A&oe=6568150D&_nc_sid=bc0c2c,#Oscars weekend with @WMag for @YSL ❤️ Running into some fab old friends and making new ones too!!,['oscars'],320477,1933,,2023-03-12 20:31:00,GraphSidecar
9,jennifercoolidge,2353164,2386,True,False,N/A,119,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/335944852_232597352656908_1780277113243544641_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3ODguc2RyIn0&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=VFNkpsSM2UoAX8Ll1_a&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzA2MDA4NjkzNzYxMzA1MTEwNw%3D%3D.2-ccb7-5&oh=00_AfBadV0YJYB52DF14wznA3Ru3Mbh_Yx9aRx3CEGh3peo4g&oe=65666431&_nc_sid=fc8dfb,@peta You were the first animal advocacy group that I was lucky enough to discover. When I first learned about you and the work you do on behalf of animals globally- I knew I had found my people. You fearlessly expose the harsh realities of animal cruelty and prove just how powerful animal lovers can be when they organize and take action. I am honored to be recognized by an organization that I've admired so much for so long. 🐅🐘🐁🐖🐓🦁🦬🐎🐄🐈🐩🦦🐬🐬🐬🐳🐋🦈🐢🐐🐏🐑🦭🦭🐪🐫❤️🧡💛💚💙💜💋❌⭕️❌⭕️❌ 💋,[],313191,3132,,2023-03-16 23:53:31,GraphImage
