,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/375546830_291594426939478_1976516207126149169_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=DMQaHjnSn2sAX-xEWtt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAAvLVzwUU3miTEdPXbJeqVeu5yMdIKCTFMdxTTDtt4Bw&oe=65618FB6&_nc_sid=bc0c2c,"JERK JUNCTION HAVE THE GRILLS OUT IN FRONT OF THEIR CHORLTON RESTAURANT AFTER THEIR RECENT DEVASTATING FIRE 

You may have seen the videos on social media of the horrific fires at @jerkjunction in Chorlton recently that have forced the restaurant to close down for the foreseeable future. 

They aren’t letting this stop them from serving up their famous Caribbean food, as they’ve got their barbecue drums out for the weekend. They’re going to be serving up a limited menu of jerk chicken, wings, burgers and rice and peas from the front of their Manchester Road spot. 

There’s also a rum punch station set up outside as well as two slushy machines, with music blasting out of a speaker - perfect for this weather!

It’s great to see these guys making the best of a bad situation, so while the weather is hot get down and support them. They’re doing the barbecue from 12-8pm from today until Sunday.

#mcrfinest",['mcrfinest'],8223,145,"Chorlton, Manchester",2023-09-07 12:07:51,GraphSidecar
1,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/336496145_1351431739047248_5749558043597666199_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=UjL0BeQWLEsAX85TF00&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB7DBct861Miz6hAo3ewjojy5aEIlE1hcYYykpmLySuFA&oe=65640383&_nc_sid=bc0c2c,WINNER WINNER JERK CHICKEN DINNER! Congratulations to @kaifagan_ on winning love island and now receiving our first ever black card.🏆🇯🇲💛💚🖤 #jerkjunction,['jerkjunction'],1686,39,Jerk Junction.,2023-03-18 20:47:18,GraphSidecar
2,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/382240450_17998095536169240_7871212473619085240_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=VfdEuj_8JgUAX99SPTI&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIwMTk3MzEwNDIwMDAwMTkwMg%3D%3D.2-ccb7-5&oh=00_AfCQdCEEcDuMrWcWxR4QclmntoL6PMpCyb_2mEUI6wU-jQ&oe=6565441F&_nc_sid=8b3546,"🌟 JERK ROAST🌟 GIVEAWAY! 🔥🍗 
LAUNCH DATE OCT 8TH‼️

Up next we have the Jerk chicken Roast. Our signature melt in your mouth Jerk! Served with home made Yorkshire Puddings, Honey Roasted Carrots, Spiced Garlic crisp roasties, Seasoned Broccoli and Drenched in home made gravy with a sweet splash of our sweet jerk sauce

To celebrate our exciting new menu, we're giving away 2x Jerk Roast Meals! 🎉

 Here's how to enter:
1️⃣ Like & save this post
2️⃣ Follow @jerkjunction
3️⃣ Share this post to your story
4️⃣ Tag a friend you would bring along

The lucky winner will be announced on Friday, 6th October. 🗓️

Good Luck 🤞🏾🇯🇲  #Giveaway #JerkChicken #JerkRoast #Roast #NewMenu #JerkLamb #JamaicanFood #RiceAndPeas #ManchesterEats #SundayFunday #Cheshire #Altrincham #ManchesterDining","['giveaway', 'jerkchicken', 'jerkroast', 'roast', 'newmenu', 'jerklamb', 'jamaicanfood', 'riceandpeas', 'manchestereats', 'sundayfunday', 'cheshire', 'altrincham', 'manchesterdining']",1020,235,,2023-09-28 18:16:01,GraphSidecar
3,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/315302307_408396028039433_8900984064576531258_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=-hT-KvX3kZkAX_TZe_l&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMIKA6c5LCZLG1F6mlbnySSnBvN5JOfRzjdlRrQtbMHw&oe=65657730&_nc_sid=bc0c2c,Saturday night vibes at the Junction 😋💛💚🖤 #jerkjunction #placestoeatinmanchester #thesecretisintheseasoning #foodie #foodtiktok #carribeanfood #manchesterfoodie #curriedgoat #manchestersfinest#jerkchicken,"['jerkjunction', 'placestoeatinmanchester', 'thesecretisintheseasoning', 'foodie', 'foodtiktok', 'carribeanfood', 'manchesterfoodie', 'curriedgoat', 'manchestersfinest', 'jerkchicken']",1207,14,Jerk Junction.,2022-11-12 17:23:56,GraphImage
4,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/288674620_195219646172829_6167386412926119098_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=KiCLk5NCkxAAX9BHqGd&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCCZ7d4QGIE2Mkh3tJ4tYY0I79T3Th5WHVrSSdprXfo1g&oe=65644CCE&_nc_sid=bc0c2c,Ready for summer! ☀️. Come Try Our New Wray & Nephew Slushy 💛💚🖤#jerkjunction #wrayandnephew,"['jerkjunction', 'wrayandnephew']",1126,68,Jerk Junction.,2022-06-17 14:21:12,GraphSidecar
5,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/335555906_939374640409250_5649547055088830501_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=9gmpoRVQFQ0AX9rfFhW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGVLLN7zFq9X0DOM8xAKxKTdxwClFrm3RL73YAqzoKbA&oe=656479E5&_nc_sid=bc0c2c,"Now open Jerk Junction Altrincham (Dark Kitchen)! Available exclusively on Deliveroo and click and collect only

Order now!!

15% off orders over £20 via click and collect

https://jerk-junction.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business

Call for more details 01619416679

Visit us at 21 Ashley Road, Altrincham, WA12 2DP",[],825,63,Aurous Bar & Restaurant,2023-03-11 15:23:01,GraphSidecar
6,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/312848164_3284820318452247_6530355159246347459_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=o11j1b_-T8QAX-Y4R51&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAabE1kgi2aYLvxmIbiCyR5TqpXqEuXW_t2-eHuHEG_IQ&oe=6564EA3D&_nc_sid=bc0c2c,"A few corporate events for #blackhistory month 🖤 “Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars, to change the world.” -Harriet Tubman 💛💚🖤#blackhistorymonth","['blackhistory', 'blackhistorymonth']",763,17,Jerk Junction.,2022-10-28 18:06:08,GraphSidecar
7,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/384163063_1553732848703589_7252357765197010795_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=9oUQ7wdXuusAX-24BcC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDwv-A1I0B1Q4zvPxLsstBi2L0aDrYGTF0QhhTjevgADw&oe=6561CB01&_nc_sid=bc0c2c,"🇯🇲THE REAL ROAST! Launch Date Oct 8th‼️
1️⃣Slow cooked Jerk and Rosemary Lamb
2️⃣ Jerk chicken Roast 
3️⃣ Jerk Seabass Roast 
They all come with home made Yorkshire puddings, gravy and all the trimmings 
Exclusive to Altrincham only‼️
Book now limited spaces apply 💛💚🖤",[],749,18,,2023-09-30 14:23:33,GraphSidecar
8,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/275836295_764390411195299_8074593153066301591_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=CXK1b66cd5UAX_vFesN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZF0AEquw12F2UIBIv_53qYwHnsQPZ0af5Q8-KBmKieQ&oe=65619F49&_nc_sid=bc0c2c,5 stars ⭐️⭐️⭐️⭐️⭐️ - No less for our customers 💚💛🖤 We are very proud to announce we have recently been inspected by Environmental Health & received the highest Food Hygiene rating - level 5.,[],720,39,Jerk Junction.,2022-03-16 19:38:33,GraphSidecar
9,jerkjunction,22659,691,False,True,None,115,https://instagram.fmkc1-1.fna.fbcdn.net/v/t39.30808-6/382226433_17997970322169240_7360175585465538337_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=OQqJO9HpfhUAX9LIOSQ&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfAfy6154Sw5WfvyP2wuqhdNfr8nd7bGHleRt37m5wij0Q&oe=6564B7A2&_nc_sid=bc0c2c,"Time for the Real Roast. Up first we have , Slow cooked 48hr Marinated Leg of Lamb . Served with home made Yorkshire Puddings, Honey Roasted Carrots, Spiced Garlic crisp roasties, Seasoned Broccoli and Drenched in proper home made Lamb Gravy.🤤💛💚🖤 launch date Oct 8th‼️ DM for bookings, limited spaces.",[],709,32,Altrincham,2023-09-27 17:39:11,GraphSidecar
