,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/394556384_315013974497293_7520632808918497063_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=hKLXbja0Pa8AX9HeSN4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAZfPm2bEWIFCc5x0L6oCbQxooTOEcxB7rsUBA2fmrDUA&oe=65658A68&_nc_sid=bc0c2c,"Diwali & all it’s love, light & glamour loading in.. 3..2..1 

Arm Candy: @thewiiingman 
Fashion: @manikjassal 
Jewels: @purabpaschim 
Makeup: @iamkanwalbatool 
Hair: @elenaroulhac 

#diwali #diwalifashion #indianfashion #bollywoodstyle #RHONY","['diwali', 'diwalifashion', 'indianfashion', 'bollywoodstyle', 'rhony']",78041,1400,"New York, New York",2023-10-22 13:33:35,GraphSidecar
1,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/393112262_2017991021911646_1153776512452582921_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=SCbNzHAM76YAX-ZqHpZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGgQ-RfKjXwmRGUGaREzFsTZ-fRy7dYncI76udQvf8Pw&oe=656461A2&_nc_sid=bc0c2c,"9 years since #jesspavitfiesta & 15 years since our first date! We went to @marqueeny on a random Wednesday night - I was tipsy and fell down the stairs - Pavit walked straight over me. His response when I asked him why he didn’t help me up? “You said if you ever did anything clumsy to ignore it.. so I did” 🤣 Epic. 

Photo: random underwhelmed bartender 
Fashion: @bebe @forever21 
Location: @marqueeny 
Hair & Makeup: Me while tipsy",['jesspavitfiesta'],62181,827,Marquee,2023-10-18 18:30:47,GraphImage
2,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/391459766_274785438862724_1826810463795392134_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=SJl-k9Eb9HgAX_2IaOC&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDkzOTU2NTM3ODQxMDcxOA%3D%3D.2-ccb7-5&oh=00_AfAfJhapsRfmnpOFwefCCBrCgZQnQrGFFG-3fPct9xmCCg&oe=6564A54F&_nc_sid=8b3546,"Rolling with the Stones (and the punches 😉) Pt 1 

https://www.rollingstone.com/tv-movies/tv-movie-features/real-housewives-of-new-york-city-jessel-taank-interview-bravo-1234854870/ 

Words: @louisstaples for @rollingstone 
Photographer: @samgoldiloxx 
Fashion: @fwrd @area @maisonvalentino 
Stylist: @modestoo @coulsonbingham 
Hair: @elenaroulhac 
Makeup: @iamkanwalbatool 
Location: @banditsnewyork

#RHONY #rhonynyc #housewives #thehousewives #realhousewives #realhousewivesnyc  #therealhousewivesofnewyork #therealhousewivesofnewyorkcity #bravo #bravotv #bravotvaddict","['rhony', 'rhonynyc', 'housewives', 'thehousewives', 'realhousewives', 'realhousewivesnyc', 'therealhousewivesofnewyork', 'therealhousewivesofnewyorkcity', 'bravo', 'bravotv', 'bravotvaddict']",37540,1100,,2023-10-16 15:38:03,GraphSidecar
3,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/391434451_1286437452009020_5047579490757537294_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=6iLyvUWNGbgAX9CzDui&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDk0NTk2ODM0NDIyMjA5NQ%3D%3D.2-ccb7-5&oh=00_AfAV3tGx12q9AJYoP40nkmILuWXg_G4HO6xsOGJN3Dq2uA&oe=656488A9&_nc_sid=8b3546,"Rolling with the Stones (and the punches 😘) Pt 2

https://www.rollingstone.com/tv-movies/tv-movie-features/real-housewives-of-new-york-city-jessel-taank-interview-bravo-1234854870/ 

Words: @louisstaples for @rollingstone
Photographer: @samgoldiloxx 
Fashion: @fwrd @area @paristexas
Stylist: @modestoo @coulsonbingham 
Hair: @elenaroulhac 
Makeup: @iamkanwalbatool 
Location: @banditsnewyork

#RHONY #rhonynyc #housewives #thehousewives #realhousewives #realhousewivesnyc  #therealhousewivesofnewyork #therealhousewivesofnewyorkcity #bravo #bravotv #bravotvaddict","['rhony', 'rhonynyc', 'housewives', 'thehousewives', 'realhousewives', 'realhousewivesnyc', 'therealhousewivesofnewyork', 'therealhousewivesofnewyorkcity', 'bravo', 'bravotv', 'bravotvaddict']",36276,678,,2023-10-16 15:50:47,GraphSidecar
4,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/393096476_348326864431919_4275385246931350300_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=edvo5lpktswAX9-GCOc&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxNDk0OTMxMTc4MzE3NzQ3NQ%3D%3D.2-ccb7-5&oh=00_AfBek5a93YnxEB50oAs9SkMe68n8zz85Hxy2aVF82nKhCQ&oe=65655B06&_nc_sid=8b3546,"Rolling with the Stones (and the punches 😘) Pt 3

https://www.rollingstone.com/tv-movies/tv-movie-features/real-housewives-of-new-york-city-jessel-taank-interview-bravo-1234854870/ 

Words: @louisstaples for @rollingstone
Photographer: @samgoldiloxx 
Fashion: @fwrd @ullajohnson @coperni @alexanderwangny 
Stylist: @modestoo @coulsonbingham 
Hair: @elenaroulhac 
Makeup: @iamkanwalbatool 
Location: @banditsnewyork

#RHONY #rhonynyc #housewives #thehousewives #realhousewives #realhousewivesnyc  #therealhousewivesofnewyork #therealhousewivesofnewyorkcity #bravo #bravotv #bravotvaddict","['rhony', 'rhonynyc', 'housewives', 'thehousewives', 'realhousewives', 'realhousewivesnyc', 'therealhousewivesofnewyork', 'therealhousewivesofnewyorkcity', 'bravo', 'bravotv', 'bravotvaddict']",35529,1041,,2023-10-16 15:57:25,GraphSidecar
5,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/396194853_2269911929871951_7106346913218859906_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=jgnL977O-nEAX8MLu0W&edm=APU89FABAAAA&ccb=7-5&oh=00_AfABT8mzOGCMEYpQfFDBTH-bwJVlYQFoOyUVQUuAyxEYDQ&oe=65654002&_nc_sid=bc0c2c,"Birds of a feather 🪶 

📸: @zeeshaanshabbir 
Art Director: @payalia 
Fashion: @falgunishanepeacockindia 
Jewels: @purabpaschim 
Makeup: @kris10daryl 
Hair: @elenaroulhac",[],31838,457,,2023-10-30 00:37:38,GraphSidecar
6,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/385175279_275878462025641_4953858675165085886_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=hwSloy1_oagAX_-5-pR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDr-3D7FGbIYTH0FApggKgZ_CACVFmstdcPphWH-8rkyw&oe=6561C3C4&_nc_sid=bc0c2c,"For the love of Laurent 

Fashion: @ysl @alexisbittar 
Stylist: @modestoo @coulsonbingham 
Photo: @krimesh @crossover_studios 
Hair: @elenaroulhac 
Makeup: @karunachani",[],24399,737,,2023-10-02 13:55:57,GraphSidecar
7,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/399531480_308321681995535_8812486576483077900_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=dqKVIqEwi8UAX8VImuL&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzMTY0ODE1NjU0MTg2MDg0OQ%3D%3D.2-ccb7-5&oh=00_AfC970U-9SkcSBiMgEjNZGlTwkWhlWwgKfMOUuWByy7WMw&oe=65660AA5&_nc_sid=8b3546,"A moment for this gown 💫

Thank you to the extraordinary visionary that is @rahulmishra_7 for creating & trusting me with one of the most exquisite pieces of couture I have ever laid eyes on and to @deepagurnani @jaydeelakhani for adorning me in your jewels. 

Photo: @riccardo__piazza 
Fashion: @rahulmishra_7 
Jewels: @deepagurnani @jaydeelakhani 
Shoes: @aquazzura 
Makeup: @iamkanwalbatool 
Hair: @elenaroulhac 
Location: @bazaarbyjose",[],24489,417,The Bazaar by José Andrés,2023-11-08 16:55:03,GraphSidecar
8,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/391438263_709051391251148_1375688282499627627_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=_BvDEN6v93UAX9sCphZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCSQeo9POgWB_qH2pXjyC4a2ufgTHs5jqdIA7ujiDMy0g&oe=6564D24E&_nc_sid=bc0c2c,This is how rumors start 👀,[],23384,495,,2023-10-16 03:08:09,GraphSidecar
9,jesseltaank,169924,2129,True,False,N/A,591,https://instagram.fmkc1-1.fna.fbcdn.net/v/t51.2885-15/393145116_864006695093317_8118239575037087429_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmkc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=nowmddAAPbgAX-mtGvt&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDjj1GvBmNXLCAvYN7ACum_cQfWVRW2l_pUu_AXgfh1eQ&oe=6564F8C6&_nc_sid=bc0c2c,Tuesday’s 📚 Club Courtesy of @ziwef,[],22336,243,,2023-10-18 00:49:38,GraphImage
