,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/223120403_2966297310315240_5738724964157116277_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=M6RJ-FSjuZoAX-ak0KD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAK0zNeM9lH5zBGSGPj9J4xB0VycXmnIJaskO1KdchFKw&oe=6563FED1&_nc_sid=bc0c2c,5  2 … what it do …💗 📸: @lacarba,[],8770164,133789,,2021-07-24 20:14:20,GraphSidecar
1,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/84558496_639207943515143_5602957738521734395_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CrFZQNqLtLoAX-jPDSD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANDuohOLo136mYvJVgohuzE764siM2VvKeaZ9DEcbeZg&oe=6562E73F&_nc_sid=bc0c2c,Relaxed and recharged. 🤍,[],8256961,123213,,2020-02-16 18:22:45,GraphImage
2,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/154115207_238237144703268_5840074280084858308_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=PPwucZaFNSYAX_jvkbD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCV-TCzWOO4OLwJzQU1Hh0t5WLOEZtSXEJzqPTeYFaaaQ&oe=6562B973&_nc_sid=bc0c2c,#SelfcareSunday ✨🤍✨ @jlobeauty #selfiesunday  #sundayfunday,"['selfcaresunday', 'selfiesunday', 'sundayfunday']",5776531,57586,,2021-02-28 20:22:32,GraphImage
3,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/82884173_114420743332565_1244407876989529767_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Pv8wZoOMTiIAX8KcbDR&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAUfK45eilmOXD41SK9SOsTO3ik_JAxKEd6g7qc2XKj4A&oe=656408EB&_nc_sid=bc0c2c,"Puerto Rico y Colombia muy en alto hoy. Muchas gracias a mi coco Emme, @Shakira, @jbalvin y @badbunnypr. #LatinoGang #GirlPower #LetsGetLoud #BornInTheUSA #ProudAmerican #ProudLatina #ProudWoman #SBLIV #SuperBowlLIV #PepsiHalftime 📷 @lacarba / Getty Images / Wireimage","['latinogang', 'girlpower', 'letsgetloud', 'bornintheusa', 'proudamerican', 'proudlatina', 'proudwoman', 'sbliv', 'superbowlliv', 'pepsihalftime']",5660475,46206,,2020-02-03 06:30:01,GraphSidecar
4,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/227684594_526140072033125_700560440709408613_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=dipcYFyAczcAX9MJW8h&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAvLxU1a7-VqCBXj50nFkmRn4vbdCJC5IfBQjwudCRn-g&oe=65630FB9&_nc_sid=bc0c2c,Ciao 💛 📸: @lacarba,[],5527972,47560,,2021-07-30 17:04:39,GraphSidecar
5,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-2.cdninstagram.com/v/t39.30808-6/367494102_18407824519037720_5500187176086967652_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=9niz2x_XIacAX9b4AjV&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfDWrLQDaXed2DRzDyA7tVbi8w3HdqZe01kEKHU6sSJ9VQ&oe=6563FBE6&_nc_sid=bc0c2c,"One year ago today 🤍 …

Dear Ben,

Sitting here alone 
Looking at my ring ring 
Feeling overwhelmed 
It makes me wanna sing sing 
How did we end up here 
Without a rewind 
Oh my 
This is my life… 

Jennifer 🤍

#DearBenPartII #ThisIsMeNow 📸 @johnrussophoto","['dearbenpartii', 'thisismenow']",5000461,26999,,2023-08-21 05:33:56,GraphSidecar
6,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/135661488_710367242962026_7958545077073219960_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=zQOkToLy7mYAX-REkKu&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAM1LtWfAFCA3efeFFkN1fefDV660IfvRnwRko5J9wfkg&oe=6562FB38&_nc_sid=bc0c2c,"Beach bum 🏖
#GodsLight ☀️ 
 📷: @lacarba",['godslight'],4826307,40276,,2021-01-06 20:01:24,GraphImage
7,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/43632287_250821035610007_3636626986683462932_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=6k6RPiaxPOAAX9xgHXo&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAQpFAPTCt9ULjCKGGEXtQoqfgLdzXKB1wXH7BnRu-vSg&oe=6562A77A&_nc_sid=bc0c2c,December 2018 @instylemagazine,[],4578955,91050,,2018-10-31 16:43:10,GraphImage
8,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/84111978_129565085243513_6256398093296887152_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=FixSY6BN3rEAX-2E5k5&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVAFsC67MhfYyfJ2GAu7WgTizVrEu58T6f_EsOMk0yWA&oe=6563FC4F&_nc_sid=bc0c2c,I know you’re 12 years old today but you will always be my babies... 🥥🤍🤍🥥 HAPPY BIRTHDAY TO MY BEAUTIFUL COCONUTS!!!,[],4620160,29229,,2020-02-22 22:28:13,GraphImage
9,jlo,253019038,1373,True,True,None,783,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/241313924_538888484011601_1233088637851080003_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5kPpKxq2e8EAX9WLYNa&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCGgWUste_BMMLkplKwzzQnyDn_nA7rwgKnp4VaMMWn0A&oe=65639559&_nc_sid=bc0c2c,Premiere night 🤍 #TheLastDuel #VeniceFilmFestival #VeniceVibes 🇮🇹 📸: @lacarba @jlobeauty @cartier @robzangardi @marielhaenn @chrisappleton1 @tombachik @maryphillips,"['thelastduel', 'venicefilmfestival', 'venicevibes']",4585369,31697,,2021-09-10 20:43:24,GraphSidecar
