,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/244639981_292860299320199_4518439839265703240_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44OTl4ODk5LnNkciJ9&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=8zRCDP00WGkAX_Ytn9D&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY4MDA5MjUxNzYwNTQ2MjMyOA%3D%3D.2-ccb7-5&oh=00_AfCl2z30f2Q-cIBv1RdzohN2vFNNBniIdg4iNh2I5rXZCQ&oe=656B0545&_nc_sid=fc8dfb,"""Global finance selected J.P. Morgan as the #WorldsBestBank based on performance📈, reputation, management excellence👏, and leadership in digital transformation⚡️ and corporate citizenship.""

Honored to be recognized as Best Global Bank, Best Investment Bank and Best Private Bank for 2021.

Click the link on our Instagram Story to read more.",['worldsbestbank'],8730,187,,2021-10-08 16:52:26,GraphImage
1,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/318674447_3250813581837832_8406477055865633784_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=d2b7--WwXvcAX9-miDh&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk4OTU4NTIzNzc0Njc0OTM4Ng%3D%3D.2-ccb7-5&oh=00_AfD7CLGbOX5z8AzC2XNf0ECpWrwrnT16sMo4blGPHUyl7g&oe=65699E5E&_nc_sid=fc8dfb,Tightening financial conditions and ongoing geopolitical issues will continue to impact the global 🌎 #economy in 2023. Watch our Instagram Story to explore the key factors #JPMorgan Research expects to shape #markets 📈 and economies in the year ahead.,"['economy', 'jpmorgan', 'markets']",8707,82,,2022-12-09 17:19:13,GraphImage
2,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/117989140_712021612677149_7751522514207487953_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=nLjYTkcTLzUAX-PK63g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM4MDc4MDI4OTgzODA5MDk5Ng%3D%3D.2-ccb7-5&oh=00_AfBhv2nN-czl5rDExCvDfvqgE6njBuvNCyanWlnuk7Slqw&oe=656A78F3&_nc_sid=fc8dfb,"#JPMorgan employees are finding bright ideas 💡 and inspiration closer to home this summer. Here, one employee captures the dazzling lights 🌃 of #Singapore one evening. 📸 cred.: Ravi Y., Assoc.","['jpmorgan', 'singapore']",8003,68,Singapore,2020-08-21 17:32:28,GraphImage
3,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/331116960_1371703110294524_7599984434141564508_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=1sK7R1s1jAMAX-ggovG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAckDfMlee6aOYUYjsrAh_o6302Him6xhG9Zd79t49gmA&oe=656AE60F&_nc_sid=bc0c2c,"#JPMorgan has had a presence in the Middle East for nearly 90 years, and our commitment to clients and the local community continues. We’re proud to be supporters of the 2023 #Dubai @ddftennis Championships 🎾. Swipe through our photos to see what this world-class 🌎 city and tournament are serving up.","['jpmorgan', 'dubai']",8006,64,"Dubai, United Arab Emirates",2023-03-04 14:02:27,GraphSidecar
4,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/241513728_379322127032360_5444546272413527036_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=HaG0sPxCM0EAX-QOw64&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY2MDM1MTM0NTIzNjU5NzQwNg%3D%3D.2-ccb7-5&oh=00_AfBi8MCxV5ieoG70dALunkgf3REbVKj_RvD5KBFqL_SYbA&oe=656B2C11&_nc_sid=fc8dfb,"On this day twenty years ago, our world was forever changed by an unforgettable tragedy. Today and every day, we honor those who lost their lives and the brave individuals who continue to keep us safe. 

We will always remember. We will never forget.",[],7157,64,New York City,2021-09-11 11:10:15,GraphImage
5,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/117256680_2699030390332845_5280555370426858785_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=B8StP6N5DVAAX9n9BJc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjM2OTg4NjgyOTQzODUzMDc3OA%3D%3D.2-ccb7-5&oh=00_AfAHcQNfip87DCK7-UQWrZiVeomJeygeFKzp9ky6WTPRbg&oe=656A9CEC&_nc_sid=fc8dfb,What do wooden water pipes 🚰 and 19th century currency 💵 have to do with working here? Watch our story to step inside the world of two #JPMorgan Chase Corporate History Archivists as they describe what it takes to document and preserve 🗃 over 200 years of the firm’s history.,['jpmorgan'],7038,52,,2020-08-06 16:49:06,GraphImage
6,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/243389578_394616568951798_2431560093762010710_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=t6D89mYyhCMAX_ml7Qk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjY3NDI5NzA3OTk1NDY2NjM0OQ%3D%3D.2-ccb7-5&oh=00_AfBwLT5I6sVJtqDFVdwitMv7iWk7OtOnP3RhWLRs5UVVSw&oe=656AF255&_nc_sid=fc8dfb,Things are looking 🆙 for mid-sized business leaders. 81% of executives in our survey expect to hire new employees 💼 in the next six months. Watch 👀 our Instagram Story to see more from the #JPMorgan business leaders pulse survey.,['jpmorgan'],6123,47,JPMorgan Chase & Co. World Headquarters,2021-09-30 16:57:56,GraphImage
7,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/151023750_246617210434990_820726122202057465_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=DDe0g9oKopoAX8wTA6A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUxMjA0Nzg0MzIwNjExMTkxNA%3D%3D.2-ccb7-5&oh=00_AfDjv9sjOSmNyag-sT6A_BQQ5_5j7IJQWxEZ9q0sCB5Zsg&oe=6569C6F8&_nc_sid=fc8dfb,What key trends are driving business 💼 decisions in 2021? #JPMorgan’s Corporate Finance Advisory team outlines the top 10 factors for consideration. Swipe up on our Instagram Story to see what’s impacting business leaders’ decisions after a year of uncertainty📈📉.,['jpmorgan'],6080,62,,2021-02-18 20:17:40,GraphImage
8,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/47305105_338922850231880_1247494974129964436_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=dc8_5zCABq0AX80qLrY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MTkzMjMxMDI4NDkyMjIyOTA5OA%3D%3D.2-ccb7-5&oh=00_AfAoBbjD6aGtCcZLhuBas08YCvPwAtXKcTNT33eq9eMA6A&oe=6569AC80&_nc_sid=fc8dfb,Breaking through misconceptions: women in sales & trading at #JPMorgan are sharing their #career advice on our Instagram Story today.,"['jpmorgan', 'career']",5948,98,"New York, New York",2018-12-11 23:02:37,GraphImage
9,jpmorgan,402687,1,True,True,Professional Services,468,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/120342925_3404571666302684_8633730461872188884_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0Mzguc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=bUTn6B21FK4AX_7oMtt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQxMDUxMzE1NDkzOTY5NTg3Mw%3D%3D.2-ccb7-5&oh=00_AfCmjolYHcbd6lMMpKnd8LTPRjUwnS9ZvRc6tpyVsOxFHQ&oe=656A3FE0&_nc_sid=fc8dfb,"“This is our opportunity to build a brighter future for all. Women on the Move is committed to this future.” Watch our Instagram Story to hear from the inspiring leaders, entrepreneurs, and trailblazers who joined us for #JPMorgan Chase Women’s Leadership Day on what it means to them to #PowerHer.","['jpmorgan', 'powerher']",5084,94,,2020-10-01 18:06:22,GraphImage
