,username,followers,followees,is_verified,is_business,business_category,number_of_posts,post_url,caption,hashtags,likes,comments,location,date_utc,img_type
0,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/345495484_975620380465080_4415444446525620200_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=HNVS6AckTicAX_tyA6Q&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAtpxuTXhBzOzCVXuX1p6UBH5hACiNjkWcMhk9pqOcI3w&oe=6563E405&_nc_sid=bc0c2c,MAY 19 ☀️ KAYTRAMINÉ OUT NOW,[],418456,4418,,2023-05-09 16:10:01,GraphSidecar
1,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/339809786_1686429095107720_4747488733557266336_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=104&_nc_ohc=kS8h7_9QQ48AX9WKRqD&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrbxV_BxYNlYxt47s2z8b6box1l-BrDpZZFYFDtI6UOg&oe=65629799&_nc_sid=bc0c2c,4EVA BY @kaytramine ft. @pharrell OUT NOW,[],213161,1110,,2023-04-07 04:11:07,GraphImage
2,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/347590812_1392784994908979_3396149942469596021_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=JbprSaPgljIAX8pHMvg&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzEwNTg3MjUwMjc4NTU1NzIyMg%3D%3D.2-ccb7-5&oh=00_AfC1mKnaRIRYYXk32V0opRLxS7Qh_9yRB4v1KInTlGJXtg&oe=6562B231&_nc_sid=8b3546,KAYTRAMINÉ OUT NOW⛱️,[],212231,1275,,2023-05-19 04:01:16,GraphSidecar
3,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/328212907_207282118690095_5879080462756613885_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=103&_nc_ohc=lmWmOTAoQf8AX9bZWoE&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBcbGerm62Hd1ttMUm3ieSMXQ_tOG25vU-c543OhHVpfw&oe=65629C15&_nc_sid=bc0c2c,coachella 2023 pt. 1,[],202561,1716,,2023-04-16 19:17:34,GraphSidecar
4,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/323736406_869346767650713_5596491585909459422_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=vBanRTRJX1EAX-3ZvmL&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDWP4VJ2Ib0EH3JIKqIiqlNfsDMTEcfexLLNSnoYQKT_A&oe=656272D9&_nc_sid=bc0c2c,i’ve just arrived,[],162603,1392,,2023-01-05 21:56:58,GraphSidecar
5,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/278833476_1138653126676677_7261818601430010812_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=_9d1cKDc60sAX9q8EdZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAYw8T2ERBaA5mIEs8Vo7vSFfdl70uH-5nLaEeZlypzZQ&oe=6563506F&_nc_sid=bc0c2c,my OUT OF TIME remix is out now. Thank u Abel for letting me freak it.,[],152630,1244,,2022-04-22 04:45:36,GraphSidecar
6,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/79184019_541325376449574_7856770012027687165_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=k8ATwi1t7dsAX_7_Uun&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD4W9hUtv08FvyDCe2DvPGt1998fDWWoL35hHMhY84yGQ&oe=656375CD&_nc_sid=bc0c2c,BUBBA. new album. 12/13.,[],143045,6752,,2019-12-09 17:00:29,GraphSidecar
7,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/316478898_851174552588880_1723286681612931296_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=dWeoqrQFYugAX_oqrP_&edm=APU89FABAAAA&ccb=7-5&oh=00_AfANoHMuXOIPLpHb_i-Ti7IJm5xG_VKhf2jnMjB1akwxXw&oe=6562895E&_nc_sid=bc0c2c,some kaykay for ur earholes so u can clean them shits out,[],143039,893,,2022-11-23 19:41:40,GraphSidecar
8,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/308014904_1204362406798762_3483194022200459713_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=GRhGC2dghL4AX-Lkszx&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuT4uCQ_t67LH6-liCIA69VVV_B97LO_DD4Mjor-A-vw&oe=6562A675&_nc_sid=bc0c2c,"2 NEW REMIXES JUST DROPPED

Rochelle Jordan - All Along (Kaytranada Remix)
Ravyn Lenae, Doechii - XTASY (Remix)",[],139694,878,,2022-09-19 17:42:14,GraphSidecar
9,kaytranada,1331885,977,True,False,N/A,86,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/334437600_1459708507769342_4826507572932742543_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=YY1FmnSO3iMAX_jXy4R&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA1ZsGQIeVbEpTxhSOMSkQINm2n6WOrZxQjJ281TJ_74Q&oe=6562A289&_nc_sid=bc0c2c,Came back from the dead to tell you about the Sam Gellaitry remix out now. It sounds wild. Ok goodbye now 💤,[],124812,1021,,2023-03-10 20:43:26,GraphSidecar
